ward,precinct,total,Eve Marie Reilly,Eve Marie Reilly Percent,precinct_id
30,3,157,157,100.0,30003
30,15,270,270,100.0,30015
30,20,80,80,100.0,30020
30,32,251,251,100.0,30032
32,19,338,338,100.0,32019
32,21,365,365,100.0,32021
32,25,325,325,100.0,32025
33,2,506,506,100.0,33002
33,7,439,439,100.0,33007
33,18,546,546,100.0,33018
35,9,344,344,100.0,35009
35,22,452,452,100.0,35022
35,23,143,143,100.0,35023
35,29,347,347,100.0,35029
35,30,370,370,100.0,35030
35,31,390,390,100.0,35031
38,1,284,284,100.0,38001
38,31,325,325,100.0,38031
38,32,284,284,100.0,38032
38,41,296,296,100.0,38041
39,1,295,295,100.0,39001
39,2,209,209,100.0,39002
39,3,361,361,100.0,39003
39,4,287,287,100.0,39004
39,5,361,361,100.0,39005
39,6,338,338,100.0,39006
39,7,290,290,100.0,39007
39,8,347,347,100.0,39008
39,9,317,317,100.0,39009
39,10,194,194,100.0,39010
39,11,310,310,100.0,39011
39,12,452,452,100.0,39012
39,13,241,241,100.0,39013
39,14,309,309,100.0,39014
39,15,333,333,100.0,39015
39,16,287,287,100.0,39016
39,17,345,345,100.0,39017
39,18,291,291,100.0,39018
39,19,298,298,100.0,39019
39,20,347,347,100.0,39020
39,21,298,298,100.0,39021
39,22,308,308,100.0,39022
39,23,319,319,100.0,39023
39,24,325,325,100.0,39024
39,25,300,300,100.0,39025
39,26,286,286,100.0,39026
39,27,47,47,100.0,39027
39,28,405,405,100.0,39028
39,29,180,180,100.0,39029
39,30,439,439,100.0,39030
39,31,319,319,100.0,39031
39,32,98,98,100.0,39032
39,33,387,387,100.0,39033
39,34,338,338,100.0,39034
39,35,322,322,100.0,39035
39,36,73,73,100.0,39036
39,37,303,303,100.0,39037
39,38,180,180,100.0,39038
39,39,200,200,100.0,39039
39,40,262,262,100.0,39040
39,41,351,351,100.0,39041
39,42,309,309,100.0,39042
39,43,305,305,100.0,39043
39,44,217,217,100.0,39044
39,45,284,284,100.0,39045
40,1,358,358,100.0,40001
40,2,364,364,100.0,40002
40,3,526,526,100.0,40003
40,4,220,220,100.0,40004
40,5,410,410,100.0,40005
40,6,472,472,100.0,40006
40,7,410,410,100.0,40007
40,10,301,301,100.0,40010
40,11,424,424,100.0,40011
40,12,321,321,100.0,40012
40,13,369,369,100.0,40013
40,14,332,332,100.0,40014
40,15,342,342,100.0,40015
40,16,530,530,100.0,40016
40,17,320,320,100.0,40017
40,18,78,78,100.0,40018
40,19,434,434,100.0,40019
40,20,380,380,100.0,40020
40,21,317,317,100.0,40021
40,24,329,329,100.0,40024
40,25,522,522,100.0,40025
40,29,353,353,100.0,40029
40,30,309,309,100.0,40030
40,34,358,358,100.0,40034
40,38,239,239,100.0,40038
40,39,145,145,100.0,40039
41,1,284,284,100.0,41001
41,2,317,317,100.0,41002
41,3,302,302,100.0,41003
41,4,321,321,100.0,41004
41,5,370,370,100.0,41005
41,6,206,206,100.0,41006
41,7,312,312,100.0,41007
41,8,304,304,100.0,41008
41,10,347,347,100.0,41010
41,11,340,340,100.0,41011
41,12,330,330,100.0,41012
41,13,333,333,100.0,41013
41,14,219,219,100.0,41014
41,15,416,416,100.0,41015
41,16,300,300,100.0,41016
41,17,339,339,100.0,41017
41,18,254,254,100.0,41018
41,20,246,246,100.0,41020
41,21,317,317,100.0,41021
41,22,336,336,100.0,41022
41,23,278,278,100.0,41023
41,24,268,268,100.0,41024
41,26,308,308,100.0,41026
41,30,303,303,100.0,41030
41,31,308,308,100.0,41031
41,32,283,283,100.0,41032
41,33,265,265,100.0,41033
41,34,245,245,100.0,41034
41,35,340,340,100.0,41035
41,36,302,302,100.0,41036
41,37,360,360,100.0,41037
41,38,293,293,100.0,41038
41,39,359,359,100.0,41039
41,40,298,298,100.0,41040
41,41,301,301,100.0,41041
41,42,328,328,100.0,41042
41,43,312,312,100.0,41043
41,44,302,302,100.0,41044
41,45,282,282,100.0,41045
41,46,302,302,100.0,41046
41,47,155,155,100.0,41047
45,1,297,297,100.0,45001
45,2,309,309,100.0,45002
45,3,309,309,100.0,45003
45,4,334,334,100.0,45004
45,5,63,63,100.0,45005
45,7,438,438,100.0,45007
45,8,337,337,100.0,45008
45,9,138,138,100.0,45009
45,10,217,217,100.0,45010
45,11,267,267,100.0,45011
45,12,315,315,100.0,45012
45,13,299,299,100.0,45013
45,14,429,429,100.0,45014
45,15,440,440,100.0,45015
45,16,274,274,100.0,45016
45,17,391,391,100.0,45017
45,18,344,344,100.0,45018
45,19,177,177,100.0,45019
45,20,245,245,100.0,45020
45,21,284,284,100.0,45021
45,22,293,293,100.0,45022
45,23,286,286,100.0,45023
45,24,235,235,100.0,45024
45,25,189,189,100.0,45025
45,26,177,177,100.0,45026
45,27,277,277,100.0,45027
45,28,264,264,100.0,45028
45,29,196,196,100.0,45029
45,30,340,340,100.0,45030
45,31,270,270,100.0,45031
45,32,274,274,100.0,45032
45,33,228,228,100.0,45033
45,34,369,369,100.0,45034
45,35,304,304,100.0,45035
45,36,315,315,100.0,45036
45,37,299,299,100.0,45037
45,38,293,293,100.0,45038
45,39,295,295,100.0,45039
45,40,300,300,100.0,45040
45,41,271,271,100.0,45041
45,42,320,320,100.0,45042
45,43,290,290,100.0,45043
45,44,298,298,100.0,45044
45,45,189,189,100.0,45045
45,46,243,243,100.0,45046
45,47,214,214,100.0,45047
45,48,217,217,100.0,45048
47,1,280,280,100.0,47001
47,2,396,396,100.0,47002
47,3,395,395,100.0,47003
47,4,411,411,100.0,47004
47,5,489,489,100.0,47005
47,6,480,480,100.0,47006
47,7,395,395,100.0,47007
47,8,419,419,100.0,47008
47,9,44,44,100.0,47009
