ward,precinct,total,Juliana Stratton,Juliana Stratton Percent,precinct_id
2,27,111,111,100.0,02027
2,29,193,193,100.0,02029
2,32,438,438,100.0,02032
2,36,409,409,100.0,02036
2,38,253,253,100.0,02038
2,39,315,315,100.0,02039
2,40,601,601,100.0,02040
2,41,416,416,100.0,02041
2,42,315,315,100.0,02042
2,43,686,686,100.0,02043
2,45,474,474,100.0,02045
3,1,482,482,100.0,03001
3,2,541,541,100.0,03002
3,3,10,10,100.0,03003
3,6,580,580,100.0,03006
3,7,367,367,100.0,03007
3,8,509,509,100.0,03008
3,9,530,530,100.0,03009
3,11,297,297,100.0,03011
3,12,299,299,100.0,03012
3,14,562,562,100.0,03014
3,15,559,559,100.0,03015
3,16,523,523,100.0,03016
3,17,641,641,100.0,03017
3,18,291,291,100.0,03018
3,20,549,549,100.0,03020
3,21,379,379,100.0,03021
3,22,725,725,100.0,03022
3,23,486,486,100.0,03023
3,24,481,481,100.0,03024
3,25,799,799,100.0,03025
3,27,284,284,100.0,03027
3,28,318,318,100.0,03028
3,29,522,522,100.0,03029
3,31,316,316,100.0,03031
3,32,616,616,100.0,03032
3,33,620,620,100.0,03033
3,34,647,647,100.0,03034
3,35,265,265,100.0,03035
3,36,180,180,100.0,03036
3,37,484,484,100.0,03037
3,38,426,426,100.0,03038
3,39,684,684,100.0,03039
3,40,589,589,100.0,03040
3,41,119,119,100.0,03041
4,2,635,635,100.0,04002
4,6,440,440,100.0,04006
4,11,125,125,100.0,04011
4,14,553,553,100.0,04014
4,16,601,601,100.0,04016
4,21,243,243,100.0,04021
4,25,587,587,100.0,04025
4,36,247,247,100.0,04036
4,38,157,157,100.0,04038
5,2,447,447,100.0,05002
5,12,405,405,100.0,05012
5,13,23,23,100.0,05013
5,30,66,66,100.0,05030
6,7,7,7,100.0,06007
7,1,89,89,100.0,07001
7,3,4,4,100.0,07003
8,1,336,336,100.0,08001
8,2,109,109,100.0,08002
8,9,292,292,100.0,08009
8,13,489,489,100.0,08013
8,16,163,163,100.0,08016
8,20,457,457,100.0,08020
8,21,581,581,100.0,08021
8,26,217,217,100.0,08026
8,28,458,458,100.0,08028
8,43,27,27,100.0,08043
8,54,248,248,100.0,08054
8,55,323,323,100.0,08055
20,1,464,464,100.0,20001
20,3,356,356,100.0,20003
20,7,450,450,100.0,20007
20,8,318,318,100.0,20008
20,10,366,366,100.0,20010
20,11,550,550,100.0,20011
20,12,375,375,100.0,20012
20,14,226,226,100.0,20014
20,18,346,346,100.0,20018
20,19,445,445,100.0,20019
20,23,504,504,100.0,20023
20,27,1,1,100.0,20027
20,30,220,220,100.0,20030
20,31,505,505,100.0,20031
20,33,298,298,100.0,20033
20,35,397,397,100.0,20035
20,37,155,155,100.0,20037
20,39,15,15,100.0,20039
27,38,161,161,100.0,27038
42,10,413,413,100.0,42010
42,14,426,426,100.0,42014
42,15,105,105,100.0,42015
42,19,363,363,100.0,42019
42,20,567,567,100.0,42020
42,22,273,273,100.0,42022
42,23,515,515,100.0,42023
42,25,544,544,100.0,42025
42,27,357,357,100.0,42027
42,32,546,546,100.0,42032
42,33,615,615,100.0,42033
42,39,604,604,100.0,42039
42,40,166,166,100.0,42040
42,42,881,881,100.0,42042
