ward,precinct,total,Jerry Esrig,Jerry Esrig Percent,precinct_id
39,13,17,17,100.0,39013
39,18,34,34,100.0,39018
39,32,155,155,100.0,39032
39,36,34,34,100.0,39036
40,9,302,302,100.0,40009
40,10,99,99,100.0,40010
40,18,268,268,100.0,40018
40,27,523,523,100.0,40027
40,28,367,367,100.0,40028
40,35,254,254,100.0,40035
40,37,409,409,100.0,40037
41,6,150,150,100.0,41006
41,9,302,302,100.0,41009
41,14,137,137,100.0,41014
41,19,301,301,100.0,41019
41,47,148,148,100.0,41047
48,13,515,515,100.0,48013
48,15,296,296,100.0,48015
48,22,332,332,100.0,48022
48,27,316,316,100.0,48027
48,31,292,292,100.0,48031
48,32,313,313,100.0,48032
48,33,228,228,100.0,48033
48,46,277,277,100.0,48046
49,1,316,316,100.0,49001
49,3,500,500,100.0,49003
49,4,528,528,100.0,49004
49,5,424,424,100.0,49005
49,6,453,453,100.0,49006
49,7,495,495,100.0,49007
49,8,359,359,100.0,49008
49,9,467,467,100.0,49009
49,10,407,407,100.0,49010
49,11,534,534,100.0,49011
49,12,641,641,100.0,49012
49,13,531,531,100.0,49013
49,14,331,331,100.0,49014
49,15,370,370,100.0,49015
49,16,388,388,100.0,49016
49,18,562,562,100.0,49018
49,19,417,417,100.0,49019
49,20,678,678,100.0,49020
49,21,263,263,100.0,49021
49,22,448,448,100.0,49022
49,23,575,575,100.0,49023
49,24,364,364,100.0,49024
49,25,617,617,100.0,49025
49,26,480,480,100.0,49026
49,27,555,555,100.0,49027
49,28,583,583,100.0,49028
49,29,530,530,100.0,49029
49,30,480,480,100.0,49030
49,31,354,354,100.0,49031
49,32,470,470,100.0,49032
49,33,403,403,100.0,49033
50,1,252,252,100.0,50001
50,2,201,201,100.0,50002
50,3,239,239,100.0,50003
50,4,326,326,100.0,50004
50,5,164,164,100.0,50005
50,6,340,340,100.0,50006
50,7,383,383,100.0,50007
50,8,335,335,100.0,50008
50,9,254,254,100.0,50009
50,10,299,299,100.0,50010
50,11,172,172,100.0,50011
50,12,123,123,100.0,50012
50,13,416,416,100.0,50013
50,14,87,87,100.0,50014
50,15,351,351,100.0,50015
50,16,76,76,100.0,50016
50,17,279,279,100.0,50017
50,18,45,45,100.0,50018
50,19,209,209,100.0,50019
50,20,343,343,100.0,50020
50,21,270,270,100.0,50021
50,22,229,229,100.0,50022
50,24,144,144,100.0,50024
50,25,238,238,100.0,50025
50,26,324,324,100.0,50026
50,27,74,74,100.0,50027
50,28,312,312,100.0,50028
50,29,356,356,100.0,50029
50,30,160,160,100.0,50030
50,31,310,310,100.0,50031
50,32,407,407,100.0,50032
50,33,196,196,100.0,50033
50,34,395,395,100.0,50034
50,35,414,414,100.0,50035
50,36,291,291,100.0,50036
50,37,353,353,100.0,50037
50,38,125,125,100.0,50038
50,39,219,219,100.0,50039
50,40,225,225,100.0,50040
