ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,precinct_id
9,1,244,244,100.0,09001
9,2,324,324,100.0,09002
9,4,135,135,100.0,09004
9,5,371,371,100.0,09005
9,6,383,383,100.0,09006
9,9,98,98,100.0,09009
9,13,101,101,100.0,09013
9,14,499,499,100.0,09014
9,17,312,312,100.0,09017
9,19,375,375,100.0,09019
9,22,423,423,100.0,09022
9,29,372,372,100.0,09029
9,31,261,261,100.0,09031
9,32,404,404,100.0,09032
9,34,370,370,100.0,09034
9,35,395,395,100.0,09035
9,38,122,122,100.0,09038
9,39,436,436,100.0,09039
9,40,423,423,100.0,09040
9,43,215,215,100.0,09043
9,44,65,65,100.0,09044
34,2,155,155,100.0,34002
34,3,446,446,100.0,34003
34,4,350,350,100.0,34004
34,6,475,475,100.0,34006
34,9,344,344,100.0,34009
34,11,367,367,100.0,34011
34,14,345,345,100.0,34014
34,15,178,178,100.0,34015
34,16,355,355,100.0,34016
34,18,324,324,100.0,34018
34,20,303,303,100.0,34020
34,22,375,375,100.0,34022
34,23,334,334,100.0,34023
34,24,398,398,100.0,34024
34,26,457,457,100.0,34026
34,27,366,366,100.0,34027
34,28,321,321,100.0,34028
34,30,355,355,100.0,34030
34,31,314,314,100.0,34031
34,33,384,384,100.0,34033
34,36,368,368,100.0,34036
34,37,303,303,100.0,34037
34,38,239,239,100.0,34038
34,39,325,325,100.0,34039
34,41,296,296,100.0,34041
34,42,391,391,100.0,34042
34,50,392,392,100.0,34050
34,51,221,221,100.0,34051
34,53,316,316,100.0,34053
