ward,precinct,total,"Elgie R. Sims, Jr.","Elgie R. Sims, Jr. Percent",precinct_id
6,1,442,442,100.0,06001
6,2,454,454,100.0,06002
6,3,432,432,100.0,06003
6,8,438,438,100.0,06008
6,13,316,316,100.0,06013
6,14,422,422,100.0,06014
6,16,400,400,100.0,06016
6,19,65,65,100.0,06019
6,29,438,438,100.0,06029
6,31,435,435,100.0,06031
6,34,445,445,100.0,06034
6,35,373,373,100.0,06035
6,36,459,459,100.0,06036
6,37,426,426,100.0,06037
6,38,442,442,100.0,06038
6,39,373,373,100.0,06039
6,41,432,432,100.0,06041
6,42,447,447,100.0,06042
6,43,374,374,100.0,06043
6,44,455,455,100.0,06044
6,45,465,465,100.0,06045
6,46,298,298,100.0,06046
8,15,115,115,100.0,08015
8,22,366,366,100.0,08022
8,26,220,220,100.0,08026
8,31,326,326,100.0,08031
8,32,351,351,100.0,08032
8,34,370,370,100.0,08034
8,39,424,424,100.0,08039
8,43,199,199,100.0,08043
8,45,137,137,100.0,08045
8,47,339,339,100.0,08047
8,54,37,37,100.0,08054
9,1,178,178,100.0,09001
9,7,31,31,100.0,09007
9,8,453,453,100.0,09008
9,9,339,339,100.0,09009
9,12,475,475,100.0,09012
9,13,333,333,100.0,09013
9,23,434,434,100.0,09023
9,24,391,391,100.0,09024
9,25,403,403,100.0,09025
9,28,29,29,100.0,09028
9,31,50,50,100.0,09031
9,36,364,364,100.0,09036
9,37,485,485,100.0,09037
9,38,289,289,100.0,09038
9,42,400,400,100.0,09042
9,43,187,187,100.0,09043
9,46,418,418,100.0,09046
9,47,428,428,100.0,09047
9,48,421,421,100.0,09048
9,49,413,413,100.0,09049
9,50,523,523,100.0,09050
9,51,408,408,100.0,09051
10,13,10,10,100.0,10013
10,16,2,2,100.0,10016
17,21,388,388,100.0,17021
21,31,275,275,100.0,21031
21,53,138,138,100.0,21053
