ward,precinct,total,Dan Patlak,Dan Patlak Percent,Marty Stack,Marty Stack Percent,precinct_id
19,1,420,184,43.81,236,56.19,19001
19,2,447,95,21.25,352,78.75,19002
19,3,384,236,61.46,148,38.54,19003
19,4,549,306,55.74,243,44.26,19004
19,6,254,136,53.54,118,46.46,19006
19,8,528,306,57.95,222,42.05,19008
19,9,367,176,47.96,191,52.04,19009
19,11,491,302,61.51,189,38.49,19011
19,12,405,243,60.0,162,40.0,19012
19,15,637,382,59.97,255,40.03,19015
19,16,488,272,55.74,216,44.26,19016
19,19,361,110,30.47,251,69.53,19019
19,21,433,232,53.58,201,46.42,19021
19,22,486,179,36.83,307,63.17,19022
19,24,356,219,61.52,137,38.48,19024
19,29,64,33,51.56,31,48.44,19029
19,30,450,246,54.67,204,45.33,19030
19,33,490,288,58.78,202,41.22,19033
19,39,218,20,9.17,198,90.83,19039
19,41,457,255,55.8,202,44.2,19041
19,44,535,325,60.75,210,39.25,19044
19,45,468,222,47.44,246,52.56,19045
19,47,663,121,18.25,542,81.75,19047
19,51,525,205,39.05,320,60.95,19051
19,53,435,176,40.46,259,59.54,19053
19,54,393,239,60.81,154,39.19,19054
19,55,419,244,58.23,175,41.77,19055
41,3,433,190,43.88,243,56.12,41003
41,5,562,289,51.42,273,48.58,41005
41,7,539,311,57.7,228,42.3,41007
41,8,485,275,56.7,210,43.3,41008
41,11,456,255,55.92,201,44.08,41011
41,13,581,335,57.66,246,42.34,41013
41,15,623,323,51.85,300,48.15,41015
41,16,277,135,48.74,142,51.26,41016
41,17,496,250,50.4,246,49.6,41017
41,18,437,233,53.32,204,46.68,41018
41,20,399,206,51.63,193,48.37,41020
41,21,463,219,47.3,244,52.7,41021
41,22,484,275,56.82,209,43.18,41022
41,23,530,323,60.94,207,39.06,41023
41,25,467,180,38.54,287,61.46,41025
41,26,472,248,52.54,224,47.46,41026
41,27,245,118,48.16,127,51.84,41027
41,28,576,222,38.54,354,61.46,41028
41,29,438,198,45.21,240,54.79,41029
41,30,488,240,49.18,248,50.82,41030
41,31,507,265,52.27,242,47.73,41031
41,33,471,237,50.32,234,49.68,41033
41,34,409,220,53.79,189,46.21,41034
41,35,537,312,58.1,225,41.9,41035
41,36,486,260,53.5,226,46.5,41036
41,37,548,292,53.28,256,46.72,41037
41,38,456,223,48.9,233,51.1,41038
41,41,508,276,54.33,232,45.67,41041
41,43,519,269,51.83,250,48.17,41043
41,45,472,234,49.58,238,50.42,41045
41,46,504,276,54.76,228,45.24,41046
45,45,327,171,52.29,156,47.71,45045
45,46,371,185,49.87,186,50.13,45046
45,47,343,159,46.36,184,53.64,45047
45,48,391,210,53.71,181,46.29,45048
