ward,precinct,total,Mary E. Flowers,Mary E. Flowers Percent,precinct_id
6,10,317,317,100.0,06010
6,17,361,361,100.0,06017
6,19,118,118,100.0,06019
6,20,311,311,100.0,06020
6,22,284,284,100.0,06022
6,25,278,278,100.0,06025
6,26,118,118,100.0,06026
6,27,304,304,100.0,06027
17,2,394,394,100.0,17002
17,4,538,538,100.0,17004
17,5,335,335,100.0,17005
17,9,330,330,100.0,17009
17,10,529,529,100.0,17010
17,11,279,279,100.0,17011
17,15,472,472,100.0,17015
17,18,412,412,100.0,17018
17,20,495,495,100.0,17020
17,21,57,57,100.0,17021
17,22,385,385,100.0,17022
17,23,278,278,100.0,17023
17,24,440,440,100.0,17024
17,26,478,478,100.0,17026
17,27,410,410,100.0,17027
17,28,318,318,100.0,17028
17,29,400,400,100.0,17029
17,32,276,276,100.0,17032
17,34,210,210,100.0,17034
17,37,296,296,100.0,17037
17,38,435,435,100.0,17038
17,39,407,407,100.0,17039
17,40,424,424,100.0,17040
17,41,494,494,100.0,17041
18,4,426,426,100.0,18004
18,6,166,166,100.0,18006
18,7,419,419,100.0,18007
18,8,410,410,100.0,18008
18,9,162,162,100.0,18009
18,10,522,522,100.0,18010
18,12,267,267,100.0,18012
18,13,436,436,100.0,18013
18,14,421,421,100.0,18014
18,16,381,381,100.0,18016
18,18,339,339,100.0,18018
18,19,367,367,100.0,18019
18,20,353,353,100.0,18020
18,21,168,168,100.0,18021
18,22,447,447,100.0,18022
18,26,364,364,100.0,18026
18,29,9,9,100.0,18029
18,32,19,19,100.0,18032
18,33,34,34,100.0,18033
18,35,443,443,100.0,18035
18,36,426,426,100.0,18036
18,37,462,462,100.0,18037
18,38,381,381,100.0,18038
18,41,469,469,100.0,18041
21,2,238,238,100.0,21002
21,4,441,441,100.0,21004
21,13,62,62,100.0,21013
21,15,311,311,100.0,21015
21,17,45,45,100.0,21017
21,20,256,256,100.0,21020
21,26,424,424,100.0,21026
21,28,522,522,100.0,21028
21,30,357,357,100.0,21030
21,34,109,109,100.0,21034
21,43,399,399,100.0,21043
21,44,196,196,100.0,21044
21,47,434,434,100.0,21047
21,51,407,407,100.0,21051
21,52,391,391,100.0,21052
21,53,180,180,100.0,21053
21,54,368,368,100.0,21054
