ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,precinct_id
2,2,364,364,100.0,02002
2,10,368,368,100.0,02010
2,11,455,455,100.0,02011
2,13,419,419,100.0,02013
2,18,482,482,100.0,02018
2,19,300,300,100.0,02019
2,23,296,296,100.0,02023
2,27,318,318,100.0,02027
2,29,336,336,100.0,02029
2,34,384,384,100.0,02034
2,42,258,258,100.0,02042
3,2,38,38,100.0,03002
3,4,556,556,100.0,03004
3,11,240,240,100.0,03011
3,12,192,192,100.0,03012
3,19,556,556,100.0,03019
3,21,173,173,100.0,03021
3,27,342,342,100.0,03027
3,30,486,486,100.0,03030
3,31,335,335,100.0,03031
4,1,678,678,100.0,04001
4,3,491,491,100.0,04003
4,4,702,702,100.0,04004
4,5,544,544,100.0,04005
4,6,175,175,100.0,04006
4,7,635,635,100.0,04007
4,8,606,606,100.0,04008
4,9,590,590,100.0,04009
4,10,605,605,100.0,04010
4,11,454,454,100.0,04011
4,12,616,616,100.0,04012
4,15,657,657,100.0,04015
4,18,457,457,100.0,04018
4,19,489,489,100.0,04019
4,22,556,556,100.0,04022
4,23,709,709,100.0,04023
4,24,514,514,100.0,04024
4,26,510,510,100.0,04026
4,27,650,650,100.0,04027
4,28,504,504,100.0,04028
4,29,549,549,100.0,04029
4,30,709,709,100.0,04030
4,31,548,548,100.0,04031
4,32,598,598,100.0,04032
4,33,594,594,100.0,04033
4,34,495,495,100.0,04034
4,35,657,657,100.0,04035
4,36,360,360,100.0,04036
4,38,404,404,100.0,04038
5,1,472,472,100.0,05001
5,3,554,554,100.0,05003
5,4,650,650,100.0,05004
5,5,476,476,100.0,05005
5,6,435,435,100.0,05006
5,7,495,495,100.0,05007
5,8,532,532,100.0,05008
5,9,620,620,100.0,05009
5,10,449,449,100.0,05010
5,11,540,540,100.0,05011
5,13,413,413,100.0,05013
5,14,415,415,100.0,05014
5,15,494,494,100.0,05015
5,16,518,518,100.0,05016
5,17,426,426,100.0,05017
5,18,509,509,100.0,05018
5,19,497,497,100.0,05019
5,20,582,582,100.0,05020
5,21,565,565,100.0,05021
5,22,577,577,100.0,05022
5,23,921,921,100.0,05023
5,24,576,576,100.0,05024
5,25,478,478,100.0,05025
5,26,553,553,100.0,05026
5,27,704,704,100.0,05027
5,28,525,525,100.0,05028
5,29,579,579,100.0,05029
5,30,347,347,100.0,05030
5,31,425,425,100.0,05031
5,32,567,567,100.0,05032
5,33,518,518,100.0,05033
5,34,648,648,100.0,05034
5,35,542,542,100.0,05035
5,36,308,308,100.0,05036
5,37,544,544,100.0,05037
5,38,495,495,100.0,05038
5,39,417,417,100.0,05039
5,40,400,400,100.0,05040
5,41,271,271,100.0,05041
7,1,305,305,100.0,07001
7,2,451,451,100.0,07002
7,3,406,406,100.0,07003
7,4,383,383,100.0,07004
7,5,369,369,100.0,07005
7,6,551,551,100.0,07006
7,7,443,443,100.0,07007
7,8,348,348,100.0,07008
7,9,686,686,100.0,07009
7,10,459,459,100.0,07010
7,11,504,504,100.0,07011
7,12,397,397,100.0,07012
7,13,262,262,100.0,07013
7,14,451,451,100.0,07014
7,15,421,421,100.0,07015
7,16,377,377,100.0,07016
7,17,360,360,100.0,07017
7,18,409,409,100.0,07018
7,19,400,400,100.0,07019
7,20,309,309,100.0,07020
7,21,362,362,100.0,07021
7,22,358,358,100.0,07022
7,23,406,406,100.0,07023
7,24,348,348,100.0,07024
7,25,413,413,100.0,07025
7,28,63,63,100.0,07028
7,30,66,66,100.0,07030
7,31,278,278,100.0,07031
7,32,308,308,100.0,07032
7,33,493,493,100.0,07033
7,34,478,478,100.0,07034
7,35,430,430,100.0,07035
7,37,404,404,100.0,07037
7,46,155,155,100.0,07046
8,1,25,25,100.0,08001
8,2,327,327,100.0,08002
8,21,3,3,100.0,08021
8,42,563,563,100.0,08042
10,1,360,360,100.0,10001
10,4,336,336,100.0,10004
10,6,309,309,100.0,10006
10,7,279,279,100.0,10007
10,8,305,305,100.0,10008
10,10,356,356,100.0,10010
10,11,453,453,100.0,10011
10,12,256,256,100.0,10012
10,14,447,447,100.0,10014
10,18,272,272,100.0,10018
10,19,373,373,100.0,10019
10,20,355,355,100.0,10020
10,21,368,368,100.0,10021
10,22,249,249,100.0,10022
10,23,326,326,100.0,10023
10,25,136,136,100.0,10025
10,26,317,317,100.0,10026
10,27,400,400,100.0,10027
10,28,416,416,100.0,10028
10,29,359,359,100.0,10029
10,30,360,360,100.0,10030
10,31,299,299,100.0,10031
10,32,340,340,100.0,10032
10,33,275,275,100.0,10033
10,34,303,303,100.0,10034
10,35,338,338,100.0,10035
10,36,89,89,100.0,10036
20,5,453,453,100.0,20005
20,9,572,572,100.0,20009
20,16,468,468,100.0,20016
20,22,438,438,100.0,20022
20,24,436,436,100.0,20024
20,26,448,448,100.0,20026
20,34,627,627,100.0,20034
42,1,422,422,100.0,42001
42,2,583,583,100.0,42002
42,4,938,938,100.0,42004
42,6,479,479,100.0,42006
42,7,592,592,100.0,42007
42,8,457,457,100.0,42008
42,11,306,306,100.0,42011
42,13,412,412,100.0,42013
42,19,252,252,100.0,42019
42,24,470,470,100.0,42024
42,26,607,607,100.0,42026
42,28,576,576,100.0,42028
42,29,547,547,100.0,42029
42,30,378,378,100.0,42030
42,31,642,642,100.0,42031
42,34,408,408,100.0,42034
42,35,731,731,100.0,42035
42,40,583,583,100.0,42040
43,35,529,529,100.0,43035
