ward,precinct,total,Leonard Murray,Leonard Murray Percent,precinct_id
3,1,473,473,100.0,03001
3,2,442,442,100.0,03002
3,4,479,479,100.0,03004
3,5,302,302,100.0,03005
3,7,244,244,100.0,03007
3,8,390,390,100.0,03008
3,9,430,430,100.0,03009
3,10,247,247,100.0,03010
3,11,416,416,100.0,03011
3,12,379,379,100.0,03012
3,15,445,445,100.0,03015
3,16,411,411,100.0,03016
3,18,530,530,100.0,03018
3,20,421,421,100.0,03020
3,23,375,375,100.0,03023
3,24,355,355,100.0,03024
3,28,226,226,100.0,03028
3,29,476,476,100.0,03029
3,30,403,403,100.0,03030
3,31,509,509,100.0,03031
3,35,219,219,100.0,03035
3,36,259,259,100.0,03036
3,37,381,381,100.0,03037
3,38,336,336,100.0,03038
3,41,313,313,100.0,03041
4,1,558,558,100.0,04001
4,3,420,420,100.0,04003
4,4,580,580,100.0,04004
4,5,426,426,100.0,04005
4,6,358,358,100.0,04006
4,7,559,559,100.0,04007
4,8,505,505,100.0,04008
4,9,449,449,100.0,04009
4,10,513,513,100.0,04010
4,11,468,468,100.0,04011
4,12,517,517,100.0,04012
4,14,450,450,100.0,04014
4,15,542,542,100.0,04015
4,18,377,377,100.0,04018
4,19,409,409,100.0,04019
4,22,452,452,100.0,04022
4,23,568,568,100.0,04023
4,24,417,417,100.0,04024
4,26,415,415,100.0,04026
4,27,534,534,100.0,04027
4,28,400,400,100.0,04028
4,29,475,475,100.0,04029
4,30,581,581,100.0,04030
4,31,421,421,100.0,04031
4,32,504,504,100.0,04032
4,33,473,473,100.0,04033
4,34,405,405,100.0,04034
4,35,539,539,100.0,04035
4,36,514,514,100.0,04036
4,38,462,462,100.0,04038
5,1,385,385,100.0,05001
5,2,355,355,100.0,05002
5,3,442,442,100.0,05003
5,4,521,521,100.0,05004
5,5,379,379,100.0,05005
5,6,353,353,100.0,05006
5,7,414,414,100.0,05007
5,8,424,424,100.0,05008
5,9,487,487,100.0,05009
5,10,344,344,100.0,05010
5,11,430,430,100.0,05011
5,12,83,83,100.0,05012
5,13,361,361,100.0,05013
