ward,precinct,total,Jacqueline Collins,Jacqueline Collins Percent,precinct_id
6,4,380,380,100.0,06004
6,5,340,340,100.0,06005
6,6,417,417,100.0,06006
6,7,443,443,100.0,06007
6,9,467,467,100.0,06009
6,10,317,317,100.0,06010
6,11,400,400,100.0,06011
6,12,389,389,100.0,06012
6,15,270,270,100.0,06015
6,17,360,360,100.0,06017
6,18,317,317,100.0,06018
6,19,360,360,100.0,06019
6,20,307,307,100.0,06020
6,21,301,301,100.0,06021
6,22,329,329,100.0,06022
6,23,279,279,100.0,06023
6,24,256,256,100.0,06024
6,25,278,278,100.0,06025
6,26,379,379,100.0,06026
6,27,296,296,100.0,06027
6,28,175,175,100.0,06028
6,30,413,413,100.0,06030
6,32,420,420,100.0,06032
6,33,442,442,100.0,06033
6,40,379,379,100.0,06040
6,47,359,359,100.0,06047
6,48,441,441,100.0,06048
8,26,4,4,100.0,08026
15,7,161,161,100.0,15007
15,22,302,302,100.0,15022
16,6,212,212,100.0,16006
16,16,341,341,100.0,16016
16,24,214,214,100.0,16024
16,29,341,341,100.0,16029
16,30,285,285,100.0,16030
16,33,317,317,100.0,16033
17,1,160,160,100.0,17001
17,2,380,380,100.0,17002
17,3,441,441,100.0,17003
17,4,532,532,100.0,17004
17,5,315,315,100.0,17005
17,8,178,178,100.0,17008
17,9,324,324,100.0,17009
17,10,538,538,100.0,17010
17,11,350,350,100.0,17011
17,13,365,365,100.0,17013
17,15,476,476,100.0,17015
17,17,365,365,100.0,17017
17,18,414,414,100.0,17018
17,19,279,279,100.0,17019
17,20,485,485,100.0,17020
17,21,56,56,100.0,17021
17,22,365,365,100.0,17022
17,23,270,270,100.0,17023
17,24,434,434,100.0,17024
17,26,465,465,100.0,17026
17,27,397,397,100.0,17027
17,28,305,305,100.0,17028
17,29,383,383,100.0,17029
17,30,235,235,100.0,17030
17,31,298,298,100.0,17031
17,32,368,368,100.0,17032
17,33,305,305,100.0,17033
17,34,310,310,100.0,17034
17,35,341,341,100.0,17035
17,36,413,413,100.0,17036
17,37,354,354,100.0,17037
17,38,418,418,100.0,17038
17,39,402,402,100.0,17039
17,40,422,422,100.0,17040
17,41,479,479,100.0,17041
18,1,391,391,100.0,18001
18,2,396,396,100.0,18002
18,3,330,330,100.0,18003
18,4,423,423,100.0,18004
18,5,304,304,100.0,18005
18,6,323,323,100.0,18006
18,7,417,417,100.0,18007
18,8,412,412,100.0,18008
18,9,161,161,100.0,18009
18,10,515,515,100.0,18010
18,11,332,332,100.0,18011
18,12,389,389,100.0,18012
18,13,430,430,100.0,18013
18,14,415,415,100.0,18014
18,15,16,16,100.0,18015
18,16,386,386,100.0,18016
18,17,429,429,100.0,18017
18,18,344,344,100.0,18018
18,19,357,357,100.0,18019
18,20,340,340,100.0,18020
18,21,503,503,100.0,18021
18,22,441,441,100.0,18022
18,23,394,394,100.0,18023
18,24,372,372,100.0,18024
18,25,407,407,100.0,18025
18,26,352,352,100.0,18026
18,27,332,332,100.0,18027
18,28,354,354,100.0,18028
18,29,447,447,100.0,18029
18,30,417,417,100.0,18030
18,31,441,441,100.0,18031
18,32,20,20,100.0,18032
18,33,331,331,100.0,18033
18,35,432,432,100.0,18035
18,36,440,440,100.0,18036
18,37,450,450,100.0,18037
18,38,358,358,100.0,18038
18,39,378,378,100.0,18039
18,40,461,461,100.0,18040
18,41,472,472,100.0,18041
18,42,407,407,100.0,18042
18,43,43,43,100.0,18043
18,44,315,315,100.0,18044
18,45,410,410,100.0,18045
18,46,166,166,100.0,18046
18,47,350,350,100.0,18047
18,48,347,347,100.0,18048
18,49,288,288,100.0,18049
18,50,207,207,100.0,18050
20,8,79,79,100.0,20008
20,28,286,286,100.0,20028
21,2,225,225,100.0,21002
21,4,429,429,100.0,21004
21,13,55,55,100.0,21013
21,15,304,304,100.0,21015
21,17,42,42,100.0,21017
21,20,240,240,100.0,21020
21,26,413,413,100.0,21026
21,28,512,512,100.0,21028
21,30,346,346,100.0,21030
21,34,111,111,100.0,21034
21,43,398,398,100.0,21043
21,44,194,194,100.0,21044
21,47,428,428,100.0,21047
21,51,411,411,100.0,21051
21,52,380,380,100.0,21052
21,53,180,180,100.0,21053
21,54,362,362,100.0,21054
