ward,precinct,total,Patricia Van Pelt,Patricia Van Pelt Percent,precinct_id
1,8,411,411,100.0,01008
1,11,121,121,100.0,01011
1,12,562,562,100.0,01012
1,21,58,58,100.0,01021
1,32,83,83,100.0,01032
1,33,24,24,100.0,01033
1,37,135,135,100.0,01037
2,1,381,381,100.0,02001
2,6,534,534,100.0,02006
2,7,494,494,100.0,02007
2,8,602,602,100.0,02008
2,9,411,411,100.0,02009
2,12,450,450,100.0,02012
2,15,424,424,100.0,02015
2,17,518,518,100.0,02017
2,20,516,516,100.0,02020
2,25,594,594,100.0,02025
2,41,111,111,100.0,02041
2,46,287,287,100.0,02046
11,2,67,67,100.0,11002
11,6,625,625,100.0,11006
11,7,796,796,100.0,11007
11,33,513,513,100.0,11033
12,10,80,80,100.0,12010
22,19,219,219,100.0,22019
22,21,449,449,100.0,22021
24,1,336,336,100.0,24001
24,2,373,373,100.0,24002
24,3,406,406,100.0,24003
24,4,304,304,100.0,24004
24,5,244,244,100.0,24005
24,6,376,376,100.0,24006
24,7,234,234,100.0,24007
24,8,179,179,100.0,24008
24,9,400,400,100.0,24009
24,10,176,176,100.0,24010
24,11,431,431,100.0,24011
24,12,239,239,100.0,24012
24,13,241,241,100.0,24013
24,14,366,366,100.0,24014
24,15,225,225,100.0,24015
24,16,20,20,100.0,24016
24,17,302,302,100.0,24017
24,18,373,373,100.0,24018
24,19,439,439,100.0,24019
24,20,328,328,100.0,24020
24,21,212,212,100.0,24021
24,22,519,519,100.0,24022
24,23,358,358,100.0,24023
24,24,492,492,100.0,24024
24,25,286,286,100.0,24025
24,26,501,501,100.0,24026
24,27,394,394,100.0,24027
24,28,277,277,100.0,24028
24,29,264,264,100.0,24029
24,30,208,208,100.0,24030
24,31,408,408,100.0,24031
24,32,229,229,100.0,24032
24,33,229,229,100.0,24033
24,34,348,348,100.0,24034
24,35,360,360,100.0,24035
24,36,424,424,100.0,24036
24,37,251,251,100.0,24037
24,38,289,289,100.0,24038
24,39,422,422,100.0,24039
24,40,395,395,100.0,24040
24,41,285,285,100.0,24041
25,3,590,590,100.0,25003
25,4,465,465,100.0,25004
25,10,678,678,100.0,25010
25,16,613,613,100.0,25016
25,20,352,352,100.0,25020
25,25,450,450,100.0,25025
25,27,335,335,100.0,25027
25,29,425,425,100.0,25029
