ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
12,20,2,2,100.0,12020
14,1,362,362,100.0,14001
14,2,509,509,100.0,14002
14,4,346,346,100.0,14004
14,5,577,577,100.0,14005
14,6,166,166,100.0,14006
14,7,488,488,100.0,14007
14,8,454,454,100.0,14008
14,9,427,427,100.0,14009
14,10,256,256,100.0,14010
14,12,415,415,100.0,14012
14,13,336,336,100.0,14013
14,14,415,415,100.0,14014
14,16,277,277,100.0,14016
14,17,341,341,100.0,14017
14,18,40,40,100.0,14018
14,19,416,416,100.0,14019
14,20,274,274,100.0,14020
14,21,367,367,100.0,14021
14,22,132,132,100.0,14022
14,23,220,220,100.0,14023
14,24,410,410,100.0,14024
14,25,257,257,100.0,14025
14,26,297,297,100.0,14026
14,27,395,395,100.0,14027
14,28,307,307,100.0,14028
14,29,352,352,100.0,14029
14,30,248,248,100.0,14030
14,31,238,238,100.0,14031
15,3,43,43,100.0,15003
15,4,358,358,100.0,15004
15,8,331,331,100.0,15008
15,9,48,48,100.0,15009
15,10,236,236,100.0,15010
15,11,281,281,100.0,15011
15,12,414,414,100.0,15012
15,16,400,400,100.0,15016
15,19,325,325,100.0,15019
16,1,425,425,100.0,16001
16,2,78,78,100.0,16002
16,7,322,322,100.0,16007
16,11,345,345,100.0,16011
16,13,368,368,100.0,16013
16,17,270,270,100.0,16017
16,23,366,366,100.0,16023
16,32,412,412,100.0,16032
16,35,392,392,100.0,16035
17,1,215,215,100.0,17001
17,7,374,374,100.0,17007
17,12,489,489,100.0,17012
17,14,408,408,100.0,17014
17,16,349,349,100.0,17016
17,30,106,106,100.0,17030
22,1,238,238,100.0,22001
22,2,433,433,100.0,22002
22,8,473,473,100.0,22008
22,12,328,328,100.0,22012
22,23,482,482,100.0,22023
23,3,308,308,100.0,23003
23,6,142,142,100.0,23006
23,12,22,22,100.0,23012
23,14,258,258,100.0,23014
23,17,173,173,100.0,23017
23,19,322,322,100.0,23019
23,20,16,16,100.0,23020
23,22,76,76,100.0,23022
23,24,201,201,100.0,23024
23,25,301,301,100.0,23025
23,26,154,154,100.0,23026
23,31,280,280,100.0,23031
23,37,110,110,100.0,23037
