ward,precinct,total,Herb Schumann,Herb Schumann Percent,Martin J. Durkan,Martin J. Durkan Percent,Christopher Anthony,Christopher Anthony Percent,precinct_id
1,1,551,77,13.97,366,66.42,108,19.6,01001
1,2,526,33,6.27,402,76.43,91,17.3,01002
1,3,635,132,20.79,410,64.57,93,14.65,01003
1,4,622,122,19.61,388,62.38,112,18.01,01004
1,5,598,129,21.57,378,63.21,91,15.22,01005
1,6,542,106,19.56,346,63.84,90,16.61,01006
1,7,390,55,14.1,245,62.82,90,23.08,01007
1,8,499,87,17.43,339,67.94,73,14.63,01008
1,9,432,58,13.43,309,71.53,65,15.05,01009
1,10,696,173,24.86,441,63.36,82,11.78,01010
1,11,621,139,22.38,370,59.58,112,18.04,01011
1,12,628,126,20.06,391,62.26,111,17.68,01012
1,13,240,36,15.0,164,68.33,40,16.67,01013
1,14,567,94,16.58,387,68.25,86,15.17,01014
1,15,494,72,14.57,312,63.16,110,22.27,01015
1,16,527,58,11.01,379,71.92,90,17.08,01016
1,17,470,52,11.06,335,71.28,83,17.66,01017
1,18,570,54,9.47,400,70.18,116,20.35,01018
1,19,690,75,10.87,487,70.58,128,18.55,01019
1,20,439,40,9.11,298,67.88,101,23.01,01020
1,21,647,140,21.64,394,60.9,113,17.47,01021
1,22,354,50,14.12,255,72.03,49,13.84,01022
1,23,740,90,12.16,480,64.86,170,22.97,01023
1,24,485,51,10.52,336,69.28,98,20.21,01024
1,25,512,76,14.84,329,64.26,107,20.9,01025
1,26,370,27,7.3,265,71.62,78,21.08,01026
1,27,559,126,22.54,337,60.29,96,17.17,01027
1,28,162,9,5.56,141,87.04,12,7.41,01028
1,29,545,98,17.98,344,63.12,103,18.9,01029
1,30,620,65,10.48,434,70.0,121,19.52,01030
1,31,549,79,14.39,375,68.31,95,17.3,01031
1,32,546,114,20.88,337,61.72,95,17.4,01032
1,33,606,128,21.12,377,62.21,101,16.67,01033
1,34,489,74,15.13,308,62.99,107,21.88,01034
1,35,681,145,21.29,416,61.09,120,17.62,01035
1,36,586,138,23.55,366,62.46,82,13.99,01036
1,37,561,144,25.67,331,59.0,86,15.33,01037
1,38,539,80,14.84,358,66.42,101,18.74,01038
1,39,468,99,21.15,293,62.61,76,16.24,01039
1,40,542,109,20.11,368,67.9,65,11.99,01040
1,41,296,28,9.46,198,66.89,70,23.65,01041
1,42,174,28,16.09,105,60.34,41,23.56,01042
1,43,366,52,14.21,239,65.3,75,20.49,01043
1,44,473,55,11.63,312,65.96,106,22.41,01044
2,1,622,123,19.77,387,62.22,112,18.01,02001
2,2,453,149,32.89,244,53.86,60,13.25,02002
2,3,666,176,26.43,379,56.91,111,16.67,02003
2,4,503,96,19.09,335,66.6,72,14.31,02004
2,5,675,140,20.74,433,64.15,102,15.11,02005
2,6,570,109,19.12,386,67.72,75,13.16,02006
2,7,542,131,24.17,348,64.21,63,11.62,02007
2,8,672,161,23.96,405,60.27,106,15.77,02008
2,9,500,230,46.0,215,43.0,55,11.0,02009
2,10,485,232,47.84,221,45.57,32,6.6,02010
2,11,581,266,45.78,270,46.47,45,7.75,02011
2,12,521,122,23.42,354,67.95,45,8.64,02012
2,13,523,197,37.67,267,51.05,59,11.28,02013
2,14,606,109,17.99,359,59.24,138,22.77,02014
2,15,539,123,22.82,328,60.85,88,16.33,02015
2,16,508,98,19.29,340,66.93,70,13.78,02016
2,17,669,128,19.13,413,61.73,128,19.13,02017
2,18,562,197,35.05,309,54.98,56,9.96,02018
2,19,401,176,43.89,187,46.63,38,9.48,02019
2,20,672,219,32.59,383,56.99,70,10.42,02020
2,21,570,116,20.35,351,61.58,103,18.07,02021
2,22,620,259,41.77,297,47.9,64,10.32,02022
2,23,394,190,48.22,167,42.39,37,9.39,02023
2,24,537,175,32.59,314,58.47,48,8.94,02024
2,25,646,150,23.22,399,61.76,97,15.02,02025
2,26,496,141,28.43,308,62.1,47,9.48,02026
2,27,552,216,39.13,278,50.36,58,10.51,02027
2,28,659,261,39.61,330,50.08,68,10.32,02028
2,29,637,238,37.36,315,49.45,84,13.19,02029
2,30,501,197,39.32,255,50.9,49,9.78,02030
2,31,721,309,42.86,342,47.43,70,9.71,02031
2,32,520,190,36.54,273,52.5,57,10.96,02032
2,33,840,329,39.17,453,53.93,58,6.9,02033
2,34,471,193,40.98,233,49.47,45,9.55,02034
2,35,754,284,37.67,396,52.52,74,9.81,02035
2,36,460,171,37.17,232,50.43,57,12.39,02036
2,37,512,176,34.38,279,54.49,57,11.13,02037
2,38,548,255,46.53,235,42.88,58,10.58,02038
2,39,409,182,44.5,186,45.48,41,10.02,02039
2,40,672,233,34.67,378,56.25,61,9.08,02040
2,41,616,242,39.29,313,50.81,61,9.9,02041
2,42,645,223,34.57,365,56.59,57,8.84,02042
2,43,803,332,41.34,401,49.94,70,8.72,02043
2,44,381,153,40.16,190,49.87,38,9.97,02044
2,45,551,157,28.49,323,58.62,71,12.89,02045
2,46,342,141,41.23,154,45.03,47,13.74,02046
3,1,665,11,1.65,619,93.08,35,5.26,03001
3,2,619,21,3.39,546,88.21,52,8.4,03002
3,3,465,47,10.11,386,83.01,32,6.88,03003
