ward,precinct,total,Andre Thapedi,Andre Thapedi Percent,precinct_id
6,4,345,345,100.0,06004
6,5,309,309,100.0,06005
6,6,387,387,100.0,06006
6,7,413,413,100.0,06007
6,9,442,442,100.0,06009
6,11,371,371,100.0,06011
6,12,350,350,100.0,06012
6,15,238,238,100.0,06015
6,18,267,267,100.0,06018
6,19,214,214,100.0,06019
6,21,283,283,100.0,06021
6,22,49,49,100.0,06022
6,23,262,262,100.0,06023
6,24,235,235,100.0,06024
6,26,232,232,100.0,06026
6,28,164,164,100.0,06028
6,30,370,370,100.0,06030
6,32,408,408,100.0,06032
6,33,413,413,100.0,06033
6,40,353,353,100.0,06040
6,47,309,309,100.0,06047
6,48,415,415,100.0,06048
8,26,3,3,100.0,08026
15,7,151,151,100.0,15007
15,22,273,273,100.0,15022
16,6,196,196,100.0,16006
16,16,306,306,100.0,16016
16,24,199,199,100.0,16024
16,29,303,303,100.0,16029
16,30,241,241,100.0,16030
16,33,278,278,100.0,16033
17,1,144,144,100.0,17001
17,3,401,401,100.0,17003
17,8,159,159,100.0,17008
17,11,64,64,100.0,17011
17,13,320,320,100.0,17013
17,17,329,329,100.0,17017
17,19,261,261,100.0,17019
17,30,214,214,100.0,17030
17,31,269,269,100.0,17031
17,32,93,93,100.0,17032
17,33,275,275,100.0,17033
17,34,96,96,100.0,17034
17,35,327,327,100.0,17035
17,36,371,371,100.0,17036
17,37,59,59,100.0,17037
18,1,369,369,100.0,18001
18,2,377,377,100.0,18002
18,3,315,315,100.0,18003
18,5,285,285,100.0,18005
18,6,132,132,100.0,18006
18,11,318,318,100.0,18011
18,12,118,118,100.0,18012
18,15,16,16,100.0,18015
18,17,405,405,100.0,18017
18,21,329,329,100.0,18021
18,23,384,384,100.0,18023
18,24,358,358,100.0,18024
18,25,380,380,100.0,18025
18,27,322,322,100.0,18027
18,28,347,347,100.0,18028
18,29,418,418,100.0,18029
18,30,401,401,100.0,18030
18,31,434,434,100.0,18031
18,33,268,268,100.0,18033
18,39,357,357,100.0,18039
18,40,438,438,100.0,18040
18,42,373,373,100.0,18042
18,43,41,41,100.0,18043
18,44,299,299,100.0,18044
18,45,397,397,100.0,18045
18,46,160,160,100.0,18046
18,47,326,326,100.0,18047
18,48,333,333,100.0,18048
18,49,277,277,100.0,18049
18,50,192,192,100.0,18050
20,8,79,79,100.0,20008
20,28,255,255,100.0,20028
