ward,precinct,total,William B. Sullivan,William B. Sullivan Percent,precinct_id
29,1,421,421,100.0,29001
29,7,354,354,100.0,29007
29,9,355,355,100.0,29009
29,10,405,405,100.0,29010
29,12,462,462,100.0,29012
29,15,435,435,100.0,29015
29,17,365,365,100.0,29017
29,23,342,342,100.0,29023
29,24,348,348,100.0,29024
29,29,316,316,100.0,29029
29,30,367,367,100.0,29030
29,31,299,299,100.0,29031
29,32,287,287,100.0,29032
29,36,321,321,100.0,29036
29,38,315,315,100.0,29038
29,39,298,298,100.0,29039
29,43,406,406,100.0,29043
30,1,374,374,100.0,30001
30,2,310,310,100.0,30002
30,3,115,115,100.0,30003
30,4,304,304,100.0,30004
30,5,247,247,100.0,30005
30,6,236,236,100.0,30006
30,7,355,355,100.0,30007
30,8,378,378,100.0,30008
30,9,267,267,100.0,30009
30,10,353,353,100.0,30010
30,11,313,313,100.0,30011
30,12,290,290,100.0,30012
30,13,267,267,100.0,30013
30,16,156,156,100.0,30016
30,17,314,314,100.0,30017
30,18,375,375,100.0,30018
30,20,257,257,100.0,30020
30,21,225,225,100.0,30021
30,22,434,434,100.0,30022
30,23,387,387,100.0,30023
30,24,385,385,100.0,30024
30,25,415,415,100.0,30025
30,26,203,203,100.0,30026
30,27,212,212,100.0,30027
30,28,390,390,100.0,30028
30,29,220,220,100.0,30029
30,30,152,152,100.0,30030
30,31,217,217,100.0,30031
31,3,210,210,100.0,31003
31,8,167,167,100.0,31008
31,9,245,245,100.0,31009
31,11,199,199,100.0,31011
31,12,213,213,100.0,31012
31,14,230,230,100.0,31014
31,15,179,179,100.0,31015
31,17,42,42,100.0,31017
31,19,201,201,100.0,31019
31,25,219,219,100.0,31025
31,31,193,193,100.0,31031
31,33,215,215,100.0,31033
31,34,216,216,100.0,31034
31,35,85,85,100.0,31035
36,1,334,334,100.0,36001
36,2,302,302,100.0,36002
36,3,269,269,100.0,36003
36,4,338,338,100.0,36004
36,5,287,287,100.0,36005
36,7,307,307,100.0,36007
36,10,343,343,100.0,36010
36,14,320,320,100.0,36014
36,15,340,340,100.0,36015
36,16,324,324,100.0,36016
36,17,317,317,100.0,36017
36,18,285,285,100.0,36018
36,19,360,360,100.0,36019
36,20,294,294,100.0,36020
36,21,36,36,100.0,36021
36,23,174,174,100.0,36023
36,24,316,316,100.0,36024
36,26,253,253,100.0,36026
36,27,269,269,100.0,36027
36,28,257,257,100.0,36028
36,29,328,328,100.0,36029
36,30,307,307,100.0,36030
37,16,263,263,100.0,37016
37,24,295,295,100.0,37024
37,26,352,352,100.0,37026
38,2,237,237,100.0,38002
38,3,318,318,100.0,38003
38,4,281,281,100.0,38004
38,5,261,261,100.0,38005
38,6,295,295,100.0,38006
38,7,252,252,100.0,38007
38,8,280,280,100.0,38008
38,9,314,314,100.0,38009
38,10,291,291,100.0,38010
38,11,286,286,100.0,38011
38,12,230,230,100.0,38012
38,13,285,285,100.0,38013
38,14,314,314,100.0,38014
38,15,281,281,100.0,38015
38,16,302,302,100.0,38016
38,17,316,316,100.0,38017
38,18,326,326,100.0,38018
38,19,342,342,100.0,38019
38,20,295,295,100.0,38020
38,21,259,259,100.0,38021
38,22,263,263,100.0,38022
38,23,339,339,100.0,38023
38,24,315,315,100.0,38024
38,25,249,249,100.0,38025
38,26,304,304,100.0,38026
38,27,304,304,100.0,38027
38,28,341,341,100.0,38028
38,29,280,280,100.0,38029
38,30,276,276,100.0,38030
38,33,277,277,100.0,38033
38,34,284,284,100.0,38034
38,35,287,287,100.0,38035
38,36,277,277,100.0,38036
38,37,297,297,100.0,38037
38,38,263,263,100.0,38038
38,39,343,343,100.0,38039
38,40,316,316,100.0,38040
41,25,279,279,100.0,41025
41,27,246,246,100.0,41027
41,28,362,362,100.0,41028
41,29,256,256,100.0,41029
45,4,77,77,100.0,45004
45,5,276,276,100.0,45005
45,6,413,413,100.0,45006
45,7,57,57,100.0,45007
45,8,25,25,100.0,45008
45,9,244,244,100.0,45009
45,10,140,140,100.0,45010
