ward,precinct,total,Lou Lang,Lou Lang Percent,precinct_id
40,4,214,214,100.0,40004
40,10,372,372,100.0,40010
40,29,32,32,100.0,40029
40,35,3,3,100.0,40035
40,39,97,97,100.0,40039
50,1,389,389,100.0,50001
50,2,249,249,100.0,50002
50,3,330,330,100.0,50003
50,4,421,421,100.0,50004
50,5,261,261,100.0,50005
50,6,416,416,100.0,50006
50,7,452,452,100.0,50007
50,8,76,76,100.0,50008
50,9,322,322,100.0,50009
50,10,409,409,100.0,50010
50,11,278,278,100.0,50011
50,12,163,163,100.0,50012
50,13,500,500,100.0,50013
50,14,109,109,100.0,50014
50,15,430,430,100.0,50015
50,16,122,122,100.0,50016
50,17,358,358,100.0,50017
50,18,88,88,100.0,50018
50,19,255,255,100.0,50019
50,20,418,418,100.0,50020
50,21,332,332,100.0,50021
50,22,299,299,100.0,50022
50,23,249,249,100.0,50023
50,25,296,296,100.0,50025
50,26,442,442,100.0,50026
50,27,104,104,100.0,50027
50,28,402,402,100.0,50028
50,29,453,453,100.0,50029
50,30,285,285,100.0,50030
50,31,492,492,100.0,50031
50,32,481,481,100.0,50032
50,33,301,301,100.0,50033
50,34,505,505,100.0,50034
50,35,484,484,100.0,50035
50,36,337,337,100.0,50036
50,37,416,416,100.0,50037
50,38,162,162,100.0,50038
50,39,291,291,100.0,50039
50,40,378,378,100.0,50040
