ward,precinct,total,Daryl Jones,Daryl Jones Percent,precinct_id
3,1,484,484,100.0,03001
3,2,451,451,100.0,03002
3,4,486,486,100.0,03004
3,5,301,301,100.0,03005
3,7,249,249,100.0,03007
3,8,380,380,100.0,03008
3,9,433,433,100.0,03009
3,10,243,243,100.0,03010
3,11,433,433,100.0,03011
3,12,389,389,100.0,03012
3,15,451,451,100.0,03015
3,16,424,424,100.0,03016
3,18,541,541,100.0,03018
3,20,436,436,100.0,03020
3,23,398,398,100.0,03023
3,24,370,370,100.0,03024
3,28,232,232,100.0,03028
3,29,476,476,100.0,03029
3,30,410,410,100.0,03030
3,31,527,527,100.0,03031
3,35,223,223,100.0,03035
3,36,264,264,100.0,03036
3,37,393,393,100.0,03037
3,38,340,340,100.0,03038
3,41,305,305,100.0,03041
4,1,537,537,100.0,04001
4,3,417,417,100.0,04003
4,4,583,583,100.0,04004
4,5,424,424,100.0,04005
4,6,363,363,100.0,04006
4,7,556,556,100.0,04007
4,8,513,513,100.0,04008
4,9,471,471,100.0,04009
4,10,508,508,100.0,04010
4,11,481,481,100.0,04011
4,12,522,522,100.0,04012
4,14,453,453,100.0,04014
4,15,540,540,100.0,04015
4,18,390,390,100.0,04018
4,19,415,415,100.0,04019
4,22,436,436,100.0,04022
4,23,550,550,100.0,04023
4,24,416,416,100.0,04024
4,26,421,421,100.0,04026
4,27,513,513,100.0,04027
4,28,416,416,100.0,04028
4,29,484,484,100.0,04029
4,30,586,586,100.0,04030
4,31,425,425,100.0,04031
4,32,505,505,100.0,04032
4,33,463,463,100.0,04033
4,34,410,410,100.0,04034
4,35,550,550,100.0,04035
4,36,511,511,100.0,04036
4,38,479,479,100.0,04038
5,1,399,399,100.0,05001
5,2,363,363,100.0,05002
5,3,413,413,100.0,05003
5,4,531,531,100.0,05004
5,5,380,380,100.0,05005
5,6,370,370,100.0,05006
5,7,407,407,100.0,05007
5,8,388,388,100.0,05008
5,9,477,477,100.0,05009
5,10,357,357,100.0,05010
5,11,405,405,100.0,05011
5,12,87,87,100.0,05012
5,13,356,356,100.0,05013
5,14,336,336,100.0,05014
5,15,391,391,100.0,05015
5,16,415,415,100.0,05016
5,17,348,348,100.0,05017
5,18,395,395,100.0,05018
5,19,361,361,100.0,05019
5,20,450,450,100.0,05020
5,21,433,433,100.0,05021
5,22,442,442,100.0,05022
5,23,676,676,100.0,05023
5,24,441,441,100.0,05024
5,25,395,395,100.0,05025
5,26,465,465,100.0,05026
5,27,505,505,100.0,05027
5,28,444,444,100.0,05028
5,29,463,463,100.0,05029
5,30,352,352,100.0,05030
5,31,344,344,100.0,05031
5,32,456,456,100.0,05032
5,33,434,434,100.0,05033
5,34,449,449,100.0,05034
5,35,386,386,100.0,05035
5,36,251,251,100.0,05036
5,37,375,375,100.0,05037
5,38,411,411,100.0,05038
5,39,304,304,100.0,05039
5,40,334,334,100.0,05040
5,41,200,200,100.0,05041
6,7,372,372,100.0,06007
6,9,355,355,100.0,06009
6,11,313,313,100.0,06011
6,15,264,264,100.0,06015
6,18,29,29,100.0,06018
6,21,192,192,100.0,06021
6,23,192,192,100.0,06023
6,24,191,191,100.0,06024
6,26,193,193,100.0,06026
