ward,precinct,total,Dan Gott,Dan Gott Percent,Martin J. Moylan,Martin J. Moylan Percent,precinct_id
41,28,603,203,33.67,400,66.33,41028
41,29,454,173,38.11,281,61.89,41029
41,42,9,2,22.22,7,77.78,41042
