ward,precinct,total,August (O'Neill) Deuser,August (O'Neill) Deuser Percent,Bobby L. Rush,Bobby L. Rush Percent,precinct_id
3,2,41,2,4.88,39,95.12,03002
3,4,298,10,3.36,288,96.64,03004
3,7,404,15,3.71,389,96.29,03007
3,12,50,1,2.0,49,98.0,03012
3,18,252,17,6.75,235,93.25,03018
3,23,91,5,5.49,86,94.51,03023
3,29,1,0,0.0,1,100.0,03029
3,30,250,9,3.6,241,96.4,03030
3,31,28,2,7.14,26,92.86,03031
3,35,277,17,6.14,260,93.86,03035
3,38,478,7,1.46,471,98.54,03038
3,41,475,57,12.0,418,88.0,03041
4,1,746,79,10.59,667,89.41,04001
4,3,566,14,2.47,552,97.53,04003
4,4,72,6,8.33,66,91.67,04004
4,8,503,14,2.78,489,97.22,04008
4,9,626,14,2.24,612,97.76,04009
4,11,236,12,5.08,224,94.92,04011
4,12,649,23,3.54,626,96.46,04012
4,14,506,18,3.56,488,96.44,04014
4,15,539,12,2.23,527,97.77,04015
4,18,533,20,3.75,513,96.25,04018
4,19,591,16,2.71,575,97.29,04019
4,22,518,46,8.88,472,91.12,04022
4,23,772,48,6.22,724,93.78,04023
4,24,537,41,7.64,496,92.36,04024
4,26,599,18,3.01,581,96.99,04026
4,27,700,45,6.43,655,93.57,04027
4,28,173,7,4.05,166,95.95,04028
4,29,402,8,1.99,394,98.01,04029
4,30,718,15,2.09,703,97.91,04030
4,31,570,34,5.96,536,94.04,04031
4,32,642,14,2.18,628,97.82,04032
4,33,646,38,5.88,608,94.12,04033
4,36,302,10,3.31,292,96.69,04036
4,38,603,23,3.81,580,96.19,04038
5,2,497,12,2.41,485,97.59,05002
5,3,596,50,8.39,546,91.61,05003
5,4,693,41,5.92,652,94.08,05004
5,5,552,9,1.63,543,98.37,05005
5,7,553,45,8.14,508,91.86,05007
5,8,593,69,11.64,524,88.36,05008
5,9,655,39,5.95,616,94.05,05009
5,10,316,5,1.58,311,98.42,05010
5,11,227,23,10.13,204,89.87,05011
5,12,461,16,3.47,445,96.53,05012
5,13,489,13,2.66,476,97.34,05013
5,15,560,36,6.43,524,93.57,05015
5,16,589,12,2.04,577,97.96,05016
5,17,529,15,2.84,514,97.16,05017
5,18,333,8,2.4,325,97.6,05018
5,19,544,67,12.32,477,87.68,05019
5,20,619,44,7.11,575,92.89,05020
5,21,599,44,7.35,555,92.65,05021
5,22,611,73,11.95,538,88.05,05022
5,24,640,43,6.72,597,93.28,05024
5,25,138,5,3.62,133,96.38,05025
5,27,781,106,13.57,675,86.43,05027
5,30,475,19,4.0,456,96.0,05030
5,33,589,14,2.38,575,97.62,05033
5,34,730,94,12.88,636,87.12,05034
5,35,482,59,12.24,423,87.76,05035
5,39,464,46,9.91,418,90.09,05039
6,1,503,15,2.98,488,97.02,06001
6,2,497,11,2.21,486,97.79,06002
6,3,497,9,1.81,488,98.19,06003
6,4,417,5,1.2,412,98.8,06004
6,5,394,5,1.27,389,98.73,06005
6,6,459,15,3.27,444,96.73,06006
6,7,490,12,2.45,478,97.55,06007
6,8,489,5,1.02,484,98.98,06008
6,9,556,15,2.7,541,97.3,06009
6,10,369,13,3.52,356,96.48,06010
6,11,465,9,1.94,456,98.06,06011
6,12,440,5,1.14,435,98.86,06012
6,13,380,9,2.37,371,97.63,06013
6,14,493,13,2.64,480,97.36,06014
6,15,497,10,2.01,487,97.99,06015
6,16,475,6,1.26,469,98.74,06016
6,17,425,9,2.12,416,97.88,06017
6,18,407,16,3.93,391,96.07,06018
6,19,478,11,2.3,467,97.7,06019
6,20,361,5,1.39,356,98.61,06020
6,21,50,3,6.0,47,94.0,06021
6,22,383,14,3.66,369,96.34,06022
6,23,330,7,2.12,323,97.88,06023
6,24,306,5,1.63,301,98.37,06024
6,25,322,3,0.93,319,99.07,06025
6,26,434,5,1.15,429,98.85,06026
6,27,350,13,3.71,337,96.29,06027
6,28,308,4,1.3,304,98.7,06028
6,29,496,5,1.01,491,98.99,06029
6,30,467,11,2.36,456,97.64,06030
6,31,470,12,2.55,458,97.45,06031
6,32,465,9,1.94,456,98.06,06032
6,33,490,16,3.27,474,96.73,06033
6,34,506,12,2.37,494,97.63,06034
6,35,436,6,1.38,430,98.62,06035
6,36,503,12,2.39,491,97.61,06036
6,37,461,18,3.9,443,96.1,06037
