ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,precinct_id
1,1,513,513,100.0,01001
1,2,498,498,100.0,01002
1,7,364,364,100.0,01007
1,9,409,409,100.0,01009
1,13,232,232,100.0,01013
1,15,361,361,100.0,01015
1,16,504,504,100.0,01016
1,17,449,449,100.0,01017
1,18,549,549,100.0,01018
1,19,662,662,100.0,01019
1,20,428,428,100.0,01020
1,22,335,335,100.0,01022
1,23,701,701,100.0,01023
1,24,452,452,100.0,01024
1,25,481,481,100.0,01025
1,26,367,367,100.0,01026
1,27,515,515,100.0,01027
1,29,515,515,100.0,01029
1,30,570,570,100.0,01030
1,31,515,515,100.0,01031
1,34,461,461,100.0,01034
1,38,404,404,100.0,01038
1,41,289,289,100.0,01041
1,42,163,163,100.0,01042
1,43,337,337,100.0,01043
1,44,446,446,100.0,01044
11,3,430,430,100.0,11003
11,37,0,0,0.0,11037
11,38,227,227,100.0,11038
12,2,349,349,100.0,12002
12,3,83,83,100.0,12003
12,5,219,219,100.0,12005
12,6,405,405,100.0,12006
12,7,431,431,100.0,12007
12,8,409,409,100.0,12008
12,10,425,425,100.0,12010
12,11,439,439,100.0,12011
12,12,448,448,100.0,12012
12,13,441,441,100.0,12013
12,14,407,407,100.0,12014
12,15,165,165,100.0,12015
12,16,422,422,100.0,12016
12,17,466,466,100.0,12017
12,18,218,218,100.0,12018
12,19,4,4,100.0,12019
12,20,515,515,100.0,12020
12,21,442,442,100.0,12021
12,22,421,421,100.0,12022
14,2,502,502,100.0,14002
14,3,476,476,100.0,14003
14,5,566,566,100.0,14005
14,6,214,214,100.0,14006
14,10,258,258,100.0,14010
14,11,270,270,100.0,14011
14,13,339,339,100.0,14013
14,14,417,417,100.0,14014
14,15,484,484,100.0,14015
14,16,283,283,100.0,14016
14,17,336,336,100.0,14017
14,19,433,433,100.0,14019
14,20,282,282,100.0,14020
14,25,271,271,100.0,14025
14,27,403,403,100.0,14027
14,28,318,318,100.0,14028
14,30,250,250,100.0,14030
14,31,243,243,100.0,14031
15,1,144,144,100.0,15001
15,4,404,404,100.0,15004
15,5,300,300,100.0,15005
15,6,443,443,100.0,15006
15,8,246,246,100.0,15008
15,9,511,511,100.0,15009
15,10,539,539,100.0,15010
15,11,518,518,100.0,15011
15,12,506,506,100.0,15012
15,15,130,130,100.0,15015
16,1,146,146,100.0,16001
22,3,558,558,100.0,22003
22,4,339,339,100.0,22004
22,5,402,402,100.0,22005
22,6,399,399,100.0,22006
22,7,309,309,100.0,22007
22,9,367,367,100.0,22009
22,10,565,565,100.0,22010
22,11,350,350,100.0,22011
22,13,404,404,100.0,22013
22,14,139,139,100.0,22014
22,15,359,359,100.0,22015
22,16,333,333,100.0,22016
22,17,415,415,100.0,22017
22,18,400,400,100.0,22018
22,19,2,2,100.0,22019
22,20,392,392,100.0,22020
22,22,358,358,100.0,22022
22,24,472,472,100.0,22024
22,25,413,413,100.0,22025
23,9,194,194,100.0,23009
23,13,349,349,100.0,23013
23,15,54,54,100.0,23015
23,24,339,339,100.0,23024
23,26,142,142,100.0,23026
23,34,154,154,100.0,23034
23,39,231,231,100.0,23039
24,16,350,350,100.0,24016
25,1,404,404,100.0,25001
25,2,474,474,100.0,25002
25,5,462,462,100.0,25005
25,7,442,442,100.0,25007
25,8,536,536,100.0,25008
25,9,511,511,100.0,25009
25,11,492,492,100.0,25011
25,12,436,436,100.0,25012
25,13,513,513,100.0,25013
25,14,30,30,100.0,25014
25,15,419,419,100.0,25015
25,17,473,473,100.0,25017
25,19,505,505,100.0,25019
25,22,463,463,100.0,25022
25,23,533,533,100.0,25023
25,24,489,489,100.0,25024
25,26,437,437,100.0,25026
25,27,32,32,100.0,25027
25,28,498,498,100.0,25028
25,30,453,453,100.0,25030
25,32,380,380,100.0,25032
26,1,182,182,100.0,26001
26,2,346,346,100.0,26002
26,5,339,339,100.0,26005
26,6,314,314,100.0,26006
26,7,359,359,100.0,26007
26,8,195,195,100.0,26008
26,9,324,324,100.0,26009
26,10,67,67,100.0,26010
26,11,339,339,100.0,26011
26,12,383,383,100.0,26012
26,13,221,221,100.0,26013
26,14,279,279,100.0,26014
26,15,239,239,100.0,26015
26,16,229,229,100.0,26016
26,18,307,307,100.0,26018
26,20,318,318,100.0,26020
26,22,237,237,100.0,26022
26,23,243,243,100.0,26023
26,24,338,338,100.0,26024
26,25,313,313,100.0,26025
26,26,253,253,100.0,26026
26,27,199,199,100.0,26027
26,29,213,213,100.0,26029
26,30,294,294,100.0,26030
26,31,169,169,100.0,26031
26,33,32,32,100.0,26033
26,34,411,411,100.0,26034
26,35,310,310,100.0,26035
26,36,13,13,100.0,26036
26,37,411,411,100.0,26037
26,38,205,205,100.0,26038
26,39,156,156,100.0,26039
26,40,247,247,100.0,26040
26,41,415,415,100.0,26041
26,42,288,288,100.0,26042
26,43,250,250,100.0,26043
26,44,219,219,100.0,26044
26,45,143,143,100.0,26045
26,47,263,263,100.0,26047
26,48,350,350,100.0,26048
26,49,240,240,100.0,26049
28,19,1,1,100.0,28019
29,1,34,34,100.0,29001
29,9,422,422,100.0,29009
29,23,178,178,100.0,29023
29,30,483,483,100.0,29030
29,38,405,405,100.0,29038
29,39,189,189,100.0,29039
29,43,185,185,100.0,29043
30,1,470,470,100.0,30001
30,2,423,423,100.0,30002
30,3,318,318,100.0,30003
30,4,385,385,100.0,30004
30,5,352,352,100.0,30005
30,6,334,334,100.0,30006
30,7,447,447,100.0,30007
30,8,456,456,100.0,30008
30,9,347,347,100.0,30009
30,10,480,480,100.0,30010
30,11,411,411,100.0,30011
30,12,416,416,100.0,30012
30,13,385,385,100.0,30013
30,14,320,320,100.0,30014
30,15,84,84,100.0,30015
30,16,210,210,100.0,30016
30,17,197,197,100.0,30017
30,18,495,495,100.0,30018
30,19,432,432,100.0,30019
30,20,433,433,100.0,30020
30,22,554,554,100.0,30022
30,23,464,464,100.0,30023
30,24,502,502,100.0,30024
30,25,543,543,100.0,30025
30,26,274,274,100.0,30026
30,27,289,289,100.0,30027
30,28,478,478,100.0,30028
30,29,286,286,100.0,30029
30,30,208,208,100.0,30030
30,31,269,269,100.0,30031
30,32,332,332,100.0,30032
31,1,305,305,100.0,31001
31,2,247,247,100.0,31002
31,3,289,289,100.0,31003
31,4,400,400,100.0,31004
31,5,303,303,100.0,31005
31,6,264,264,100.0,31006
31,7,466,466,100.0,31007
31,8,228,228,100.0,31008
31,9,334,334,100.0,31009
31,10,298,298,100.0,31010
31,11,260,260,100.0,31011
31,12,256,256,100.0,31012
31,13,333,333,100.0,31013
31,14,283,283,100.0,31014
31,15,251,251,100.0,31015
31,16,383,383,100.0,31016
31,17,271,271,100.0,31017
31,18,257,257,100.0,31018
31,19,261,261,100.0,31019
31,20,284,284,100.0,31020
31,21,310,310,100.0,31021
31,22,292,292,100.0,31022
31,23,285,285,100.0,31023
31,24,304,304,100.0,31024
31,25,276,276,100.0,31025
31,26,321,321,100.0,31026
31,27,310,310,100.0,31027
31,28,285,285,100.0,31028
31,29,277,277,100.0,31029
31,30,240,240,100.0,31030
31,31,264,264,100.0,31031
31,32,266,266,100.0,31032
31,33,286,286,100.0,31033
31,34,302,302,100.0,31034
31,35,302,302,100.0,31035
31,36,296,296,100.0,31036
31,37,272,272,100.0,31037
31,38,322,322,100.0,31038
31,39,332,332,100.0,31039
31,40,309,309,100.0,31040
31,41,296,296,100.0,31041
32,1,0,0,0.0,32001
32,3,564,564,100.0,32003
32,11,502,502,100.0,32011
32,12,393,393,100.0,32012
32,14,569,569,100.0,32014
32,16,18,18,100.0,32016
32,17,520,520,100.0,32017
32,20,539,539,100.0,32020
32,22,700,700,100.0,32022
32,26,557,557,100.0,32026
32,28,529,529,100.0,32028
32,43,476,476,100.0,32043
33,1,569,569,100.0,33001
33,3,573,573,100.0,33003
33,4,699,699,100.0,33004
33,6,504,504,100.0,33006
33,7,205,205,100.0,33007
33,8,257,257,100.0,33008
33,9,596,596,100.0,33009
33,10,412,412,100.0,33010
33,11,596,596,100.0,33011
33,12,556,556,100.0,33012
33,13,540,540,100.0,33013
33,14,282,282,100.0,33014
33,15,608,608,100.0,33015
33,16,725,725,100.0,33016
33,17,584,584,100.0,33017
33,19,327,327,100.0,33019
33,20,653,653,100.0,33020
33,21,588,588,100.0,33021
33,22,497,497,100.0,33022
33,23,544,544,100.0,33023
33,25,663,663,100.0,33025
33,26,443,443,100.0,33026
33,27,564,564,100.0,33027
33,28,514,514,100.0,33028
35,1,477,477,100.0,35001
35,2,447,447,100.0,35002
35,3,466,466,100.0,35003
35,4,442,442,100.0,35004
35,5,425,425,100.0,35005
35,6,450,450,100.0,35006
35,7,476,476,100.0,35007
35,8,497,497,100.0,35008
35,9,472,472,100.0,35009
35,10,632,632,100.0,35010
35,11,495,495,100.0,35011
35,12,353,353,100.0,35012
35,13,369,369,100.0,35013
35,14,388,388,100.0,35014
35,15,556,556,100.0,35015
35,16,332,332,100.0,35016
35,17,546,546,100.0,35017
35,18,374,374,100.0,35018
35,19,285,285,100.0,35019
35,20,459,459,100.0,35020
35,21,420,420,100.0,35021
35,22,552,552,100.0,35022
35,23,446,446,100.0,35023
35,24,423,423,100.0,35024
35,25,576,576,100.0,35025
35,26,393,393,100.0,35026
35,27,438,438,100.0,35027
35,28,441,441,100.0,35028
35,29,458,458,100.0,35029
35,30,476,476,100.0,35030
35,31,483,483,100.0,35031
36,1,448,448,100.0,36001
36,2,418,418,100.0,36002
36,3,364,364,100.0,36003
36,4,440,440,100.0,36004
36,6,363,363,100.0,36006
36,8,359,359,100.0,36008
36,9,394,394,100.0,36009
36,10,444,444,100.0,36010
36,11,335,335,100.0,36011
36,12,286,286,100.0,36012
36,13,280,280,100.0,36013
36,16,125,125,100.0,36016
36,19,493,493,100.0,36019
36,20,205,205,100.0,36020
36,21,284,284,100.0,36021
36,22,384,384,100.0,36022
36,23,388,388,100.0,36023
36,24,137,137,100.0,36024
36,25,429,429,100.0,36025
36,27,363,363,100.0,36027
36,29,207,207,100.0,36029
37,26,52,52,100.0,37026
38,1,353,353,100.0,38001
38,35,207,207,100.0,38035
38,41,378,378,100.0,38041
39,6,4,4,100.0,39006
39,12,176,176,100.0,39012
39,25,8,8,100.0,39025
39,28,259,259,100.0,39028
39,31,399,399,100.0,39031
45,1,359,359,100.0,45001
45,2,388,388,100.0,45002
45,8,407,407,100.0,45008
45,9,441,441,100.0,45009
45,10,445,445,100.0,45010
