ward,precinct,total,John Fitzgerald Lyke Jr.,John Fitzgerald Lyke Jr. Percent,precinct_id
1,1,446,446,100.0,01001
1,2,435,435,100.0,01002
1,3,526,526,100.0,01003
1,4,487,487,100.0,01004
1,5,487,487,100.0,01005
1,6,427,427,100.0,01006
1,7,327,327,100.0,01007
1,8,389,389,100.0,01008
1,9,364,364,100.0,01009
1,10,559,559,100.0,01010
1,11,503,503,100.0,01011
1,12,502,502,100.0,01012
1,13,195,195,100.0,01013
1,14,462,462,100.0,01014
1,15,406,406,100.0,01015
1,16,439,439,100.0,01016
1,17,383,383,100.0,01017
1,18,475,475,100.0,01018
1,19,576,576,100.0,01019
1,20,371,371,100.0,01020
1,21,536,536,100.0,01021
1,22,291,291,100.0,01022
1,23,622,622,100.0,01023
1,24,392,392,100.0,01024
1,25,403,403,100.0,01025
1,26,296,296,100.0,01026
1,27,450,450,100.0,01027
1,28,128,128,100.0,01028
1,29,439,439,100.0,01029
1,30,492,492,100.0,01030
1,31,429,429,100.0,01031
1,32,430,430,100.0,01032
1,33,487,487,100.0,01033
1,34,403,403,100.0,01034
1,35,561,561,100.0,01035
1,36,498,498,100.0,01036
1,37,432,432,100.0,01037
1,38,445,445,100.0,01038
1,39,372,372,100.0,01039
1,40,436,436,100.0,01040
1,41,240,240,100.0,01041
1,42,142,142,100.0,01042
1,43,281,281,100.0,01043
1,44,402,402,100.0,01044
2,1,505,505,100.0,02001
2,2,329,329,100.0,02002
2,3,524,524,100.0,02003
2,4,398,398,100.0,02004
2,5,554,554,100.0,02005
2,6,479,479,100.0,02006
2,7,435,435,100.0,02007
2,8,524,524,100.0,02008
2,9,366,366,100.0,02009
2,10,320,320,100.0,02010
2,11,398,398,100.0,02011
2,12,417,417,100.0,02012
2,13,375,375,100.0,02013
2,14,477,477,100.0,02014
2,15,437,437,100.0,02015
2,16,443,443,100.0,02016
2,17,530,530,100.0,02017
2,18,439,439,100.0,02018
2,19,244,244,100.0,02019
2,20,526,526,100.0,02020
2,21,454,454,100.0,02021
2,22,444,444,100.0,02022
