ward,precinct,total,Vince Kolber,Vince Kolber Percent,Mike Quigley,Mike Quigley Percent,Rob Sherman,Rob Sherman Percent,precinct_id
1,3,699,112,16.02,547,78.25,40,5.72,01003
1,4,672,116,17.26,506,75.3,50,7.44,01004
1,5,663,123,18.55,514,77.53,26,3.92,01005
1,6,601,109,18.14,443,73.71,49,8.15,01006
1,8,540,72,13.33,437,80.93,31,5.74,01008
1,10,748,147,19.65,567,75.8,34,4.55,01010
1,11,688,136,19.77,512,74.42,40,5.81,01011
1,14,451,52,11.53,376,83.37,23,5.1,01014
1,21,723,125,17.29,565,78.15,33,4.56,01021
1,28,176,10,5.68,158,89.77,8,4.55,01028
1,32,412,58,14.08,325,78.88,29,7.04,01032
1,33,674,123,18.25,502,74.48,49,7.27,01033
1,35,753,142,18.86,556,73.84,55,7.3,01035
1,36,655,123,18.78,499,76.18,33,5.04,01036
1,37,613,136,22.19,426,69.49,51,8.32,01037
1,38,141,19,13.48,115,81.56,7,4.96,01038
1,39,511,93,18.2,387,75.73,31,6.07,01039
1,40,583,100,17.15,444,76.16,39,6.69,01040
2,1,685,118,17.23,538,78.54,29,4.23,02001
2,3,741,134,18.08,561,75.71,46,6.21,02003
2,4,567,78,13.76,446,78.66,43,7.58,02004
2,5,749,130,17.36,570,76.1,49,6.54,02005
2,6,626,89,14.22,502,80.19,35,5.59,02006
2,7,600,114,19.0,460,76.67,26,4.33,02007
2,8,749,136,18.16,565,75.43,48,6.41,02008
2,12,250,74,29.6,169,67.6,7,2.8,02012
2,14,107,15,14.02,86,80.37,6,5.61,02014
2,15,609,103,16.91,467,76.68,39,6.4,02015
2,16,576,93,16.15,454,78.82,29,5.03,02016
2,17,2,0,0.0,2,100.0,0,0.0,02017
2,20,383,110,28.72,258,67.36,15,3.92,02020
2,21,608,93,15.3,486,79.93,29,4.77,02021
2,22,672,228,33.93,423,62.95,21,3.13,02022
2,24,595,145,24.37,428,71.93,22,3.7,02024
2,25,722,130,18.01,553,76.59,39,5.4,02025
2,26,560,135,24.11,414,73.93,11,1.96,02026
2,28,420,116,27.62,288,68.57,16,3.81,02028
2,30,545,190,34.86,341,62.57,14,2.57,02030
2,31,798,257,32.21,519,65.04,22,2.76,02031
2,33,927,292,31.5,610,65.8,25,2.7,02033
2,37,556,159,28.6,380,68.35,17,3.06,02037
2,38,132,60,45.45,70,53.03,2,1.52,02038
2,44,422,139,32.94,275,65.17,8,1.9,02044
26,28,266,50,18.8,200,75.19,16,6.02,26028
26,32,509,86,16.9,380,74.66,43,8.45,26032
27,7,715,90,12.59,568,79.44,57,7.97,27007
27,12,382,116,30.37,248,64.92,18,4.71,27012
27,13,135,15,11.11,112,82.96,8,5.93,27013
27,27,24,4,16.67,19,79.17,1,4.17,27027
27,35,37,2,5.41,32,86.49,3,8.11,27035
27,37,14,1,7.14,12,85.71,1,7.14,27037
27,40,89,17,19.1,68,76.4,4,4.49,27040
27,42,223,81,36.32,135,60.54,7,3.14,27042
27,43,20,1,5.0,16,80.0,3,15.0,27043
27,46,376,122,32.45,244,64.89,10,2.66,27046
29,23,310,78,25.16,224,72.26,8,2.58,29023
29,29,506,145,28.66,332,65.61,29,5.73,29029
29,31,504,161,31.94,315,62.5,28,5.56,29031
29,32,487,156,32.03,304,62.42,27,5.54,29032
29,38,4,1,25.0,2,50.0,1,25.0,29038
29,39,222,50,22.52,166,74.77,6,2.7,29039
30,15,309,65,21.04,224,72.49,20,6.47,30015
30,17,255,48,18.82,192,75.29,15,5.88,30017
30,21,378,75,19.84,286,75.66,17,4.5,30021
32,1,724,152,20.99,537,74.17,35,4.83,32001
32,2,711,181,25.46,500,70.32,30,4.22,32002
32,4,607,120,19.77,463,76.28,24,3.95,32004
32,5,652,103,15.8,505,77.45,44,6.75,32005
32,6,712,141,19.8,535,75.14,36,5.06,32006
32,7,673,157,23.33,499,74.15,17,2.53,32007
32,8,770,219,28.44,520,67.53,31,4.03,32008
32,9,644,125,19.41,486,75.47,33,5.12,32009
32,10,672,177,26.34,473,70.39,22,3.27,32010
32,13,675,181,26.81,465,68.89,29,4.3,32013
32,15,608,131,21.55,449,73.85,28,4.61,32015
32,16,592,91,15.37,469,79.22,32,5.41,32016
32,18,602,184,30.56,405,67.28,13,2.16,32018
32,19,602,113,18.77,456,75.75,33,5.48,32019
32,21,662,118,17.82,519,78.4,25,3.78,32021
32,23,644,166,25.78,456,70.81,22,3.42,32023
32,24,528,172,32.58,343,64.96,13,2.46,32024
32,25,615,133,21.63,444,72.2,38,6.18,32025
32,27,628,209,33.28,392,62.42,27,4.3,32027
32,29,674,111,16.47,537,79.67,26,3.86,32029
32,30,650,193,29.69,437,67.23,20,3.08,32030
32,31,675,180,26.67,462,68.44,33,4.89,32031
32,32,628,127,20.22,471,75.0,30,4.78,32032
32,33,648,166,25.62,454,70.06,28,4.32,32033
32,34,675,131,19.41,501,74.22,43,6.37,32034
32,35,654,152,23.24,467,71.41,35,5.35,32035
32,36,664,146,21.99,486,73.19,32,4.82,32036
32,37,617,119,19.29,474,76.82,24,3.89,32037
32,38,620,150,24.19,447,72.1,23,3.71,32038
32,39,715,231,32.31,464,64.9,20,2.8,32039
32,40,675,141,20.89,498,73.78,36,5.33,32040
32,41,667,184,27.59,459,68.82,24,3.6,32041
32,42,582,132,22.68,420,72.16,30,5.15,32042
33,2,790,80,10.13,666,84.3,44,5.57,33002
33,3,56,7,12.5,44,78.57,5,8.93,33003
33,5,562,74,13.17,444,79.0,44,7.83,33005
33,7,436,52,11.93,346,79.36,38,8.72,33007
33,8,482,60,12.45,398,82.57,24,4.98,33008
