ward,precinct,total,Monique D. Davis,Monique D. Davis Percent,precinct_id
9,2,71,71,100.0,09002
9,10,367,367,100.0,09010
9,17,65,65,100.0,09017
9,20,420,420,100.0,09020
9,21,385,385,100.0,09021
9,27,392,392,100.0,09027
9,30,364,364,100.0,09030
19,14,415,415,100.0,19014
19,20,363,363,100.0,19020
19,31,299,299,100.0,19031
19,40,391,391,100.0,19040
19,42,286,286,100.0,19042
19,43,610,610,100.0,19043
19,47,603,603,100.0,19047
19,48,565,565,100.0,19048
19,49,517,517,100.0,19049
21,2,120,120,100.0,21002
21,5,481,481,100.0,21005
21,6,390,390,100.0,21006
21,10,419,419,100.0,21010
21,11,404,404,100.0,21011
21,12,413,413,100.0,21012
21,17,363,363,100.0,21017
21,19,461,461,100.0,21019
21,20,154,154,100.0,21020
21,21,372,372,100.0,21021
21,22,299,299,100.0,21022
21,23,384,384,100.0,21023
21,24,439,439,100.0,21024
21,25,385,385,100.0,21025
21,27,422,422,100.0,21027
21,33,430,430,100.0,21033
21,34,342,342,100.0,21034
21,35,445,445,100.0,21035
21,36,351,351,100.0,21036
21,37,363,363,100.0,21037
21,38,455,455,100.0,21038
21,39,367,367,100.0,21039
21,40,395,395,100.0,21040
21,41,405,405,100.0,21041
21,42,324,324,100.0,21042
21,43,28,28,100.0,21043
21,44,233,233,100.0,21044
21,45,395,395,100.0,21045
21,46,473,473,100.0,21046
21,48,304,304,100.0,21048
21,49,483,483,100.0,21049
21,50,368,368,100.0,21050
21,52,48,48,100.0,21052
34,1,458,458,100.0,34001
34,2,163,163,100.0,34002
34,5,405,405,100.0,34005
34,7,480,480,100.0,34007
34,8,360,360,100.0,34008
34,10,433,433,100.0,34010
34,12,458,458,100.0,34012
34,13,449,449,100.0,34013
34,15,239,239,100.0,34015
34,17,546,546,100.0,34017
34,19,540,540,100.0,34019
34,20,162,162,100.0,34020
34,21,491,491,100.0,34021
34,25,472,472,100.0,34025
34,29,353,353,100.0,34029
34,31,53,53,100.0,34031
34,32,423,423,100.0,34032
34,34,475,475,100.0,34034
34,35,481,481,100.0,34035
34,40,483,483,100.0,34040
34,43,383,383,100.0,34043
34,44,431,431,100.0,34044
34,45,447,447,100.0,34045
34,46,278,278,100.0,34046
34,47,451,451,100.0,34047
34,48,450,450,100.0,34048
34,49,475,475,100.0,34049
34,51,230,230,100.0,34051
34,52,317,317,100.0,34052
