ward,precinct,total,Patricia S. Spratt,Patricia S. Spratt Percent,precinct_id
11,6,527,527,100.0,11006
11,7,244,244,100.0,11007
22,19,0,0,0.0,22019
22,21,356,356,100.0,22021
24,1,252,252,100.0,24001
24,2,287,287,100.0,24002
24,3,327,327,100.0,24003
24,4,228,228,100.0,24004
24,5,179,179,100.0,24005
24,6,298,298,100.0,24006
24,8,131,131,100.0,24008
24,9,285,285,100.0,24009
24,10,130,130,100.0,24010
24,11,325,325,100.0,24011
24,12,200,200,100.0,24012
24,13,182,182,100.0,24013
24,14,271,271,100.0,24014
24,15,172,172,100.0,24015
24,17,217,217,100.0,24017
24,18,308,308,100.0,24018
24,19,347,347,100.0,24019
24,20,245,245,100.0,24020
24,21,174,174,100.0,24021
24,22,414,414,100.0,24022
24,23,283,283,100.0,24023
24,24,360,360,100.0,24024
24,25,233,233,100.0,24025
24,26,364,364,100.0,24026
24,27,296,296,100.0,24027
24,28,225,225,100.0,24028
24,29,205,205,100.0,24029
24,30,164,164,100.0,24030
24,31,327,327,100.0,24031
24,32,191,191,100.0,24032
24,33,189,189,100.0,24033
24,34,261,261,100.0,24034
24,35,304,304,100.0,24035
24,36,349,349,100.0,24036
24,37,192,192,100.0,24037
24,38,241,241,100.0,24038
24,40,304,304,100.0,24040
24,41,205,205,100.0,24041
25,3,501,501,100.0,25003
25,4,287,287,100.0,25004
25,10,550,550,100.0,25010
25,16,514,514,100.0,25016
25,20,235,235,100.0,25020
25,25,0,0,0.0,25025
25,27,281,281,100.0,25027
25,29,311,311,100.0,25029
25,31,667,667,100.0,25031
26,2,159,159,100.0,26002
26,10,162,162,100.0,26010
26,17,224,224,100.0,26017
26,31,0,0,0.0,26031
26,46,188,188,100.0,26046
27,2,350,350,100.0,27002
27,3,210,210,100.0,27003
27,4,204,204,100.0,27004
27,5,243,243,100.0,27005
27,8,294,294,100.0,27008
27,10,324,324,100.0,27010
27,14,195,195,100.0,27014
27,15,229,229,100.0,27015
27,16,416,416,100.0,27016
27,17,372,372,100.0,27017
27,18,250,250,100.0,27018
27,19,195,195,100.0,27019
27,22,191,191,100.0,27022
27,23,237,237,100.0,27023
27,24,222,222,100.0,27024
27,25,309,309,100.0,27025
27,26,256,256,100.0,27026
27,27,423,423,100.0,27027
27,29,242,242,100.0,27029
27,30,175,175,100.0,27030
