ward,precinct,total,Rhonda Crawford,Rhonda Crawford Percent,precinct_id
5,12,244,244,100.0,05012
6,1,374,374,100.0,06001
6,2,378,378,100.0,06002
6,3,356,356,100.0,06003
6,4,302,302,100.0,06004
6,5,264,264,100.0,06005
6,6,333,333,100.0,06006
6,8,352,352,100.0,06008
6,10,246,246,100.0,06010
6,12,302,302,100.0,06012
6,13,275,275,100.0,06013
6,14,371,371,100.0,06014
6,15,60,60,100.0,06015
6,16,333,333,100.0,06016
6,17,267,267,100.0,06017
6,18,211,211,100.0,06018
6,19,340,340,100.0,06019
6,20,258,258,100.0,06020
6,21,35,35,100.0,06021
6,22,271,271,100.0,06022
6,25,225,225,100.0,06025
6,26,92,92,100.0,06026
6,27,242,242,100.0,06027
6,29,372,372,100.0,06029
6,30,25,25,100.0,06030
6,31,345,345,100.0,06031
6,33,340,340,100.0,06033
6,34,390,390,100.0,06034
6,35,335,335,100.0,06035
6,36,363,363,100.0,06036
6,37,348,348,100.0,06037
6,38,343,343,100.0,06038
6,39,303,303,100.0,06039
6,40,199,199,100.0,06040
6,41,347,347,100.0,06041
6,42,404,404,100.0,06042
6,43,302,302,100.0,06043
6,44,378,378,100.0,06044
6,45,363,363,100.0,06045
6,46,262,262,100.0,06046
6,47,265,265,100.0,06047
7,7,352,352,100.0,07007
7,10,398,398,100.0,07010
7,11,403,403,100.0,07011
7,12,311,311,100.0,07012
7,13,168,168,100.0,07013
7,14,358,358,100.0,07014
7,15,344,344,100.0,07015
7,16,305,305,100.0,07016
7,17,308,308,100.0,07017
7,18,326,326,100.0,07018
7,19,331,331,100.0,07019
7,20,265,265,100.0,07020
7,21,288,288,100.0,07021
7,22,270,270,100.0,07022
7,23,340,340,100.0,07023
7,24,294,294,100.0,07024
7,25,342,342,100.0,07025
7,26,267,267,100.0,07026
7,27,281,281,100.0,07027
7,28,291,291,100.0,07028
7,29,294,294,100.0,07029
7,30,272,272,100.0,07030
7,31,220,220,100.0,07031
7,32,454,454,100.0,07032
7,33,414,414,100.0,07033
7,34,389,389,100.0,07034
7,35,337,337,100.0,07035
7,36,424,424,100.0,07036
7,37,349,349,100.0,07037
7,38,322,322,100.0,07038
7,39,327,327,100.0,07039
7,40,309,309,100.0,07040
7,41,339,339,100.0,07041
7,42,311,311,100.0,07042
7,43,340,340,100.0,07043
7,44,320,320,100.0,07044
7,45,358,358,100.0,07045
7,46,108,108,100.0,07046
8,2,43,43,100.0,08002
8,3,353,353,100.0,08003
8,4,370,370,100.0,08004
8,5,366,366,100.0,08005
8,6,370,370,100.0,08006
8,7,385,385,100.0,08007
8,8,322,322,100.0,08008
8,9,232,232,100.0,08009
8,10,399,399,100.0,08010
8,11,323,323,100.0,08011
8,12,315,315,100.0,08012
8,13,413,413,100.0,08013
8,14,343,343,100.0,08014
8,15,353,353,100.0,08015
8,16,133,133,100.0,08016
8,17,285,285,100.0,08017
8,18,367,367,100.0,08018
8,19,383,383,100.0,08019
8,20,384,384,100.0,08020
8,21,476,476,100.0,08021
8,22,311,311,100.0,08022
8,23,325,325,100.0,08023
8,24,220,220,100.0,08024
8,25,352,352,100.0,08025
8,26,185,185,100.0,08026
8,27,356,356,100.0,08027
8,28,365,365,100.0,08028
8,29,409,409,100.0,08029
8,30,362,362,100.0,08030
8,31,272,272,100.0,08031
8,32,281,281,100.0,08032
8,33,303,303,100.0,08033
8,34,326,326,100.0,08034
8,35,361,361,100.0,08035
8,36,366,366,100.0,08036
8,37,281,281,100.0,08037
8,38,238,238,100.0,08038
8,39,355,355,100.0,08039
8,40,268,268,100.0,08040
8,41,367,367,100.0,08041
8,43,185,185,100.0,08043
8,44,247,247,100.0,08044
8,45,381,381,100.0,08045
8,46,287,287,100.0,08046
8,47,294,294,100.0,08047
8,48,357,357,100.0,08048
8,49,337,337,100.0,08049
8,50,330,330,100.0,08050
8,51,376,376,100.0,08051
8,52,450,450,100.0,08052
8,53,196,196,100.0,08053
8,54,335,335,100.0,08054
8,55,261,261,100.0,08055
8,56,375,375,100.0,08056
9,12,377,377,100.0,09012
9,13,351,351,100.0,09013
9,14,348,348,100.0,09014
9,23,378,378,100.0,09023
9,24,327,327,100.0,09024
9,25,339,339,100.0,09025
9,35,199,199,100.0,09035
9,36,310,310,100.0,09036
9,42,345,345,100.0,09042
9,47,378,378,100.0,09047
9,48,358,358,100.0,09048
9,49,345,345,100.0,09049
9,50,431,431,100.0,09050
9,51,322,322,100.0,09051
10,1,264,264,100.0,10001
10,2,247,247,100.0,10002
10,3,256,256,100.0,10003
10,4,297,297,100.0,10004
10,5,222,222,100.0,10005
10,6,252,252,100.0,10006
10,7,216,216,100.0,10007
10,8,252,252,100.0,10008
10,9,242,242,100.0,10009
10,10,281,281,100.0,10010
10,11,390,390,100.0,10011
10,12,217,217,100.0,10012
10,13,353,353,100.0,10013
10,14,376,376,100.0,10014
10,15,680,680,100.0,10015
10,16,218,218,100.0,10016
10,17,319,319,100.0,10017
10,18,224,224,100.0,10018
10,19,303,303,100.0,10019
10,20,307,307,100.0,10020
10,21,297,297,100.0,10021
10,22,206,206,100.0,10022
10,23,290,290,100.0,10023
10,24,264,264,100.0,10024
10,25,109,109,100.0,10025
10,26,238,238,100.0,10026
10,27,365,365,100.0,10027
10,28,347,347,100.0,10028
10,29,301,301,100.0,10029
10,30,310,310,100.0,10030
10,31,252,252,100.0,10031
10,32,291,291,100.0,10032
10,33,221,221,100.0,10033
10,34,236,236,100.0,10034
