ward,precinct,total,MICHAEL P. McAULIFFE,MICHAEL P. McAULIFFE Percent,precinct_id
36,5,18,18,100.0,36005
36,7,31,31,100.0,36007
36,8,30,30,100.0,36008
36,9,37,37,100.0,36009
36,10,16,16,100.0,36010
36,11,20,20,100.0,36011
36,12,33,33,100.0,36012
36,13,14,14,100.0,36013
36,14,19,19,100.0,36014
36,15,20,20,100.0,36015
36,17,23,23,100.0,36017
36,18,21,21,100.0,36018
36,19,11,11,100.0,36019
36,20,10,10,100.0,36020
36,25,18,18,100.0,36025
36,27,19,19,100.0,36027
36,28,21,21,100.0,36028
36,29,17,17,100.0,36029
36,30,28,28,100.0,36030
36,31,20,20,100.0,36031
36,32,23,23,100.0,36032
36,34,19,19,100.0,36034
36,35,17,17,100.0,36035
36,37,25,25,100.0,36037
36,38,14,14,100.0,36038
36,39,17,17,100.0,36039
36,40,10,10,100.0,36040
36,42,18,18,100.0,36042
36,46,23,23,100.0,36046
36,47,7,7,100.0,36047
36,48,20,20,100.0,36048
36,49,27,27,100.0,36049
36,50,12,12,100.0,36050
36,52,13,13,100.0,36052
36,53,0,0,0.0,36053
38,3,33,33,100.0,38003
38,7,21,21,100.0,38007
38,38,29,29,100.0,38038
41,1,33,33,100.0,41001
41,2,54,54,100.0,41002
41,3,27,27,100.0,41003
41,4,42,42,100.0,41004
41,5,45,45,100.0,41005
41,6,47,47,100.0,41006
41,7,48,48,100.0,41007
41,8,42,42,100.0,41008
41,9,23,23,100.0,41009
41,11,50,50,100.0,41011
41,12,39,39,100.0,41012
41,13,3,3,100.0,41013
41,15,23,23,100.0,41015
41,16,35,35,100.0,41016
41,17,37,37,100.0,41017
41,18,45,45,100.0,41018
41,19,42,42,100.0,41019
41,20,63,63,100.0,41020
41,21,39,39,100.0,41021
41,22,28,28,100.0,41022
41,24,30,30,100.0,41024
41,30,31,31,100.0,41030
41,31,62,62,100.0,41031
41,33,54,54,100.0,41033
41,34,53,53,100.0,41034
41,35,39,39,100.0,41035
41,36,41,41,100.0,41036
41,37,81,81,100.0,41037
41,39,41,41,100.0,41039
41,40,27,27,100.0,41040
41,41,35,35,100.0,41041
41,42,30,30,100.0,41042
41,43,29,29,100.0,41043
41,44,39,39,100.0,41044
41,45,32,32,100.0,41045
41,46,20,20,100.0,41046
41,49,37,37,100.0,41049
41,50,26,26,100.0,41050
41,51,24,24,100.0,41051
41,52,39,39,100.0,41052
41,53,67,67,100.0,41053
41,55,46,46,100.0,41055
41,56,64,64,100.0,41056
41,57,54,54,100.0,41057
41,58,29,29,100.0,41058
41,60,27,27,100.0,41060
41,61,32,32,100.0,41061
41,62,29,29,100.0,41062
41,63,29,29,100.0,41063
41,64,65,65,100.0,41064
41,65,31,31,100.0,41065
