ward,precinct,total,MAUREEN MURPHY,MAUREEN MURPHY Percent,precinct_id
19,1,17,17,100.0,19001
19,2,12,12,100.0,19002
19,3,19,19,100.0,19003
19,4,21,21,100.0,19004
19,6,22,22,100.0,19006
19,8,15,15,100.0,19008
19,9,27,27,100.0,19009
19,11,20,20,100.0,19011
19,12,26,26,100.0,19012
19,14,16,16,100.0,19014
19,15,13,13,100.0,19015
19,16,17,17,100.0,19016
19,19,16,16,100.0,19019
19,21,11,11,100.0,19021
19,22,18,18,100.0,19022
19,24,16,16,100.0,19024
19,30,30,30,100.0,19030
19,33,21,21,100.0,19033
19,39,6,6,100.0,19039
19,41,19,19,100.0,19041
19,44,9,9,100.0,19044
19,45,30,30,100.0,19045
19,47,9,9,100.0,19047
19,51,23,23,100.0,19051
19,53,11,11,100.0,19053
19,54,27,27,100.0,19054
19,58,18,18,100.0,19058
19,59,32,32,100.0,19059
19,61,18,18,100.0,19061
19,63,8,8,100.0,19063
41,3,25,25,100.0,41003
41,4,0,0,0.0,41004
41,5,41,41,100.0,41005
41,6,42,42,100.0,41006
41,7,40,40,100.0,41007
41,8,33,33,100.0,41008
41,9,22,22,100.0,41009
41,11,44,44,100.0,41011
41,13,14,14,100.0,41013
41,15,18,18,100.0,41015
41,16,27,27,100.0,41016
41,17,30,30,100.0,41017
41,18,43,43,100.0,41018
41,19,36,36,100.0,41019
41,20,53,53,100.0,41020
41,21,39,39,100.0,41021
41,22,6,6,100.0,41022
41,24,5,5,100.0,41024
41,25,21,21,100.0,41025
41,26,25,25,100.0,41026
41,27,15,15,100.0,41027
41,28,18,18,100.0,41028
41,29,21,21,100.0,41029
41,30,30,30,100.0,41030
41,31,56,56,100.0,41031
41,32,26,26,100.0,41032
41,33,44,44,100.0,41033
41,34,46,46,100.0,41034
41,35,37,37,100.0,41035
41,36,32,32,100.0,41036
41,37,77,77,100.0,41037
41,38,25,25,100.0,41038
41,39,2,2,100.0,41039
41,41,32,32,100.0,41041
41,43,29,29,100.0,41043
41,44,33,33,100.0,41044
41,45,26,26,100.0,41045
41,46,19,19,100.0,41046
41,48,30,30,100.0,41048
41,50,20,20,100.0,41050
41,52,36,36,100.0,41052
41,53,55,55,100.0,41053
41,55,43,43,100.0,41055
41,58,25,25,100.0,41058
41,60,26,26,100.0,41060
41,62,28,28,100.0,41062
41,64,61,61,100.0,41064
41,65,32,32,100.0,41065
45,33,34,34,100.0,45033
