ward,precinct,total,DOUG NELSON,DOUG NELSON Percent,precinct_id
5,1,2,2,100.0,05001
5,3,0,0,0.0,05003
5,4,4,4,100.0,05004
5,6,5,5,100.0,05006
5,7,2,2,100.0,05007
5,11,2,2,100.0,05011
5,14,6,6,100.0,05014
5,18,1,1,100.0,05018
5,21,1,1,100.0,05021
5,24,6,6,100.0,05024
5,26,1,1,100.0,05026
5,28,5,5,100.0,05028
5,29,1,1,100.0,05029
5,31,3,3,100.0,05031
5,32,1,1,100.0,05032
5,34,0,0,0.0,05034
5,36,1,1,100.0,05036
5,37,5,5,100.0,05037
5,38,11,11,100.0,05038
5,40,2,2,100.0,05040
5,42,2,2,100.0,05042
5,43,4,4,100.0,05043
5,44,1,1,100.0,05044
5,46,5,5,100.0,05046
5,47,0,0,0.0,05047
5,53,1,1,100.0,05053
5,54,1,1,100.0,05054
5,55,3,3,100.0,05055
5,57,7,7,100.0,05057
5,59,0,0,0.0,05059
6,21,1,1,100.0,06021
6,22,6,6,100.0,06022
6,64,2,2,100.0,06064
7,1,2,2,100.0,07001
7,2,0,0,0.0,07002
7,3,1,1,100.0,07003
7,4,3,3,100.0,07004
7,5,2,2,100.0,07005
7,6,5,5,100.0,07006
7,7,5,5,100.0,07007
7,8,1,1,100.0,07008
7,9,2,2,100.0,07009
7,10,3,3,100.0,07010
7,11,1,1,100.0,07011
7,12,1,1,100.0,07012
7,13,1,1,100.0,07013
7,14,5,5,100.0,07014
7,15,2,2,100.0,07015
7,16,0,0,0.0,07016
7,17,1,1,100.0,07017
7,18,4,4,100.0,07018
7,19,2,2,100.0,07019
7,20,0,0,0.0,07020
7,21,2,2,100.0,07021
7,22,2,2,100.0,07022
7,23,2,2,100.0,07023
7,24,0,0,0.0,07024
7,25,3,3,100.0,07025
7,26,1,1,100.0,07026
7,27,2,2,100.0,07027
7,28,3,3,100.0,07028
7,29,0,0,0.0,07029
7,30,0,0,0.0,07030
7,31,5,5,100.0,07031
7,32,2,2,100.0,07032
7,33,1,1,100.0,07033
7,34,6,6,100.0,07034
7,35,7,7,100.0,07035
7,36,2,2,100.0,07036
7,37,4,4,100.0,07037
7,38,3,3,100.0,07038
7,39,3,3,100.0,07039
7,40,1,1,100.0,07040
7,41,0,0,0.0,07041
7,42,3,3,100.0,07042
7,43,0,0,0.0,07043
7,44,4,4,100.0,07044
7,45,2,2,100.0,07045
7,46,1,1,100.0,07046
8,2,0,0,0.0,08002
8,3,1,1,100.0,08003
8,4,0,0,0.0,08004
8,5,0,0,0.0,08005
8,7,2,2,100.0,08007
8,8,2,2,100.0,08008
8,9,0,0,0.0,08009
8,15,3,3,100.0,08015
8,17,0,0,0.0,08017
8,19,0,0,0.0,08019
8,23,4,4,100.0,08023
8,24,0,0,0.0,08024
8,25,3,3,100.0,08025
8,26,0,0,0.0,08026
8,27,3,3,100.0,08027
8,28,1,1,100.0,08028
8,30,0,0,0.0,08030
8,32,9,9,100.0,08032
8,34,3,3,100.0,08034
8,36,1,1,100.0,08036
8,39,0,0,0.0,08039
8,42,3,3,100.0,08042
8,44,1,1,100.0,08044
8,46,1,1,100.0,08046
8,47,0,0,0.0,08047
8,49,0,0,0.0,08049
8,50,2,2,100.0,08050
8,51,0,0,0.0,08051
8,57,1,1,100.0,08057
8,60,3,3,100.0,08060
8,62,3,3,100.0,08062
8,63,0,0,0.0,08063
8,65,2,2,100.0,08065
8,66,3,3,100.0,08066
9,1,0,0,0.0,09001
9,2,4,4,100.0,09002
9,3,0,0,0.0,09003
9,4,2,2,100.0,09004
9,5,0,0,0.0,09005
9,6,1,1,100.0,09006
9,7,1,1,100.0,09007
9,8,3,3,100.0,09008
9,9,0,0,0.0,09009
9,10,1,1,100.0,09010
9,11,1,1,100.0,09011
9,12,3,3,100.0,09012
9,13,4,4,100.0,09013
9,14,0,0,0.0,09014
9,15,1,1,100.0,09015
9,16,0,0,0.0,09016
9,17,0,0,0.0,09017
9,18,3,3,100.0,09018
9,19,1,1,100.0,09019
9,20,2,2,100.0,09020
9,21,0,0,0.0,09021
9,22,0,0,0.0,09022
9,23,0,0,0.0,09023
9,24,2,2,100.0,09024
9,25,1,1,100.0,09025
9,26,0,0,0.0,09026
9,27,3,3,100.0,09027
9,28,1,1,100.0,09028
9,29,5,5,100.0,09029
9,30,1,1,100.0,09030
9,31,2,2,100.0,09031
9,32,1,1,100.0,09032
9,33,1,1,100.0,09033
9,34,0,0,0.0,09034
9,35,1,1,100.0,09035
9,36,1,1,100.0,09036
9,37,29,29,100.0,09037
9,38,1,1,100.0,09038
9,39,0,0,0.0,09039
9,40,4,4,100.0,09040
9,41,1,1,100.0,09041
9,42,4,4,100.0,09042
9,43,2,2,100.0,09043
9,44,1,1,100.0,09044
9,45,0,0,0.0,09045
9,46,0,0,0.0,09046
9,47,1,1,100.0,09047
9,48,0,0,0.0,09048
9,49,1,1,100.0,09049
9,50,0,0,0.0,09050
9,51,2,2,100.0,09051
9,52,2,2,100.0,09052
10,1,4,4,100.0,10001
10,2,8,8,100.0,10002
10,3,8,8,100.0,10003
10,4,5,5,100.0,10004
10,5,14,14,100.0,10005
10,6,0,0,0.0,10006
10,7,2,2,100.0,10007
10,8,12,12,100.0,10008
10,9,20,20,100.0,10009
10,10,2,2,100.0,10010
10,11,19,19,100.0,10011
10,12,19,19,100.0,10012
10,13,10,10,100.0,10013
10,14,3,3,100.0,10014
10,15,9,9,100.0,10015
10,16,12,12,100.0,10016
10,17,12,12,100.0,10017
10,18,0,0,0.0,10018
10,19,31,31,100.0,10019
10,20,33,33,100.0,10020
10,21,19,19,100.0,10021
10,22,6,6,100.0,10022
10,23,5,5,100.0,10023
10,24,23,23,100.0,10024
10,25,6,6,100.0,10025
10,26,18,18,100.0,10026
10,27,18,18,100.0,10027
10,28,2,2,100.0,10028
10,29,4,4,100.0,10029
10,30,10,10,100.0,10030
10,31,15,15,100.0,10031
10,32,26,26,100.0,10032
10,33,14,14,100.0,10033
10,34,7,7,100.0,10034
10,35,20,20,100.0,10035
10,36,6,6,100.0,10036
10,37,3,3,100.0,10037
10,38,24,24,100.0,10038
10,39,17,17,100.0,10039
10,40,2,2,100.0,10040
10,41,43,43,100.0,10041
10,42,21,21,100.0,10042
10,43,4,4,100.0,10043
10,44,8,8,100.0,10044
10,45,8,8,100.0,10045
10,46,11,11,100.0,10046
21,32,4,4,100.0,21032
21,68,3,3,100.0,21068
34,1,0,0,0.0,34001
34,2,0,0,0.0,34002
34,3,1,1,100.0,34003
34,4,2,2,100.0,34004
34,5,1,1,100.0,34005
34,6,1,1,100.0,34006
34,7,3,3,100.0,34007
34,8,2,2,100.0,34008
34,9,2,2,100.0,34009
34,10,2,2,100.0,34010
34,11,0,0,0.0,34011
34,12,1,1,100.0,34012
34,13,4,4,100.0,34013
34,14,3,3,100.0,34014
34,15,0,0,0.0,34015
34,16,0,0,0.0,34016
34,17,1,1,100.0,34017
34,18,0,0,0.0,34018
34,19,0,0,0.0,34019
34,20,0,0,0.0,34020
34,21,3,3,100.0,34021
34,22,0,0,0.0,34022
34,23,1,1,100.0,34023
34,24,0,0,0.0,34024
34,25,0,0,0.0,34025
34,26,2,2,100.0,34026
34,27,1,1,100.0,34027
34,28,0,0,0.0,34028
34,29,3,3,100.0,34029
34,30,2,2,100.0,34030
34,31,0,0,0.0,34031
34,32,3,3,100.0,34032
34,34,4,4,100.0,34034
34,35,3,3,100.0,34035
34,36,4,4,100.0,34036
34,37,0,0,0.0,34037
34,38,1,1,100.0,34038
34,39,2,2,100.0,34039
34,40,1,1,100.0,34040
34,41,2,2,100.0,34041
34,42,1,1,100.0,34042
34,43,4,4,100.0,34043
34,44,0,0,0.0,34044
34,45,3,3,100.0,34045
34,46,0,0,0.0,34046
34,48,0,0,0.0,34048
34,49,4,4,100.0,34049
34,50,2,2,100.0,34050
34,52,1,1,100.0,34052
34,53,1,1,100.0,34053
34,54,3,3,100.0,34054
34,55,1,1,100.0,34055
