ward,precinct,total,SAM LaBARBERA,SAM LaBARBERA Percent,precinct_id
29,6,8,8,100.0,29006
29,7,9,9,100.0,29007
29,17,0,0,0.0,29017
29,24,1,1,100.0,29024
29,25,1,1,100.0,29025
29,30,3,3,100.0,29030
29,36,0,0,0.0,29036
29,39,6,6,100.0,29039
29,48,1,1,100.0,29048
29,49,1,1,100.0,29049
29,52,9,9,100.0,29052
29,53,10,10,100.0,29053
29,54,4,4,100.0,29054
30,5,9,9,100.0,30005
30,7,8,8,100.0,30007
30,8,10,10,100.0,30008
30,9,13,13,100.0,30009
30,10,10,10,100.0,30010
30,11,9,9,100.0,30011
30,14,13,13,100.0,30014
30,16,10,10,100.0,30016
30,22,12,12,100.0,30022
30,24,0,0,0.0,30024
30,25,7,7,100.0,30025
30,27,11,11,100.0,30027
30,30,8,8,100.0,30030
30,31,6,6,100.0,30031
30,35,8,8,100.0,30035
30,36,17,17,100.0,30036
30,37,6,6,100.0,30037
30,38,7,7,100.0,30038
30,39,7,7,100.0,30039
30,40,12,12,100.0,30040
30,42,2,2,100.0,30042
31,18,3,3,100.0,31018
33,16,11,11,100.0,33016
36,1,21,21,100.0,36001
36,2,11,11,100.0,36002
36,3,8,8,100.0,36003
36,4,3,3,100.0,36004
36,5,14,14,100.0,36005
36,6,6,6,100.0,36006
36,7,27,27,100.0,36007
36,8,27,27,100.0,36008
36,9,28,28,100.0,36009
36,10,14,14,100.0,36010
36,11,16,16,100.0,36011
36,12,33,33,100.0,36012
36,13,15,15,100.0,36013
36,14,19,19,100.0,36014
36,15,19,19,100.0,36015
36,16,14,14,100.0,36016
36,17,13,13,100.0,36017
36,18,18,18,100.0,36018
36,19,11,11,100.0,36019
36,20,8,8,100.0,36020
36,21,16,16,100.0,36021
36,22,23,23,100.0,36022
36,23,4,4,100.0,36023
36,24,7,7,100.0,36024
36,25,11,11,100.0,36025
36,26,4,4,100.0,36026
36,27,17,17,100.0,36027
36,28,22,22,100.0,36028
36,29,16,16,100.0,36029
36,30,27,27,100.0,36030
36,31,18,18,100.0,36031
36,32,15,15,100.0,36032
36,33,16,16,100.0,36033
36,34,17,17,100.0,36034
36,35,16,16,100.0,36035
36,36,10,10,100.0,36036
36,37,18,18,100.0,36037
36,38,11,11,100.0,36038
36,39,14,14,100.0,36039
36,40,9,9,100.0,36040
36,41,9,9,100.0,36041
36,42,18,18,100.0,36042
36,43,0,0,0.0,36043
36,44,15,15,100.0,36044
36,45,11,11,100.0,36045
36,46,23,23,100.0,36046
36,47,7,7,100.0,36047
36,48,16,16,100.0,36048
36,49,28,28,100.0,36049
36,50,9,9,100.0,36050
36,51,9,9,100.0,36051
36,52,12,12,100.0,36052
36,53,13,13,100.0,36053
36,54,7,7,100.0,36054
36,55,6,6,100.0,36055
36,56,15,15,100.0,36056
37,16,2,2,100.0,37016
37,34,0,0,0.0,37034
38,1,10,10,100.0,38001
38,2,11,11,100.0,38002
38,3,29,29,100.0,38003
38,6,10,10,100.0,38006
38,7,19,19,100.0,38007
38,8,34,34,100.0,38008
38,9,19,19,100.0,38009
38,10,20,20,100.0,38010
38,11,16,16,100.0,38011
38,12,8,8,100.0,38012
38,13,13,13,100.0,38013
38,14,22,22,100.0,38014
38,15,3,3,100.0,38015
38,16,13,13,100.0,38016
38,17,6,6,100.0,38017
38,18,27,27,100.0,38018
38,19,14,14,100.0,38019
38,20,22,22,100.0,38020
38,21,23,23,100.0,38021
38,22,18,18,100.0,38022
38,23,12,12,100.0,38023
38,24,5,5,100.0,38024
38,25,9,9,100.0,38025
38,26,12,12,100.0,38026
38,27,17,17,100.0,38027
38,28,15,15,100.0,38028
38,29,10,10,100.0,38029
38,30,7,7,100.0,38030
38,31,10,10,100.0,38031
38,32,33,33,100.0,38032
38,33,12,12,100.0,38033
38,34,7,7,100.0,38034
38,35,16,16,100.0,38035
38,36,11,11,100.0,38036
38,37,18,18,100.0,38037
38,38,25,25,100.0,38038
38,39,18,18,100.0,38039
38,40,18,18,100.0,38040
38,43,11,11,100.0,38043
38,44,18,18,100.0,38044
38,45,20,20,100.0,38045
38,46,20,20,100.0,38046
38,47,12,12,100.0,38047
38,48,15,15,100.0,38048
38,49,17,17,100.0,38049
38,50,17,17,100.0,38050
38,51,8,8,100.0,38051
38,52,18,18,100.0,38052
38,53,11,11,100.0,38053
38,54,15,15,100.0,38054
38,55,26,26,100.0,38055
38,56,16,16,100.0,38056
41,25,21,21,100.0,41025
41,26,24,24,100.0,41026
41,27,13,13,100.0,41027
41,28,16,16,100.0,41028
41,29,17,17,100.0,41029
41,38,23,23,100.0,41038
41,48,30,30,100.0,41048
