ward,precinct,total,TERRENCE F. GOGGIN,TERRENCE F. GOGGIN Percent,precinct_id
13,2,16,16,100.0,13002
13,4,9,9,100.0,13004
13,5,3,3,100.0,13005
13,6,15,15,100.0,13006
13,7,6,6,100.0,13007
13,9,6,6,100.0,13009
13,10,14,14,100.0,13010
13,12,11,11,100.0,13012
13,14,14,14,100.0,13014
13,15,8,8,100.0,13015
13,16,12,12,100.0,13016
13,21,9,9,100.0,13021
13,22,6,6,100.0,13022
13,23,4,4,100.0,13023
13,25,13,13,100.0,13025
13,27,18,18,100.0,13027
13,28,7,7,100.0,13028
13,29,10,10,100.0,13029
13,32,8,8,100.0,13032
13,33,8,8,100.0,13033
13,34,13,13,100.0,13034
13,35,9,9,100.0,13035
13,36,9,9,100.0,13036
13,37,7,7,100.0,13037
13,38,6,6,100.0,13038
13,39,10,10,100.0,13039
13,40,15,15,100.0,13040
13,41,4,4,100.0,13041
13,42,9,9,100.0,13042
13,43,4,4,100.0,13043
13,46,1,1,100.0,13046
13,47,11,11,100.0,13047
13,48,5,5,100.0,13048
13,49,9,9,100.0,13049
13,50,10,10,100.0,13050
13,51,12,12,100.0,13051
13,52,17,17,100.0,13052
13,53,9,9,100.0,13053
13,54,5,5,100.0,13054
13,56,8,8,100.0,13056
13,57,13,13,100.0,13057
13,58,6,6,100.0,13058
13,59,7,7,100.0,13059
13,60,4,4,100.0,13060
13,62,6,6,100.0,13062
23,14,10,10,100.0,23014
23,61,9,9,100.0,23061
23,62,17,17,100.0,23062
