ward,precinct,total,MARTIN J. RYAN,MARTIN J. RYAN Percent,RANDY KANTNER,RANDY KANTNER Percent,precinct_id
22,1,0,0,0.0,0,0.0,22001
22,15,1,1,100.0,0,0.0,22015
22,22,0,0,0.0,0,0.0,22022
23,1,13,11,84.62,2,15.38,23001
23,2,8,5,62.5,3,37.5,23002
23,3,24,21,87.5,3,12.5,23003
23,4,15,11,73.33,4,26.67,23004
23,8,20,12,60.0,8,40.0,23008
23,11,17,6,35.29,11,64.71,23011
23,12,20,12,60.0,8,40.0,23012
23,13,22,17,77.27,5,22.73,23013
23,15,17,12,70.59,5,29.41,23015
23,16,24,17,70.83,7,29.17,23016
23,17,13,8,61.54,5,38.46,23017
23,18,18,9,50.0,9,50.0,23018
23,19,11,8,72.73,3,27.27,23019
23,20,14,10,71.43,4,28.57,23020
23,21,15,8,53.33,7,46.67,23021
23,26,29,22,75.86,7,24.14,23026
23,27,31,21,67.74,10,32.26,23027
23,28,19,15,78.95,4,21.05,23028
23,30,11,9,81.82,2,18.18,23030
23,31,22,12,54.55,10,45.45,23031
23,33,0,0,0.0,0,0.0,23033
23,34,17,13,76.47,4,23.53,23034
23,35,1,1,100.0,0,0.0,23035
23,36,14,12,85.71,2,14.29,23036
23,37,1,1,100.0,0,0.0,23037
23,38,5,2,40.0,3,60.0,23038
23,39,22,16,72.73,6,27.27,23039
23,40,23,17,73.91,6,26.09,23040
23,42,6,2,33.33,4,66.67,23042
23,43,16,12,75.0,4,25.0,23043
23,44,12,7,58.33,5,41.67,23044
23,45,17,12,70.59,5,29.41,23045
23,46,12,7,58.33,5,41.67,23046
23,47,20,13,65.0,7,35.0,23047
23,48,19,12,63.16,7,36.84,23048
23,52,21,12,57.14,9,42.86,23052
23,54,12,8,66.67,4,33.33,23054
23,55,17,11,64.71,6,35.29,23055
23,56,33,23,69.7,10,30.3,23056
23,57,19,14,73.68,5,26.32,23057
23,58,19,11,57.89,8,42.11,23058
23,60,17,12,70.59,5,29.41,23060
