ward,precinct,total,MICHAEL G. WEILER,MICHAEL G. WEILER Percent,precinct_id
42,8,43,43,100.0,42008
42,10,29,29,100.0,42010
42,15,24,24,100.0,42015
42,16,60,60,100.0,42016
42,28,43,43,100.0,42028
42,30,5,5,100.0,42030
42,33,44,44,100.0,42033
42,34,41,41,100.0,42034
42,36,48,48,100.0,42036
42,59,3,3,100.0,42059
43,4,34,34,100.0,43004
43,8,20,20,100.0,43008
43,12,36,36,100.0,43012
43,14,24,24,100.0,43014
43,16,25,25,100.0,43016
43,17,14,14,100.0,43017
43,18,46,46,100.0,43018
43,19,10,10,100.0,43019
43,20,15,15,100.0,43020
43,23,17,17,100.0,43023
43,24,35,35,100.0,43024
43,25,16,16,100.0,43025
43,26,37,37,100.0,43026
43,27,30,30,100.0,43027
43,32,22,22,100.0,43032
43,33,24,24,100.0,43033
43,34,16,16,100.0,43034
43,36,35,35,100.0,43036
43,37,32,32,100.0,43037
43,38,21,21,100.0,43038
43,42,29,29,100.0,43042
43,43,36,36,100.0,43043
43,44,34,34,100.0,43044
43,45,8,8,100.0,43045
43,46,39,39,100.0,43046
43,48,29,29,100.0,43048
43,49,17,17,100.0,43049
43,52,35,35,100.0,43052
43,53,31,31,100.0,43053
43,58,5,5,100.0,43058
43,59,29,29,100.0,43059
44,1,31,31,100.0,44001
44,2,15,15,100.0,44002
44,3,22,22,100.0,44003
44,4,34,34,100.0,44004
44,5,37,37,100.0,44005
44,6,29,29,100.0,44006
44,7,36,36,100.0,44007
44,8,30,30,100.0,44008
44,10,21,21,100.0,44010
44,12,25,25,100.0,44012
44,13,0,0,0.0,44013
44,14,1,1,100.0,44014
44,15,17,17,100.0,44015
44,17,25,25,100.0,44017
44,18,8,8,100.0,44018
44,19,12,12,100.0,44019
44,20,32,32,100.0,44020
44,21,25,25,100.0,44021
44,22,22,22,100.0,44022
44,23,19,19,100.0,44023
44,24,23,23,100.0,44024
44,25,0,0,0.0,44025
44,26,21,21,100.0,44026
44,27,12,12,100.0,44027
44,28,16,16,100.0,44028
44,29,24,24,100.0,44029
44,30,14,14,100.0,44030
44,31,34,34,100.0,44031
44,32,9,9,100.0,44032
44,33,13,13,100.0,44033
44,34,30,30,100.0,44034
44,35,28,28,100.0,44035
44,36,16,16,100.0,44036
44,37,21,21,100.0,44037
44,38,18,18,100.0,44038
44,39,37,37,100.0,44039
44,41,21,21,100.0,44041
44,42,25,25,100.0,44042
44,44,16,16,100.0,44044
44,45,8,8,100.0,44045
44,46,19,19,100.0,44046
44,48,20,20,100.0,44048
44,49,21,21,100.0,44049
44,50,0,0,0.0,44050
46,1,42,42,100.0,46001
46,3,18,18,100.0,46003
46,5,24,24,100.0,46005
46,10,19,19,100.0,46010
46,13,38,38,100.0,46013
46,15,27,27,100.0,46015
46,17,24,24,100.0,46017
46,18,20,20,100.0,46018
46,24,10,10,100.0,46024
46,28,24,24,100.0,46028
46,29,13,13,100.0,46029
46,30,31,31,100.0,46030
46,31,22,22,100.0,46031
46,33,23,23,100.0,46033
46,34,2,2,100.0,46034
46,36,35,35,100.0,46036
46,37,16,16,100.0,46037
