ward,precinct,total,ELROY M. LEACH JR.,ELROY M. LEACH JR. Percent,precinct_id
4,1,1,1,100.0,04001
4,9,5,5,100.0,04009
4,17,14,14,100.0,04017
4,21,2,2,100.0,04021
4,22,4,4,100.0,04022
4,28,7,7,100.0,04028
4,29,9,9,100.0,04029
4,32,6,6,100.0,04032
4,34,15,15,100.0,04034
4,38,6,6,100.0,04038
4,41,6,6,100.0,04041
4,43,6,6,100.0,04043
4,44,2,2,100.0,04044
4,45,2,2,100.0,04045
4,47,6,6,100.0,04047
4,48,10,10,100.0,04048
4,51,5,5,100.0,04051
4,54,2,2,100.0,04054
4,55,2,2,100.0,04055
5,1,2,2,100.0,05001
5,3,0,0,0.0,05003
5,4,0,0,0.0,05004
5,5,6,6,100.0,05005
5,6,0,0,0.0,05006
5,7,3,3,100.0,05007
5,8,15,15,100.0,05008
5,10,0,0,0.0,05010
5,11,1,1,100.0,05011
5,14,3,3,100.0,05014
5,17,4,4,100.0,05017
5,18,1,1,100.0,05018
5,21,1,1,100.0,05021
5,24,7,7,100.0,05024
5,25,2,2,100.0,05025
5,26,1,1,100.0,05026
5,27,0,0,0.0,05027
5,28,4,4,100.0,05028
5,29,0,0,0.0,05029
5,30,8,8,100.0,05030
5,31,4,4,100.0,05031
5,32,1,1,100.0,05032
5,33,1,1,100.0,05033
5,34,1,1,100.0,05034
5,35,7,7,100.0,05035
5,36,1,1,100.0,05036
5,37,4,4,100.0,05037
5,38,11,11,100.0,05038
5,39,12,12,100.0,05039
5,40,1,1,100.0,05040
5,41,7,7,100.0,05041
5,42,2,2,100.0,05042
5,43,5,5,100.0,05043
5,44,0,0,0.0,05044
5,46,5,5,100.0,05046
5,47,0,0,0.0,05047
5,48,2,2,100.0,05048
5,49,13,13,100.0,05049
5,53,3,3,100.0,05053
5,54,2,2,100.0,05054
5,55,3,3,100.0,05055
5,56,0,0,0.0,05056
5,57,8,8,100.0,05057
5,59,0,0,0.0,05059
7,3,1,1,100.0,07003
7,7,5,5,100.0,07007
7,8,1,1,100.0,07008
7,9,0,0,0.0,07009
7,10,4,4,100.0,07010
7,11,1,1,100.0,07011
7,14,4,4,100.0,07014
7,15,2,2,100.0,07015
7,16,0,0,0.0,07016
7,17,0,0,0.0,07017
7,18,3,3,100.0,07018
7,20,0,0,0.0,07020
7,22,2,2,100.0,07022
7,23,3,3,100.0,07023
7,28,3,3,100.0,07028
7,32,2,2,100.0,07032
7,34,6,6,100.0,07034
7,35,7,7,100.0,07035
7,39,2,2,100.0,07039
7,40,1,1,100.0,07040
7,42,0,0,0.0,07042
7,44,3,3,100.0,07044
7,45,3,3,100.0,07045
7,46,0,0,0.0,07046
10,1,2,2,100.0,10001
10,4,6,6,100.0,10004
10,7,2,2,100.0,10007
10,13,11,11,100.0,10013
10,18,0,0,0.0,10018
10,23,1,1,100.0,10023
10,25,8,8,100.0,10025
10,37,4,4,100.0,10037
10,43,3,3,100.0,10043
10,45,9,9,100.0,10045
20,26,6,6,100.0,20026
20,34,4,4,100.0,20034
20,38,3,3,100.0,20038
