ward,precinct,total,JEFFREY P. MALINOWSKI,JEFFREY P. MALINOWSKI Percent,ROBERT M. RAICA,ROBERT M. RAICA Percent,precinct_id
13,2,16,6,37.5,10,62.5,13002
13,4,11,5,45.45,6,54.55,13004
13,5,5,4,80.0,1,20.0,13005
13,6,16,13,81.25,3,18.75,13006
13,7,7,4,57.14,3,42.86,13007
13,9,8,3,37.5,5,62.5,13009
13,10,14,8,57.14,6,42.86,13010
13,12,12,9,75.0,3,25.0,13012
13,14,16,8,50.0,8,50.0,13014
13,15,11,7,63.64,4,36.36,13015
13,16,12,8,66.67,4,33.33,13016
13,21,10,4,40.0,6,60.0,13021
13,22,5,2,40.0,3,60.0,13022
13,23,6,5,83.33,1,16.67,13023
13,25,15,9,60.0,6,40.0,13025
13,27,20,12,60.0,8,40.0,13027
13,28,7,5,71.43,2,28.57,13028
13,29,12,6,50.0,6,50.0,13029
13,32,8,5,62.5,3,37.5,13032
13,33,9,7,77.78,2,22.22,13033
13,34,14,7,50.0,7,50.0,13034
13,35,9,7,77.78,2,22.22,13035
13,36,9,4,44.44,5,55.56,13036
13,37,5,3,60.0,2,40.0,13037
13,38,6,5,83.33,1,16.67,13038
13,39,10,7,70.0,3,30.0,13039
13,40,16,9,56.25,7,43.75,13040
13,41,8,7,87.5,1,12.5,13041
13,42,6,4,66.67,2,33.33,13042
13,43,4,1,25.0,3,75.0,13043
13,46,1,1,100.0,0,0.0,13046
13,47,11,7,63.64,4,36.36,13047
13,48,6,2,33.33,4,66.67,13048
13,49,11,7,63.64,4,36.36,13049
13,50,11,8,72.73,3,27.27,13050
13,51,13,9,69.23,4,30.77,13051
13,52,18,12,66.67,6,33.33,13052
13,53,10,7,70.0,3,30.0,13053
13,54,5,3,60.0,2,40.0,13054
13,56,11,8,72.73,3,27.27,13056
13,57,16,9,56.25,7,43.75,13057
13,58,7,1,14.29,6,85.71,13058
13,59,7,5,71.43,2,28.57,13059
13,60,5,4,80.0,1,20.0,13060
13,62,8,7,87.5,1,12.5,13062
22,1,0,0,0.0,0,0.0,22001
22,15,1,1,100.0,0,0.0,22015
22,22,0,0,0.0,0,0.0,22022
23,1,13,5,38.46,8,61.54,23001
23,2,9,5,55.56,4,44.44,23002
23,3,25,11,44.0,14,56.0,23003
23,4,17,8,47.06,9,52.94,23004
23,8,21,13,61.9,8,38.1,23008
23,11,17,7,41.18,10,58.82,23011
23,12,22,11,50.0,11,50.0,23012
23,13,24,12,50.0,12,50.0,23013
23,14,11,5,45.45,6,54.55,23014
23,15,19,7,36.84,12,63.16,23015
23,16,27,15,55.56,12,44.44,23016
23,17,15,5,33.33,10,66.67,23017
23,18,20,5,25.0,15,75.0,23018
23,19,12,4,33.33,8,66.67,23019
23,20,18,8,44.44,10,55.56,23020
23,21,17,5,29.41,12,70.59,23021
23,26,31,14,45.16,17,54.84,23026
23,27,37,7,18.92,30,81.08,23027
23,28,18,6,33.33,12,66.67,23028
23,30,12,4,33.33,8,66.67,23030
23,31,25,16,64.0,9,36.0,23031
23,33,0,0,0.0,0,0.0,23033
23,34,20,17,85.0,3,15.0,23034
23,35,1,0,0.0,1,100.0,23035
23,36,20,5,25.0,15,75.0,23036
23,37,1,1,100.0,0,0.0,23037
23,38,6,3,50.0,3,50.0,23038
23,39,21,12,57.14,9,42.86,23039
23,40,23,9,39.13,14,60.87,23040
23,42,7,4,57.14,3,42.86,23042
23,43,15,2,13.33,13,86.67,23043
23,44,13,5,38.46,8,61.54,23044
23,45,20,6,30.0,14,70.0,23045
23,46,12,7,58.33,5,41.67,23046
23,47,20,5,25.0,15,75.0,23047
23,48,20,7,35.0,13,65.0,23048
23,52,22,6,27.27,16,72.73,23052
23,54,13,4,30.77,9,69.23,23054
23,55,20,14,70.0,6,30.0,23055
23,56,34,20,58.82,14,41.18,23056
23,57,21,11,52.38,10,47.62,23057
23,58,19,12,63.16,7,36.84,23058
23,60,17,10,58.82,7,41.18,23060
23,61,11,3,27.27,8,72.73,23061
23,62,16,10,62.5,6,37.5,23062
