ward,precinct,registered,ballots,turnout,precinct_id
1,1,597,8,1.34,01001
1,2,989,15,1.52,01002
1,3,652,14,2.15,01003
1,4,608,10,1.64,01004
1,5,713,5,0.7,01005
1,6,406,2,0.49,01006
1,7,738,32,4.34,01007
1,8,594,10,1.68,01008
1,9,692,21,3.03,01009
1,10,761,23,3.02,01010
1,11,588,12,2.04,01011
1,12,775,14,1.81,01012
1,13,691,6,0.87,01013
1,14,787,4,0.51,01014
1,15,664,1,0.15,01015
1,16,642,2,0.31,01016
1,17,621,18,2.9,01017
1,18,799,7,0.88,01018
1,19,840,5,0.6,01019
1,20,637,5,0.78,01020
1,21,731,12,1.64,01021
1,22,746,2,0.27,01022
1,23,906,19,2.1,01023
1,24,626,9,1.44,01024
1,25,654,14,2.14,01025
1,26,610,11,1.8,01026
1,27,723,6,0.83,01027
1,28,163,2,1.23,01028
1,29,905,18,1.99,01029
1,30,741,2,0.27,01030
1,31,223,16,7.17,01031
1,32,589,11,1.87,01032
1,33,785,7,0.89,01033
1,34,112,5,4.46,01034
1,35,135,9,6.67,01035
1,36,570,14,2.46,01036
1,37,828,15,1.81,01037
2,1,620,28,4.52,02001
2,2,518,8,1.54,02002
2,3,642,0,0.0,02003
2,4,290,5,1.72,02004
2,5,465,4,0.86,02005
2,6,393,1,0.25,02006
2,7,566,2,0.35,02007
2,8,453,40,8.83,02008
2,9,0,0,0.0,02009
2,10,393,0,0.0,02010
2,11,803,32,3.99,02011
2,12,552,4,0.72,02012
2,13,492,3,0.61,02013
2,14,480,11,2.29,02014
2,15,269,0,0.0,02015
2,16,412,2,0.49,02016
2,17,529,3,0.57,02017
2,18,638,2,0.31,02018
2,19,290,0,0.0,02019
2,20,355,1,0.28,02020
2,21,475,1,0.21,02021
2,22,982,41,4.18,02022
2,23,533,1,0.19,02023
2,24,736,1,0.14,02024
2,25,280,11,3.93,02025
2,26,253,7,2.77,02026
2,27,75,0,0.0,02027
2,28,535,0,0.0,02028
2,29,249,0,0.0,02029
2,30,624,0,0.0,02030
2,31,490,3,0.61,02031
2,32,574,3,0.52,02032
2,33,493,6,1.22,02033
2,34,550,4,0.73,02034
2,35,907,16,1.76,02035
2,36,438,2,0.46,02036
2,37,681,29,4.26,02037
2,38,504,6,1.19,02038
2,39,952,9,0.95,02039
2,40,676,7,1.04,02040
2,41,286,1,0.35,02041
2,42,359,3,0.84,02042
2,43,576,50,8.68,02043
2,44,497,2,0.4,02044
2,45,195,1,0.51,02045
2,46,765,7,0.92,02046
2,47,207,3,1.45,02047
2,48,419,9,2.15,02048
2,49,319,14,4.39,02049
2,50,396,10,2.53,02050
2,51,470,4,0.85,02051
2,52,447,10,2.24,02052
2,53,470,1,0.21,02053
2,54,614,42,6.84,02054
