ward,precinct,total,JAMES S. CAPORUSSO,JAMES S. CAPORUSSO Percent,precinct_id
29,4,1,1,100.0,29004
29,5,0,0,0.0,29005
29,8,2,2,100.0,29008
29,9,2,2,100.0,29009
29,11,2,2,100.0,29011
29,13,3,3,100.0,29013
29,18,0,0,0.0,29018
29,20,2,2,100.0,29020
29,23,0,0,0.0,29023
29,29,2,2,100.0,29029
29,32,3,3,100.0,29032
29,33,3,3,100.0,29033
29,35,1,1,100.0,29035
29,37,4,4,100.0,29037
29,40,1,1,100.0,29040
29,41,1,1,100.0,29041
29,43,1,1,100.0,29043
29,44,3,3,100.0,29044
29,45,0,0,0.0,29045
29,46,1,1,100.0,29046
29,47,5,5,100.0,29047
29,50,1,1,100.0,29050
29,51,4,4,100.0,29051
36,2,10,10,100.0,36002
36,16,14,14,100.0,36016
36,22,20,20,100.0,36022
36,23,5,5,100.0,36023
36,24,1,1,100.0,36024
36,33,15,15,100.0,36033
36,44,13,13,100.0,36044
36,45,13,13,100.0,36045
36,54,8,8,100.0,36054
36,55,6,6,100.0,36055
37,1,0,0,0.0,37001
37,6,2,2,100.0,37006
37,7,0,0,0.0,37007
37,9,1,1,100.0,37009
37,18,1,1,100.0,37018
37,23,0,0,0.0,37023
37,24,0,0,0.0,37024
37,25,0,0,0.0,37025
37,29,0,0,0.0,37029
37,36,1,1,100.0,37036
37,37,2,2,100.0,37037
37,38,0,0,0.0,37038
37,41,0,0,0.0,37041
37,45,0,0,0.0,37045
37,46,0,0,0.0,37046
37,50,1,1,100.0,37050
41,27,12,12,100.0,41027
