ward,precinct,total,DEROME STOVALL,DEROME STOVALL Percent,precinct_id
6,4,2,2,100.0,06004
6,5,2,2,100.0,06005
6,6,1,1,100.0,06006
6,7,1,1,100.0,06007
6,11,2,2,100.0,06011
6,12,1,1,100.0,06012
6,15,0,0,0.0,06015
6,18,1,1,100.0,06018
6,30,2,2,100.0,06030
6,32,0,0,0.0,06032
6,33,2,2,100.0,06033
6,36,1,1,100.0,06036
6,40,0,0,0.0,06040
6,48,0,0,0.0,06048
6,61,0,0,0.0,06061
13,13,4,4,100.0,13013
13,17,5,5,100.0,13017
13,19,6,6,100.0,13019
13,26,1,1,100.0,13026
13,30,6,6,100.0,13030
13,45,11,11,100.0,13045
13,55,7,7,100.0,13055
14,1,0,0,0.0,14001
14,10,3,3,100.0,14010
14,15,2,2,100.0,14015
14,17,1,1,100.0,14017
14,20,1,1,100.0,14020
14,21,6,6,100.0,14021
14,25,9,9,100.0,14025
14,27,0,0,0.0,14027
14,38,8,8,100.0,14038
14,44,9,9,100.0,14044
14,45,7,7,100.0,14045
14,48,6,6,100.0,14048
15,1,0,0,0.0,15001
15,3,1,1,100.0,15003
15,6,3,3,100.0,15006
15,7,0,0,0.0,15007
15,8,3,3,100.0,15008
15,9,0,0,0.0,15009
15,10,4,4,100.0,15010
15,11,0,0,0.0,15011
15,12,5,5,100.0,15012
15,13,2,2,100.0,15013
15,14,8,8,100.0,15014
15,15,0,0,0.0,15015
15,16,2,2,100.0,15016
15,19,0,0,0.0,15019
15,21,0,0,0.0,15021
15,25,4,4,100.0,15025
15,27,7,7,100.0,15027
15,28,4,4,100.0,15028
15,30,0,0,0.0,15030
15,31,0,0,0.0,15031
15,32,1,1,100.0,15032
15,33,2,2,100.0,15033
15,34,2,2,100.0,15034
15,40,0,0,0.0,15040
15,41,10,10,100.0,15041
15,42,0,0,0.0,15042
15,44,1,1,100.0,15044
15,45,11,11,100.0,15045
15,46,0,0,0.0,15046
15,47,4,4,100.0,15047
15,48,0,0,0.0,15048
17,1,0,0,0.0,17001
17,6,1,1,100.0,17006
17,8,0,0,0.0,17008
17,11,0,0,0.0,17011
17,13,0,0,0.0,17013
17,14,1,1,100.0,17014
17,16,1,1,100.0,17016
17,17,0,0,0.0,17017
17,19,0,0,0.0,17019
17,34,0,0,0.0,17034
17,36,0,0,0.0,17036
17,39,1,1,100.0,17039
17,40,0,0,0.0,17040
17,41,1,1,100.0,17041
17,42,1,1,100.0,17042
17,43,2,2,100.0,17043
17,45,3,3,100.0,17045
17,46,3,3,100.0,17046
17,49,6,6,100.0,17049
18,1,2,2,100.0,18001
18,2,7,7,100.0,18002
18,5,1,1,100.0,18005
18,8,0,0,0.0,18008
18,11,10,10,100.0,18011
18,13,0,0,0.0,18013
18,15,1,1,100.0,18015
18,17,12,12,100.0,18017
18,21,9,9,100.0,18021
18,23,5,5,100.0,18023
18,28,0,0,0.0,18028
18,29,14,14,100.0,18029
18,31,4,4,100.0,18031
18,33,0,0,0.0,18033
20,10,3,3,100.0,20010
20,13,0,0,0.0,20013
20,16,0,0,0.0,20016
20,25,0,0,0.0,20025
20,28,1,1,100.0,20028
20,30,1,1,100.0,20030
20,35,1,1,100.0,20035
20,40,1,1,100.0,20040
20,43,2,2,100.0,20043
20,44,0,0,0.0,20044
20,49,1,1,100.0,20049
20,51,3,3,100.0,20051
