ward,precinct,total,JANICE L. BERMAN,JANICE L. BERMAN Percent,precinct_id
26,7,5,5,100.0,26007
30,1,12,12,100.0,30001
30,2,20,20,100.0,30002
30,3,18,18,100.0,30003
30,6,7,7,100.0,30006
30,12,25,25,100.0,30012
30,13,5,5,100.0,30013
30,15,9,9,100.0,30015
30,28,17,17,100.0,30028
30,29,11,11,100.0,30029
30,32,16,16,100.0,30032
30,44,19,19,100.0,30044
32,9,21,21,100.0,32009
32,19,9,9,100.0,32019
32,21,11,11,100.0,32021
32,22,24,24,100.0,32022
32,25,9,9,100.0,32025
32,44,9,9,100.0,32044
33,8,1,1,100.0,33008
33,14,8,8,100.0,33014
33,18,9,9,100.0,33018
33,26,0,0,0.0,33026
33,29,7,7,100.0,33029
33,37,0,0,0.0,33037
38,4,12,12,100.0,38004
38,5,10,10,100.0,38005
38,41,25,25,100.0,38041
38,42,17,17,100.0,38042
39,1,19,19,100.0,39001
39,2,15,15,100.0,39002
39,3,18,18,100.0,39003
39,4,12,12,100.0,39004
39,5,3,3,100.0,39005
39,6,27,27,100.0,39006
39,7,18,18,100.0,39007
39,8,7,7,100.0,39008
39,9,23,23,100.0,39009
39,10,14,14,100.0,39010
39,11,14,14,100.0,39011
39,12,3,3,100.0,39012
39,13,4,4,100.0,39013
39,14,14,14,100.0,39014
39,15,12,12,100.0,39015
39,16,15,15,100.0,39016
39,17,13,13,100.0,39017
39,18,15,15,100.0,39018
39,19,14,14,100.0,39019
39,20,24,24,100.0,39020
39,21,5,5,100.0,39021
39,22,5,5,100.0,39022
39,24,7,7,100.0,39024
39,25,5,5,100.0,39025
39,26,22,22,100.0,39026
39,28,20,20,100.0,39028
39,30,10,10,100.0,39030
39,31,5,5,100.0,39031
39,33,15,15,100.0,39033
39,35,15,15,100.0,39035
39,36,16,16,100.0,39036
39,37,30,30,100.0,39037
39,38,22,22,100.0,39038
39,39,6,6,100.0,39039
39,40,15,15,100.0,39040
39,42,17,17,100.0,39042
39,43,27,27,100.0,39043
39,44,12,12,100.0,39044
39,45,20,20,100.0,39045
39,46,9,9,100.0,39046
39,47,18,18,100.0,39047
39,48,21,21,100.0,39048
39,49,2,2,100.0,39049
39,50,18,18,100.0,39050
40,1,10,10,100.0,40001
40,2,8,8,100.0,40002
40,5,9,9,100.0,40005
40,6,9,9,100.0,40006
40,10,16,16,100.0,40010
40,14,14,14,100.0,40014
40,15,14,14,100.0,40015
40,17,9,9,100.0,40017
40,18,0,0,0.0,40018
40,19,20,20,100.0,40019
40,20,10,10,100.0,40020
40,21,6,6,100.0,40021
40,24,9,9,100.0,40024
40,25,7,7,100.0,40025
40,29,13,13,100.0,40029
40,30,11,11,100.0,40030
40,31,20,20,100.0,40031
40,32,16,16,100.0,40032
40,34,11,11,100.0,40034
40,36,18,18,100.0,40036
40,38,5,5,100.0,40038
40,44,13,13,100.0,40044
41,1,24,24,100.0,41001
41,2,42,42,100.0,41002
41,3,22,22,100.0,41003
41,4,31,31,100.0,41004
41,5,32,32,100.0,41005
41,6,35,35,100.0,41006
41,7,36,36,100.0,41007
41,8,32,32,100.0,41008
41,9,18,18,100.0,41009
41,10,22,22,100.0,41010
41,11,39,39,100.0,41011
41,12,25,25,100.0,41012
41,13,12,12,100.0,41013
41,14,21,21,100.0,41014
41,15,16,16,100.0,41015
41,16,30,30,100.0,41016
41,17,26,26,100.0,41017
41,18,35,35,100.0,41018
41,19,29,29,100.0,41019
41,20,51,51,100.0,41020
41,21,33,33,100.0,41021
41,22,22,22,100.0,41022
41,23,20,20,100.0,41023
41,24,26,26,100.0,41024
41,30,25,25,100.0,41030
41,31,49,49,100.0,41031
41,32,27,27,100.0,41032
41,33,38,38,100.0,41033
41,34,42,42,100.0,41034
41,35,34,34,100.0,41035
41,36,30,30,100.0,41036
41,37,69,69,100.0,41037
41,39,35,35,100.0,41039
41,40,22,22,100.0,41040
41,41,27,27,100.0,41041
41,42,24,24,100.0,41042
41,43,23,23,100.0,41043
41,44,32,32,100.0,41044
41,45,27,27,100.0,41045
41,46,14,14,100.0,41046
41,49,20,20,100.0,41049
41,50,18,18,100.0,41050
41,51,19,19,100.0,41051
41,52,33,33,100.0,41052
41,53,58,58,100.0,41053
41,55,36,36,100.0,41055
41,56,49,49,100.0,41056
41,57,44,44,100.0,41057
41,58,23,23,100.0,41058
41,59,26,26,100.0,41059
41,60,18,18,100.0,41060
41,61,26,26,100.0,41061
41,62,26,26,100.0,41062
41,63,25,25,100.0,41063
41,64,55,55,100.0,41064
41,65,29,29,100.0,41065
41,66,23,23,100.0,41066
45,2,14,14,100.0,45002
45,3,11,11,100.0,45003
45,5,24,24,100.0,45005
45,6,19,19,100.0,45006
45,7,16,16,100.0,45007
45,8,21,21,100.0,45008
45,9,16,16,100.0,45009
45,10,29,29,100.0,45010
45,11,14,14,100.0,45011
45,12,14,14,100.0,45012
45,13,16,16,100.0,45013
45,14,21,21,100.0,45014
45,15,21,21,100.0,45015
45,16,11,11,100.0,45016
45,17,14,14,100.0,45017
45,18,8,8,100.0,45018
45,19,17,17,100.0,45019
45,20,12,12,100.0,45020
45,21,26,26,100.0,45021
45,22,20,20,100.0,45022
45,23,18,18,100.0,45023
45,24,42,42,100.0,45024
45,25,11,11,100.0,45025
45,26,16,16,100.0,45026
45,27,16,16,100.0,45027
45,28,14,14,100.0,45028
45,29,16,16,100.0,45029
45,30,20,20,100.0,45030
45,31,15,15,100.0,45031
45,32,14,14,100.0,45032
45,33,32,32,100.0,45033
45,34,8,8,100.0,45034
45,35,25,25,100.0,45035
45,36,23,23,100.0,45036
45,37,14,14,100.0,45037
45,38,24,24,100.0,45038
45,39,23,23,100.0,45039
45,40,11,11,100.0,45040
45,41,13,13,100.0,45041
45,42,12,12,100.0,45042
45,43,16,16,100.0,45043
45,44,21,21,100.0,45044
45,45,13,13,100.0,45045
45,46,12,12,100.0,45046
45,47,25,25,100.0,45047
45,48,10,10,100.0,45048
45,49,23,23,100.0,45049
45,50,12,12,100.0,45050
45,51,22,22,100.0,45051
45,52,17,17,100.0,45052
45,53,19,19,100.0,45053
45,54,23,23,100.0,45054
45,55,21,21,100.0,45055
45,56,13,13,100.0,45056
45,57,21,21,100.0,45057
46,21,4,4,100.0,46021
47,1,3,3,100.0,47001
47,2,10,10,100.0,47002
47,3,7,7,100.0,47003
47,4,16,16,100.0,47004
47,5,15,15,100.0,47005
47,6,8,8,100.0,47006
47,7,13,13,100.0,47007
47,8,20,20,100.0,47008
47,9,14,14,100.0,47009
47,10,12,12,100.0,47010
47,11,16,16,100.0,47011
47,12,14,14,100.0,47012
47,13,12,12,100.0,47013
47,14,8,8,100.0,47014
47,16,5,5,100.0,47016
47,17,10,10,100.0,47017
47,19,8,8,100.0,47019
47,20,15,15,100.0,47020
47,22,8,8,100.0,47022
47,25,12,12,100.0,47025
47,26,20,20,100.0,47026
47,27,10,10,100.0,47027
47,28,11,11,100.0,47028
47,29,21,21,100.0,47029
47,30,9,9,100.0,47030
47,31,13,13,100.0,47031
47,32,9,9,100.0,47032
47,33,6,6,100.0,47033
47,34,13,13,100.0,47034
47,35,18,18,100.0,47035
47,36,12,12,100.0,47036
47,37,18,18,100.0,47037
47,38,7,7,100.0,47038
47,39,15,15,100.0,47039
47,40,3,3,100.0,47040
47,42,8,8,100.0,47042
47,43,18,18,100.0,47043
47,45,10,10,100.0,47045
50,8,25,25,100.0,50008
50,23,8,8,100.0,50023
50,29,18,18,100.0,50029
