ward,precinct,total,Mark Hosty (Donald J Trump),Mark Hosty (Donald J Trump) Percent,Eloise Gerson (Donald J Trump),Eloise Gerson (Donald J Trump) Percent,Adrian Wright (Donald J Trump),Adrian Wright (Donald J Trump) Percent,precinct_id
1,12,36,12,33.33,13,36.11,11,30.56,01012
1,14,1,0,0.0,1,100.0,0,0.0,01014
1,15,3,1,33.33,1,33.33,1,33.33,01015
1,32,12,4,33.33,4,33.33,4,33.33,01032
2,2,48,17,35.42,15,31.25,16,33.33,02002
2,9,22,9,40.91,7,31.82,6,27.27,02009
2,10,28,9,32.14,10,35.71,9,32.14,02010
2,11,34,13,38.24,10,29.41,11,32.35,02011
2,12,6,2,33.33,2,33.33,2,33.33,02012
2,13,40,14,35.0,14,35.0,12,30.0,02013
2,14,13,4,30.77,5,38.46,4,30.77,02014
2,17,20,7,35.0,8,40.0,5,25.0,02017
2,18,32,11,34.38,10,31.25,11,34.38,02018
2,19,15,7,46.67,4,26.67,4,26.67,02019
2,20,10,3,30.0,4,40.0,3,30.0,02020
2,21,0,0,0.0,0,0.0,0,0.0,02021
2,23,51,18,35.29,17,33.33,16,31.37,02023
2,27,64,22,34.38,20,31.25,22,34.38,02027
2,28,16,6,37.5,6,37.5,4,25.0,02028
2,29,49,16,32.65,16,32.65,17,34.69,02029
2,32,25,8,32.0,9,36.0,8,32.0,02032
2,34,48,18,37.5,16,33.33,14,29.17,02034
2,35,53,17,32.08,19,35.85,17,32.08,02035
2,36,58,17,29.31,22,37.93,19,32.76,02036
2,38,41,14,34.15,15,36.59,12,29.27,02038
2,39,50,20,40.0,15,30.0,15,30.0,02039
2,40,18,7,38.89,5,27.78,6,33.33,02040
2,41,48,17,35.42,16,33.33,15,31.25,02041
2,42,28,10,35.71,9,32.14,9,32.14,02042
2,43,39,12,30.77,14,35.9,13,33.33,02043
2,45,42,14,33.33,16,38.1,12,28.57,02045
2,46,20,8,40.0,6,30.0,6,30.0,02046
3,1,10,3,30.0,3,30.0,4,40.0,03001
3,2,6,2,33.33,2,33.33,2,33.33,03002
3,3,2,1,50.0,1,50.0,0,0.0,03003
3,4,0,0,0.0,0,0.0,0,0.0,03004
3,5,10,4,40.0,3,30.0,3,30.0,03005
3,6,48,17,35.42,15,31.25,16,33.33,03006
3,8,4,1,25.0,1,25.0,2,50.0,03008
3,9,6,2,33.33,2,33.33,2,33.33,03009
3,10,10,4,40.0,3,30.0,3,30.0,03010
3,11,8,2,25.0,3,37.5,3,37.5,03011
3,12,6,2,33.33,2,33.33,2,33.33,03012
3,13,16,6,37.5,5,31.25,5,31.25,03013
3,14,25,9,36.0,7,28.0,9,36.0,03014
3,15,1,0,0.0,1,100.0,0,0.0,03015
3,16,8,2,25.0,2,25.0,4,50.0,03016
