ward,precinct,total,Christopher Lasky,Christopher Lasky Percent,precinct_id
1,1,8,8,100.0,01001
1,2,8,8,100.0,01002
1,7,1,1,100.0,01007
1,9,7,7,100.0,01009
1,13,5,5,100.0,01013
1,15,3,3,100.0,01015
1,16,5,5,100.0,01016
1,17,6,6,100.0,01017
1,18,3,3,100.0,01018
1,19,7,7,100.0,01019
1,20,4,4,100.0,01020
1,22,5,5,100.0,01022
1,23,4,4,100.0,01023
1,24,3,3,100.0,01024
1,25,7,7,100.0,01025
1,26,4,4,100.0,01026
1,27,10,10,100.0,01027
1,29,12,12,100.0,01029
1,30,7,7,100.0,01030
1,31,6,6,100.0,01031
1,34,2,2,100.0,01034
1,38,2,2,100.0,01038
1,41,3,3,100.0,01041
1,42,4,4,100.0,01042
1,43,3,3,100.0,01043
1,44,5,5,100.0,01044
11,3,2,2,100.0,11003
11,37,0,0,0.0,11037
11,38,3,3,100.0,11038
12,2,4,4,100.0,12002
12,3,1,1,100.0,12003
12,5,3,3,100.0,12005
12,6,14,14,100.0,12006
12,7,2,2,100.0,12007
12,8,12,12,100.0,12008
12,10,6,6,100.0,12010
12,11,7,7,100.0,12011
12,12,7,7,100.0,12012
12,13,5,5,100.0,12013
12,14,3,3,100.0,12014
12,15,1,1,100.0,12015
12,16,2,2,100.0,12016
12,17,11,11,100.0,12017
12,18,1,1,100.0,12018
12,19,0,0,0.0,12019
12,20,7,7,100.0,12020
12,21,12,12,100.0,12021
12,22,1,1,100.0,12022
14,2,9,9,100.0,14002
14,3,3,3,100.0,14003
14,5,5,5,100.0,14005
14,6,5,5,100.0,14006
14,10,11,11,100.0,14010
14,11,4,4,100.0,14011
14,13,8,8,100.0,14013
14,14,5,5,100.0,14014
14,15,2,2,100.0,14015
14,16,6,6,100.0,14016
14,17,11,11,100.0,14017
14,19,7,7,100.0,14019
14,20,4,4,100.0,14020
14,25,4,4,100.0,14025
14,27,16,16,100.0,14027
14,28,9,9,100.0,14028
14,30,2,2,100.0,14030
14,31,2,2,100.0,14031
15,1,0,0,0.0,15001
15,4,11,11,100.0,15004
