ward,precinct,total,Barry Bebart,Barry Bebart Percent,precinct_id
39,1,13,13,100.0,39001
39,2,21,21,100.0,39002
39,3,8,8,100.0,39003
39,4,20,20,100.0,39004
39,5,17,17,100.0,39005
39,6,4,4,100.0,39006
39,7,10,10,100.0,39007
39,8,6,6,100.0,39008
39,9,15,15,100.0,39009
39,10,2,2,100.0,39010
39,11,9,9,100.0,39011
39,12,13,13,100.0,39012
39,13,14,14,100.0,39013
39,14,19,19,100.0,39014
39,15,16,16,100.0,39015
39,16,12,12,100.0,39016
39,17,9,9,100.0,39017
39,18,8,8,100.0,39018
39,19,17,17,100.0,39019
39,20,33,33,100.0,39020
39,21,22,22,100.0,39021
39,22,12,12,100.0,39022
39,23,13,13,100.0,39023
39,24,29,29,100.0,39024
39,25,9,9,100.0,39025
39,26,14,14,100.0,39026
39,27,0,0,0.0,39027
39,28,13,13,100.0,39028
39,29,2,2,100.0,39029
39,30,8,8,100.0,39030
39,31,5,5,100.0,39031
39,32,11,11,100.0,39032
39,33,5,5,100.0,39033
39,34,13,13,100.0,39034
39,35,13,13,100.0,39035
39,36,7,7,100.0,39036
39,37,15,15,100.0,39037
39,38,24,24,100.0,39038
39,39,8,8,100.0,39039
39,40,14,14,100.0,39040
39,41,17,17,100.0,39041
39,42,10,10,100.0,39042
39,43,14,14,100.0,39043
39,44,13,13,100.0,39044
39,45,9,9,100.0,39045
