ward,precinct,total,Julian Aguilar (Donald J Trump),Julian Aguilar (Donald J Trump) Percent,Dorothy Hathaway (Donald J Trump),Dorothy Hathaway (Donald J Trump) Percent,Anayanzi Mendez (Donald J Trump),Anayanzi Mendez (Donald J Trump) Percent,precinct_id
31,33,21,9,42.86,6,28.57,6,28.57,31033
31,34,9,3,33.33,3,33.33,3,33.33,31034
31,35,9,4,44.44,3,33.33,2,22.22,31035
31,36,14,8,57.14,3,21.43,3,21.43,31036
31,37,14,6,42.86,3,21.43,5,35.71,31037
31,38,4,2,50.0,1,25.0,1,25.0,31038
31,39,5,2,40.0,2,40.0,1,20.0,31039
31,40,5,2,40.0,1,20.0,2,40.0,31040
31,41,19,7,36.84,6,31.58,6,31.58,31041
32,1,0,0,0.0,0,0.0,0,0.0,32001
32,3,14,5,35.71,6,42.86,3,21.43,32003
32,11,11,5,45.45,3,27.27,3,27.27,32011
32,12,5,2,40.0,1,20.0,2,40.0,32012
32,14,15,4,26.67,6,40.0,5,33.33,32014
32,16,0,0,0.0,0,0.0,0,0.0,32016
32,17,17,6,35.29,6,35.29,5,29.41,32017
32,20,4,2,50.0,1,25.0,1,25.0,32020
32,22,7,3,42.86,2,28.57,2,28.57,32022
32,26,7,3,42.86,2,28.57,2,28.57,32026
32,28,7,2,28.57,3,42.86,2,28.57,32028
32,43,13,5,38.46,6,46.15,2,15.38,32043
33,1,13,4,30.77,3,23.08,6,46.15,33001
33,3,30,12,40.0,10,33.33,8,26.67,33003
33,4,27,9,33.33,10,37.04,8,29.63,33004
33,6,15,6,40.0,5,33.33,4,26.67,33006
33,7,11,3,27.27,5,45.45,3,27.27,33007
33,8,6,3,50.0,2,33.33,1,16.67,33008
33,9,30,13,43.33,9,30.0,8,26.67,33009
33,10,15,4,26.67,5,33.33,6,40.0,33010
33,11,18,7,38.89,7,38.89,4,22.22,33011
33,12,35,11,31.43,12,34.29,12,34.29,33012
33,13,5,1,20.0,2,40.0,2,40.0,33013
33,14,31,11,35.48,11,35.48,9,29.03,33014
33,15,23,9,39.13,7,30.43,7,30.43,33015
33,16,26,10,38.46,11,42.31,5,19.23,33016
33,17,29,10,34.48,11,37.93,8,27.59,33017
33,19,12,3,25.0,6,50.0,3,25.0,33019
33,20,18,6,33.33,6,33.33,6,33.33,33020
33,21,12,5,41.67,3,25.0,4,33.33,33021
33,22,26,9,34.62,8,30.77,9,34.62,33022
33,23,21,7,33.33,7,33.33,7,33.33,33023
33,25,19,8,42.11,6,31.58,5,26.32,33025
33,26,20,7,35.0,8,40.0,5,25.0,33026
33,27,20,8,40.0,7,35.0,5,25.0,33027
33,28,23,9,39.13,8,34.78,6,26.09,33028
35,1,19,6,31.58,7,36.84,6,31.58,35001
35,2,18,7,38.89,6,33.33,5,27.78,35002
35,3,7,2,28.57,3,42.86,2,28.57,35003
35,4,16,7,43.75,5,31.25,4,25.0,35004
35,5,7,3,42.86,3,42.86,1,14.29,35005
35,6,6,2,33.33,2,33.33,2,33.33,35006
35,7,14,6,42.86,4,28.57,4,28.57,35007
35,8,10,3,30.0,5,50.0,2,20.0,35008
35,9,13,4,30.77,4,30.77,5,38.46,35009
35,10,7,4,57.14,2,28.57,1,14.29,35010
35,11,9,4,44.44,3,33.33,2,22.22,35011
35,12,5,4,80.0,1,20.0,0,0.0,35012
35,13,7,1,14.29,5,71.43,1,14.29,35013
35,14,4,1,25.0,1,25.0,2,50.0,35014
35,15,28,9,32.14,11,39.29,8,28.57,35015
35,16,3,1,33.33,1,33.33,1,33.33,35016
35,17,7,2,28.57,3,42.86,2,28.57,35017
35,18,9,3,33.33,4,44.44,2,22.22,35018
35,19,7,2,28.57,1,14.29,4,57.14,35019
35,20,18,7,38.89,7,38.89,4,22.22,35020
35,21,12,7,58.33,3,25.0,2,16.67,35021
35,22,18,8,44.44,7,38.89,3,16.67,35022
35,23,14,5,35.71,5,35.71,4,28.57,35023
35,24,11,5,45.45,3,27.27,3,27.27,35024
35,25,4,2,50.0,1,25.0,1,25.0,35025
35,26,14,4,28.57,7,50.0,3,21.43,35026
35,27,24,8,33.33,9,37.5,7,29.17,35027
35,28,25,9,36.0,8,32.0,8,32.0,35028
35,29,36,10,27.78,15,41.67,11,30.56,35029
35,30,6,4,66.67,2,33.33,0,0.0,35030
35,31,16,4,25.0,8,50.0,4,25.0,35031
36,1,26,12,46.15,8,30.77,6,23.08,36001
36,2,31,10,32.26,11,35.48,10,32.26,36002
36,3,29,11,37.93,10,34.48,8,27.59,36003
36,4,11,3,27.27,5,45.45,3,27.27,36004
36,6,34,12,35.29,13,38.24,9,26.47,36006
36,8,10,4,40.0,3,30.0,3,30.0,36008
36,9,28,9,32.14,10,35.71,9,32.14,36009
36,10,47,16,34.04,16,34.04,15,31.91,36010
36,11,13,5,38.46,5,38.46,3,23.08,36011
36,12,13,5,38.46,5,38.46,3,23.08,36012
36,13,15,5,33.33,6,40.0,4,26.67,36013
36,16,9,3,33.33,3,33.33,3,33.33,36016
36,19,32,10,31.25,12,37.5,10,31.25,36019
36,20,13,5,38.46,5,38.46,3,23.08,36020
36,21,9,2,22.22,3,33.33,4,44.44,36021
36,22,6,2,33.33,2,33.33,2,33.33,36022
36,23,35,12,34.29,10,28.57,13,37.14,36023
36,24,6,1,16.67,4,66.67,1,16.67,36024
36,25,11,4,36.36,4,36.36,3,27.27,36025
36,27,18,5,27.78,8,44.44,5,27.78,36027
36,29,16,6,37.5,6,37.5,4,25.0,36029
37,26,12,5,41.67,4,33.33,3,25.0,37026
38,1,24,9,37.5,9,37.5,6,25.0,38001
38,35,0,0,0.0,0,0.0,0,0.0,38035
38,41,21,7,33.33,8,38.1,6,28.57,38041
39,6,6,2,33.33,2,33.33,2,33.33,39006
39,12,22,8,36.36,8,36.36,6,27.27,39012
39,25,0,0,0.0,0,0.0,0,0.0,39025
39,28,5,1,20.0,3,60.0,1,20.0,39028
39,31,12,4,33.33,3,25.0,5,41.67,39031
45,1,18,5,27.78,8,44.44,5,27.78,45001
45,2,3,2,66.67,1,33.33,0,0.0,45002
45,8,24,8,33.33,9,37.5,7,29.17,45008
45,9,43,15,34.88,16,37.21,12,27.91,45009
45,10,58,20,34.48,22,37.93,16,27.59,45010
