ward,precinct,total,Jason Finney,Jason Finney Percent,precinct_id
43,1,3,3,100.0,43001
43,2,15,15,100.0,43002
43,3,6,6,100.0,43003
43,4,9,9,100.0,43004
43,5,11,11,100.0,43005
43,6,7,7,100.0,43006
43,7,5,5,100.0,43007
43,8,7,7,100.0,43008
43,9,10,10,100.0,43009
43,10,17,17,100.0,43010
43,11,13,13,100.0,43011
43,12,6,6,100.0,43012
43,13,7,7,100.0,43013
43,14,12,12,100.0,43014
43,15,10,10,100.0,43015
43,16,11,11,100.0,43016
43,17,11,11,100.0,43017
43,18,19,19,100.0,43018
43,19,10,10,100.0,43019
43,20,4,4,100.0,43020
43,21,7,7,100.0,43021
43,22,9,9,100.0,43022
43,23,6,6,100.0,43023
43,24,13,13,100.0,43024
43,25,9,9,100.0,43025
43,26,11,11,100.0,43026
43,27,9,9,100.0,43027
43,28,17,17,100.0,43028
43,29,18,18,100.0,43029
43,30,11,11,100.0,43030
43,31,11,11,100.0,43031
43,32,7,7,100.0,43032
43,33,20,20,100.0,43033
43,34,9,9,100.0,43034
43,35,13,13,100.0,43035
43,36,12,12,100.0,43036
43,37,11,11,100.0,43037
43,38,7,7,100.0,43038
43,39,19,19,100.0,43039
43,40,6,6,100.0,43040
43,41,8,8,100.0,43041
43,42,5,5,100.0,43042
43,43,16,16,100.0,43043
43,44,7,7,100.0,43044
43,45,10,10,100.0,43045
43,46,5,5,100.0,43046
