ward,precinct,total,Steve Boulton,Steve Boulton Percent,precinct_id
32,1,11,11,100.0,32001
32,2,8,8,100.0,32002
32,3,8,8,100.0,32003
32,4,6,6,100.0,32004
32,5,8,8,100.0,32005
32,6,5,5,100.0,32006
32,7,10,10,100.0,32007
32,8,12,12,100.0,32008
32,9,9,9,100.0,32009
32,10,10,10,100.0,32010
32,11,5,5,100.0,32011
32,12,2,2,100.0,32012
32,13,13,13,100.0,32013
32,14,5,5,100.0,32014
32,15,10,10,100.0,32015
32,16,6,6,100.0,32016
32,17,7,7,100.0,32017
32,18,7,7,100.0,32018
32,19,9,9,100.0,32019
32,20,2,2,100.0,32020
32,21,9,9,100.0,32021
32,22,3,3,100.0,32022
32,23,12,12,100.0,32023
32,24,10,10,100.0,32024
32,25,6,6,100.0,32025
32,26,2,2,100.0,32026
32,27,14,14,100.0,32027
32,28,2,2,100.0,32028
32,29,6,6,100.0,32029
32,30,13,13,100.0,32030
32,31,11,11,100.0,32031
32,32,4,4,100.0,32032
32,33,0,0,0.0,32033
32,34,4,4,100.0,32034
32,35,9,9,100.0,32035
32,36,7,7,100.0,32036
32,37,10,10,100.0,32037
32,38,6,6,100.0,32038
32,39,13,13,100.0,32039
32,40,11,11,100.0,32040
32,41,13,13,100.0,32041
32,42,9,9,100.0,32042
32,43,7,7,100.0,32043
