ward,precinct,total,Stephen Rossi,Stephen Rossi Percent,precinct_id
33,1,8,8,100.0,33001
33,2,10,10,100.0,33002
33,3,9,9,100.0,33003
33,4,10,10,100.0,33004
33,5,3,3,100.0,33005
33,6,4,4,100.0,33006
33,7,5,5,100.0,33007
33,8,9,9,100.0,33008
33,9,13,13,100.0,33009
33,10,5,5,100.0,33010
33,11,6,6,100.0,33011
33,12,14,14,100.0,33012
33,13,2,2,100.0,33013
33,14,12,12,100.0,33014
33,15,7,7,100.0,33015
33,16,14,14,100.0,33016
33,17,13,13,100.0,33017
33,18,6,6,100.0,33018
33,19,9,9,100.0,33019
33,20,8,8,100.0,33020
33,21,5,5,100.0,33021
33,22,10,10,100.0,33022
33,23,8,8,100.0,33023
33,24,13,13,100.0,33024
33,25,15,15,100.0,33025
33,26,6,6,100.0,33026
33,27,12,12,100.0,33027
33,28,8,8,100.0,33028
