ward,precinct,total,Darnell Macklin,Darnell Macklin Percent,precinct_id
6,1,1,1,100.0,06001
6,2,0,0,0.0,06002
6,3,2,2,100.0,06003
6,4,2,2,100.0,06004
6,5,1,1,100.0,06005
6,6,3,3,100.0,06006
6,7,2,2,100.0,06007
6,8,1,1,100.0,06008
6,9,1,1,100.0,06009
6,10,1,1,100.0,06010
6,11,3,3,100.0,06011
6,12,0,0,0.0,06012
6,13,2,2,100.0,06013
6,14,1,1,100.0,06014
6,15,0,0,0.0,06015
6,16,1,1,100.0,06016
6,17,1,1,100.0,06017
6,18,1,1,100.0,06018
6,19,2,2,100.0,06019
6,20,0,0,0.0,06020
6,21,3,3,100.0,06021
6,22,12,12,100.0,06022
6,23,1,1,100.0,06023
6,24,0,0,0.0,06024
6,25,0,0,0.0,06025
6,26,1,1,100.0,06026
6,27,0,0,0.0,06027
6,28,1,1,100.0,06028
6,29,0,0,0.0,06029
6,30,0,0,0.0,06030
6,31,1,1,100.0,06031
6,32,3,3,100.0,06032
6,33,5,5,100.0,06033
6,34,1,1,100.0,06034
6,35,2,2,100.0,06035
6,36,1,1,100.0,06036
6,37,2,2,100.0,06037
6,38,4,4,100.0,06038
6,39,3,3,100.0,06039
6,40,0,0,0.0,06040
6,41,1,1,100.0,06041
6,42,3,3,100.0,06042
6,43,1,1,100.0,06043
6,44,6,6,100.0,06044
6,45,0,0,0.0,06045
6,46,0,0,0.0,06046
6,47,1,1,100.0,06047
6,48,1,1,100.0,06048
