ward,precinct,total,Vince Kolber (Donald J Trump),Vince Kolber (Donald J Trump) Percent,Anthony Beckman (Donald J Trump),Anthony Beckman (Donald J Trump) Percent,precinct_id
1,3,12,4,33.33,4,33.33,01003
1,4,19,7,36.84,6,31.58,01004
1,5,5,3,60.0,2,40.0,01005
1,6,19,7,36.84,7,36.84,01006
1,8,17,8,47.06,4,23.53,01008
1,10,23,8,34.78,8,34.78,01010
1,11,16,5,31.25,6,37.5,01011
1,14,4,2,50.0,1,25.0,01014
1,21,22,8,36.36,8,36.36,01021
1,28,9,2,22.22,3,33.33,01028
1,32,11,4,36.36,4,36.36,01032
1,33,13,5,38.46,4,30.77,01033
1,35,31,12,38.71,9,29.03,01035
1,36,10,3,30.0,4,40.0,01036
1,37,43,17,39.53,11,25.58,01037
1,38,0,0,0.0,0,0.0,01038
1,39,16,5,31.25,7,43.75,01039
1,40,17,7,41.18,5,29.41,01040
2,1,12,5,41.67,4,33.33,02001
2,3,19,6,31.58,7,36.84,02003
2,4,2,1,50.0,0,0.0,02004
2,5,36,13,36.11,13,36.11,02005
2,6,16,5,31.25,6,37.5,02006
2,7,8,4,50.0,2,25.0,02007
2,8,25,10,40.0,8,32.0,02008
2,12,13,4,30.77,5,38.46,02012
2,14,9,3,33.33,3,33.33,02014
2,15,19,7,36.84,6,31.58,02015
2,16,9,3,33.33,3,33.33,02016
2,17,0,0,0.0,0,0.0,02017
2,20,14,5,35.71,5,35.71,02020
2,21,19,6,31.58,7,36.84,02021
2,22,22,7,31.82,8,36.36,02022
2,24,11,4,36.36,4,36.36,02024
2,25,21,7,33.33,7,33.33,02025
2,26,35,11,31.43,12,34.29,02026
2,28,29,11,37.93,10,34.48,02028
2,30,46,16,34.78,14,30.43,02030
2,31,36,12,33.33,13,36.11,02031
2,33,81,25,30.86,28,34.57,02033
2,37,41,13,31.71,12,29.27,02037
2,38,4,2,50.0,1,25.0,02038
2,44,39,14,35.9,12,30.77,02044
26,28,8,3,37.5,2,25.0,26028
26,32,24,10,41.67,6,25.0,26032
27,7,13,4,30.77,4,30.77,27007
27,12,14,6,42.86,5,35.71,27012
27,13,0,0,0.0,0,0.0,27013
27,27,2,1,50.0,0,0.0,27027
27,35,13,3,23.08,3,23.08,27035
27,37,0,0,0.0,0,0.0,27037
27,40,3,1,33.33,1,33.33,27040
27,42,8,3,37.5,2,25.0,27042
27,43,0,0,0.0,0,0.0,27043
27,46,25,7,28.0,8,32.0,27046
29,23,12,4,33.33,4,33.33,29023
29,29,44,19,43.18,13,29.55,29029
29,31,52,17,32.69,17,32.69,29031
29,32,43,13,30.23,14,32.56,29032
29,38,0,0,0.0,0,0.0,29038
29,39,20,7,35.0,6,30.0,29039
30,15,28,11,39.29,9,32.14,30015
30,17,8,3,37.5,3,37.5,30017
30,21,22,5,22.73,9,40.91,30021
32,1,23,7,30.43,8,34.78,32001
32,2,18,8,44.44,5,27.78,32002
32,4,16,7,43.75,5,31.25,32004
32,5,18,5,27.78,5,27.78,32005
32,6,13,4,30.77,5,38.46,32006
32,7,26,7,26.92,9,34.62,32007
32,8,32,12,37.5,11,34.38,32008
32,9,19,7,36.84,6,31.58,32009
32,10,25,8,32.0,10,40.0,32010
32,13,29,9,31.03,11,37.93,32013
32,15,38,13,34.21,13,34.21,32015
32,16,16,5,31.25,6,37.5,32016
32,18,26,11,42.31,8,30.77,32018
32,19,15,5,33.33,7,46.67,32019
32,21,24,9,37.5,8,33.33,32021
32,23,23,8,34.78,7,30.43,32023
32,24,28,10,35.71,8,28.57,32024
32,25,7,1,14.29,4,57.14,32025
32,27,33,9,27.27,13,39.39,32027
32,29,22,7,31.82,7,31.82,32029
32,30,31,11,35.48,12,38.71,32030
32,31,34,12,35.29,11,32.35,32031
32,32,20,6,30.0,7,35.0,32032
32,33,2,1,50.0,1,50.0,32033
32,34,15,5,33.33,6,40.0,32034
32,35,26,10,38.46,9,34.62,32035
32,36,21,7,33.33,8,38.1,32036
32,37,32,10,31.25,12,37.5,32037
32,38,20,5,25.0,8,40.0,32038
32,39,32,9,28.13,12,37.5,32039
32,40,25,11,44.0,6,24.0,32040
32,41,29,10,34.48,11,37.93,32041
32,42,26,9,34.62,9,34.62,32042
33,2,33,11,33.33,10,30.3,33002
33,3,4,1,25.0,2,50.0,33003
33,5,9,3,33.33,3,33.33,33005
33,7,4,1,25.0,2,50.0,33007
33,8,16,5,31.25,6,37.5,33008
33,10,5,2,40.0,1,20.0,33010
33,18,19,7,36.84,6,31.58,33018
33,19,12,4,33.33,3,25.0,33019
33,23,0,0,0.0,0,0.0,33023
33,24,31,11,35.48,9,29.03,33024
33,27,6,2,33.33,2,33.33,33027
36,7,50,18,36.0,16,32.0,36007
36,14,40,14,35.0,13,32.5,36014
36,15,54,17,31.48,18,33.33,36015
36,16,32,10,31.25,11,34.38,36016
36,17,32,12,37.5,9,28.13,36017
36,18,36,13,36.11,10,27.78,36018
36,20,11,4,36.36,4,36.36,36020
36,24,31,9,29.03,10,32.26,36024
36,26,67,23,34.33,21,31.34,36026
36,28,73,30,41.1,22,30.14,36028
36,29,30,11,36.67,9,30.0,36029
36,30,17,6,35.29,5,29.41,36030
38,2,109,35,32.11,39,35.78,38002
38,3,43,15,34.88,14,32.56,38003
38,4,48,18,37.5,14,29.17,38004
38,5,44,16,36.36,13,29.55,38005
38,6,59,20,33.9,19,32.2,38006
38,7,76,28,36.84,24,31.58,38007
38,8,78,27,34.62,25,32.05,38008
38,9,74,26,35.14,25,33.78,38009
38,10,55,19,34.55,17,30.91,38010
38,11,23,11,47.83,6,26.09,38011
38,12,65,23,35.38,21,32.31,38012
38,13,84,30,35.71,26,30.95,38013
38,14,46,17,36.96,13,28.26,38014
38,15,34,13,38.24,10,29.41,38015
38,16,86,32,37.21,27,31.4,38016
38,17,91,31,34.07,30,32.97,38017
38,18,53,17,32.08,20,37.74,38018
38,19,64,23,35.94,20,31.25,38019
38,20,84,29,34.52,26,30.95,38020
38,21,29,9,31.03,9,31.03,38021
38,22,28,9,32.14,9,32.14,38022
38,23,45,16,35.56,16,35.56,38023
38,24,85,30,35.29,27,31.76,38024
38,25,40,13,32.5,14,35.0,38025
38,26,75,28,37.33,23,30.67,38026
38,27,44,16,36.36,13,29.55,38027
38,28,91,25,27.47,35,38.46,38028
38,29,48,16,33.33,18,37.5,38029
38,30,71,22,30.99,24,33.8,38030
38,31,27,10,37.04,9,33.33,38031
38,32,46,15,32.61,16,34.78,38032
38,33,42,16,38.1,13,30.95,38033
38,34,48,17,35.42,15,31.25,38034
38,35,31,11,35.48,10,32.26,38035
38,36,43,15,34.88,14,32.56,38036
38,37,27,10,37.04,9,33.33,38037
38,38,41,11,26.83,18,43.9,38038
38,39,64,22,34.38,22,34.38,38039
38,40,25,10,40.0,8,32.0,38040
39,1,33,12,36.36,10,30.3,39001
39,2,64,25,39.06,18,28.13,39002
39,3,37,12,32.43,13,35.14,39003
39,4,59,19,32.2,20,33.9,39004
39,5,59,20,33.9,19,32.2,39005
39,6,6,3,50.0,2,33.33,39006
39,7,33,13,39.39,8,24.24,39007
39,8,16,6,37.5,4,25.0,39008
39,9,39,13,33.33,16,41.03,39009
39,10,2,1,50.0,1,50.0,39010
39,11,27,9,33.33,11,40.74,39011
39,12,16,5,31.25,6,37.5,39012
39,13,41,14,34.15,14,34.15,39013
39,14,56,18,32.14,20,35.71,39014
39,15,53,16,30.19,15,28.3,39015
39,16,31,11,35.48,10,32.26,39016
39,17,40,13,32.5,16,40.0,39017
39,18,35,11,31.43,13,37.14,39018
39,19,57,18,31.58,20,35.09,39019
39,20,92,31,33.7,32,34.78,39020
39,21,68,23,33.82,22,32.35,39021
39,22,41,15,36.59,13,31.71,39022
39,23,56,19,33.93,18,32.14,39023
39,24,75,31,41.33,23,30.67,39024
39,25,21,8,38.1,6,28.57,39025
39,26,50,18,36.0,16,32.0,39026
39,27,0,0,0.0,0,0.0,39027
39,28,34,10,29.41,11,32.35,39028
39,29,9,3,33.33,3,33.33,39029
39,30,18,6,33.33,7,38.89,39030
39,32,26,9,34.62,8,30.77,39032
39,33,23,9,39.13,7,30.43,39033
39,34,41,11,26.83,15,36.59,39034
39,35,43,16,37.21,14,32.56,39035
39,36,21,8,38.1,6,28.57,39036
39,37,47,16,34.04,17,36.17,39037
39,38,63,21,33.33,20,31.75,39038
39,39,29,10,34.48,8,27.59,39039
39,40,51,17,33.33,19,37.25,39040
39,41,39,15,38.46,12,30.77,39041
