ward,precinct,total,Daniel J. Kelley,Daniel J. Kelley Percent,precinct_id
40,1,15,15,100.0,40001
40,2,11,11,100.0,40002
40,3,7,7,100.0,40003
40,4,2,2,100.0,40004
40,5,7,7,100.0,40005
40,6,10,10,100.0,40006
40,7,2,2,100.0,40007
40,8,11,11,100.0,40008
40,9,15,15,100.0,40009
40,10,13,13,100.0,40010
40,11,11,11,100.0,40011
40,12,7,7,100.0,40012
40,13,5,5,100.0,40013
40,14,6,6,100.0,40014
40,15,7,7,100.0,40015
40,16,14,14,100.0,40016
40,17,13,13,100.0,40017
40,18,14,14,100.0,40018
40,19,20,20,100.0,40019
40,20,5,5,100.0,40020
40,21,7,7,100.0,40021
40,22,8,8,100.0,40022
40,23,13,13,100.0,40023
40,24,15,15,100.0,40024
40,25,4,4,100.0,40025
40,26,10,10,100.0,40026
40,27,7,7,100.0,40027
40,28,1,1,100.0,40028
40,29,15,15,100.0,40029
40,30,6,6,100.0,40030
40,31,9,9,100.0,40031
40,32,7,7,100.0,40032
40,33,5,5,100.0,40033
40,34,7,7,100.0,40034
40,35,12,12,100.0,40035
40,36,10,10,100.0,40036
40,37,5,5,100.0,40037
40,38,3,3,100.0,40038
40,39,4,4,100.0,40039
