ward,precinct,total,George C. McKinley,George C. McKinley Percent,precinct_id
37,1,10,10,100.0,37001
37,2,3,3,100.0,37002
37,3,0,0,0.0,37003
37,4,3,3,100.0,37004
37,5,2,2,100.0,37005
37,6,4,4,100.0,37006
37,7,1,1,100.0,37007
37,8,1,1,100.0,37008
37,9,1,1,100.0,37009
37,10,2,2,100.0,37010
37,11,1,1,100.0,37011
37,12,0,0,0.0,37012
37,13,3,3,100.0,37013
37,14,1,1,100.0,37014
37,15,4,4,100.0,37015
37,16,4,4,100.0,37016
37,17,0,0,0.0,37017
37,18,3,3,100.0,37018
37,19,1,1,100.0,37019
37,20,3,3,100.0,37020
37,21,2,2,100.0,37021
37,22,3,3,100.0,37022
37,23,3,3,100.0,37023
37,24,3,3,100.0,37024
37,25,3,3,100.0,37025
37,26,10,10,100.0,37026
37,27,2,2,100.0,37027
37,28,5,5,100.0,37028
37,29,5,5,100.0,37029
37,30,1,1,100.0,37030
37,31,3,3,100.0,37031
37,32,0,0,0.0,37032
37,33,3,3,100.0,37033
37,34,1,1,100.0,37034
37,35,1,1,100.0,37035
37,36,0,0,0.0,37036
37,37,4,4,100.0,37037
37,38,0,0,0.0,37038
37,39,1,1,100.0,37039
37,40,1,1,100.0,37040
37,41,4,4,100.0,37041
