ward,precinct,total,Tommy Hanson,Tommy Hanson Percent,Kimball Ladien,Kimball Ladien Percent,precinct_id
44,8,9,8,88.89,1,11.11,44008
44,9,9,6,66.67,3,33.33,44009
44,10,4,3,75.0,1,25.0,44010
44,11,18,15,83.33,3,16.67,44011
44,12,12,9,75.0,3,25.0,44012
44,13,15,13,86.67,2,13.33,44013
44,14,10,8,80.0,2,20.0,44014
44,15,11,8,72.73,3,27.27,44015
44,16,7,7,100.0,0,0.0,44016
44,17,9,9,100.0,0,0.0,44017
44,18,21,18,85.71,3,14.29,44018
44,19,13,10,76.92,3,23.08,44019
44,20,6,3,50.0,3,50.0,44020
44,21,7,5,71.43,2,28.57,44021
44,22,15,12,80.0,3,20.0,44022
44,23,13,11,84.62,2,15.38,44023
44,25,9,7,77.78,2,22.22,44025
44,26,5,5,100.0,0,0.0,44026
44,27,12,11,91.67,1,8.33,44027
44,28,3,2,66.67,1,33.33,44028
44,29,4,3,75.0,1,25.0,44029
44,30,11,10,90.91,1,9.09,44030
44,31,5,5,100.0,0,0.0,44031
44,32,5,5,100.0,0,0.0,44032
44,33,3,2,66.67,1,33.33,44033
44,34,9,8,88.89,1,11.11,44034
44,36,8,4,50.0,4,50.0,44036
44,37,3,2,66.67,1,33.33,44037
44,38,9,7,77.78,2,22.22,44038
44,39,12,9,75.0,3,25.0,44039
44,40,15,8,53.33,7,46.67,44040
44,41,12,8,66.67,4,33.33,44041
45,3,8,8,100.0,0,0.0,45003
45,4,14,10,71.43,4,28.57,45004
45,5,11,11,100.0,0,0.0,45005
45,6,13,8,61.54,5,38.46,45006
45,7,23,20,86.96,3,13.04,45007
45,8,2,2,100.0,0,0.0,45008
45,11,11,10,90.91,1,9.09,45011
45,12,24,18,75.0,6,25.0,45012
45,13,16,15,93.75,1,6.25,45013
45,14,16,10,62.5,6,37.5,45014
45,15,15,10,66.67,5,33.33,45015
45,16,15,13,86.67,2,13.33,45016
45,17,19,15,78.95,4,21.05,45017
45,18,16,15,93.75,1,6.25,45018
45,19,11,9,81.82,2,18.18,45019
45,20,16,12,75.0,4,25.0,45020
45,21,19,17,89.47,2,10.53,45021
45,22,8,8,100.0,0,0.0,45022
45,23,10,7,70.0,3,30.0,45023
45,24,16,14,87.5,2,12.5,45024
45,25,18,17,94.44,1,5.56,45025
45,26,17,15,88.24,2,11.76,45026
45,27,24,20,83.33,4,16.67,45027
45,28,15,13,86.67,2,13.33,45028
45,29,11,9,81.82,2,18.18,45029
45,30,15,14,93.33,1,6.67,45030
45,31,11,9,81.82,2,18.18,45031
45,32,16,12,75.0,4,25.0,45032
45,33,18,14,77.78,4,22.22,45033
45,34,24,19,79.17,5,20.83,45034
45,35,26,23,88.46,3,11.54,45035
45,36,29,20,68.97,9,31.03,45036
45,37,27,18,66.67,9,33.33,45037
45,38,17,14,82.35,3,17.65,45038
45,39,28,21,75.0,7,25.0,45039
45,40,19,19,100.0,0,0.0,45040
45,41,12,12,100.0,0,0.0,45041
45,42,16,11,68.75,5,31.25,45042
45,43,32,27,84.38,5,15.63,45043
45,44,16,11,68.75,5,31.25,45044
45,45,27,22,81.48,5,18.52,45045
45,46,28,22,78.57,6,21.43,45046
45,47,21,16,76.19,5,23.81,45047
45,48,30,26,86.67,4,13.33,45048
46,3,8,7,87.5,1,12.5,46003
46,5,6,5,83.33,1,16.67,46005
46,10,13,9,69.23,4,30.77,46010
46,12,7,3,42.86,4,57.14,46012
46,16,3,2,66.67,1,33.33,46016
46,19,14,9,64.29,5,35.71,46019
46,24,2,2,100.0,0,0.0,46024
46,28,11,8,72.73,3,27.27,46028
46,30,5,2,40.0,3,60.0,46030
46,31,3,3,100.0,0,0.0,46031
46,33,8,7,87.5,1,12.5,46033
46,36,16,15,93.75,1,6.25,46036
46,38,3,1,33.33,2,66.67,46038
