ward,precinct,total,Steven S. Graves,Steven S. Graves Percent,precinct_id
19,1,9,9,100.0,19001
19,2,1,1,100.0,19002
19,3,33,33,100.0,19003
19,4,30,30,100.0,19004
19,5,10,10,100.0,19005
19,6,35,35,100.0,19006
19,7,10,10,100.0,19007
19,8,42,42,100.0,19008
19,9,16,16,100.0,19009
19,10,6,6,100.0,19010
19,11,35,35,100.0,19011
19,12,30,30,100.0,19012
19,13,1,1,100.0,19013
19,14,12,12,100.0,19014
19,15,36,36,100.0,19015
19,16,23,23,100.0,19016
19,17,13,13,100.0,19017
19,18,6,6,100.0,19018
19,19,9,9,100.0,19019
19,20,1,1,100.0,19020
19,21,43,43,100.0,19021
19,22,6,6,100.0,19022
19,23,6,6,100.0,19023
19,24,25,25,100.0,19024
19,25,9,9,100.0,19025
19,26,12,12,100.0,19026
19,27,7,7,100.0,19027
19,28,6,6,100.0,19028
19,29,28,28,100.0,19029
19,30,33,33,100.0,19030
19,31,9,9,100.0,19031
19,32,11,11,100.0,19032
19,33,28,28,100.0,19033
19,34,12,12,100.0,19034
19,35,10,10,100.0,19035
19,36,11,11,100.0,19036
19,37,3,3,100.0,19037
19,38,4,4,100.0,19038
19,39,2,2,100.0,19039
19,40,12,12,100.0,19040
19,41,21,21,100.0,19041
19,42,10,10,100.0,19042
19,43,2,2,100.0,19043
19,44,31,31,100.0,19044
19,45,18,18,100.0,19045
19,46,15,15,100.0,19046
19,47,7,7,100.0,19047
19,48,1,1,100.0,19048
19,49,15,15,100.0,19049
19,50,8,8,100.0,19050
19,51,12,12,100.0,19051
19,52,31,31,100.0,19052
19,53,11,11,100.0,19053
19,54,25,25,100.0,19054
19,55,18,18,100.0,19055
19,56,10,10,100.0,19056
19,57,6,6,100.0,19057
