ward,precinct,total,Sargis Sangari,Sargis Sangari Percent,precinct_id
40,4,2,2,100.0,40004
40,9,12,12,100.0,40009
40,10,7,7,100.0,40010
40,18,12,12,100.0,40018
40,22,9,9,100.0,40022
40,25,0,0,0.0,40025
40,26,9,9,100.0,40026
40,27,9,9,100.0,40027
40,28,3,3,100.0,40028
40,31,8,8,100.0,40031
40,33,5,5,100.0,40033
40,35,11,11,100.0,40035
40,36,13,13,100.0,40036
40,37,6,6,100.0,40037
40,39,7,7,100.0,40039
41,1,35,35,100.0,41001
41,2,36,36,100.0,41002
41,4,25,25,100.0,41004
41,5,41,41,100.0,41005
41,7,44,44,100.0,41007
41,8,43,43,100.0,41008
41,10,28,28,100.0,41010
41,11,24,24,100.0,41011
41,13,42,42,100.0,41013
41,15,25,25,100.0,41015
41,17,10,10,100.0,41017
41,18,28,28,100.0,41018
41,20,22,22,100.0,41020
41,23,31,31,100.0,41023
41,25,25,25,100.0,41025
41,28,28,28,100.0,41028
41,29,14,14,100.0,41029
41,31,37,37,100.0,41031
41,33,6,6,100.0,41033
41,34,30,30,100.0,41034
41,36,29,29,100.0,41036
41,37,37,37,100.0,41037
41,40,49,49,100.0,41040
41,41,32,32,100.0,41041
41,42,33,33,100.0,41042
41,43,38,38,100.0,41043
41,44,38,38,100.0,41044
41,45,18,18,100.0,41045
44,3,5,5,100.0,44003
44,4,16,16,100.0,44004
44,7,13,13,100.0,44007
44,24,8,8,100.0,44024
44,35,12,12,100.0,44035
46,1,11,11,100.0,46001
46,2,6,6,100.0,46002
46,4,6,6,100.0,46004
46,5,0,0,0.0,46005
46,6,3,3,100.0,46006
46,7,17,17,100.0,46007
46,8,7,7,100.0,46008
46,9,8,8,100.0,46009
46,11,9,9,100.0,46011
46,12,10,10,100.0,46012
46,13,9,9,100.0,46013
46,14,6,6,100.0,46014
46,15,11,11,100.0,46015
46,16,4,4,100.0,46016
46,17,9,9,100.0,46017
46,18,27,27,100.0,46018
46,20,4,4,100.0,46020
46,21,8,8,100.0,46021
46,22,2,2,100.0,46022
46,23,7,7,100.0,46023
46,24,11,11,100.0,46024
46,25,3,3,100.0,46025
46,26,9,9,100.0,46026
46,27,9,9,100.0,46027
46,29,4,4,100.0,46029
46,32,13,13,100.0,46032
46,34,8,8,100.0,46034
46,35,4,4,100.0,46035
46,37,5,5,100.0,46037
46,38,1,1,100.0,46038
46,40,4,4,100.0,46040
47,15,4,4,100.0,47015
47,19,3,3,100.0,47019
47,23,3,3,100.0,47023
47,30,3,3,100.0,47030
48,1,6,6,100.0,48001
48,2,2,2,100.0,48002
48,3,13,13,100.0,48003
48,4,6,6,100.0,48004
48,5,4,4,100.0,48005
48,6,10,10,100.0,48006
48,7,0,0,0.0,48007
48,8,6,6,100.0,48008
48,9,18,18,100.0,48009
48,10,6,6,100.0,48010
48,11,3,3,100.0,48011
48,12,13,13,100.0,48012
48,13,20,20,100.0,48013
48,14,11,11,100.0,48014
48,15,8,8,100.0,48015
48,16,11,11,100.0,48016
48,17,16,16,100.0,48017
48,18,7,7,100.0,48018
48,19,14,14,100.0,48019
48,20,9,9,100.0,48020
48,21,16,16,100.0,48021
48,22,20,20,100.0,48022
48,23,13,13,100.0,48023
48,24,19,19,100.0,48024
48,25,6,6,100.0,48025
48,26,2,2,100.0,48026
48,27,10,10,100.0,48027
48,28,22,22,100.0,48028
48,29,4,4,100.0,48029
48,30,5,5,100.0,48030
