ward,precinct,total,precinct_id
13,1,9,13001
13,2,8,13002
13,3,4,13003
13,4,17,13004
13,5,9,13005
13,6,9,13006
13,7,2,13007
13,8,7,13008
13,9,4,13009
13,10,13,13010
13,11,19,13011
13,12,11,13012
13,13,6,13013
13,14,5,13014
13,15,6,13015
13,16,2,13016
13,17,9,13017
13,18,9,13018
13,19,5,13019
13,20,10,13020
13,21,10,13021
13,22,11,13022
13,23,2,13023
13,24,16,13024
13,25,10,13025
13,26,10,13026
13,27,8,13027
13,28,4,13028
13,29,5,13029
13,30,1,13030
13,31,20,13031
13,32,8,13032
13,33,17,13033
13,34,3,13034
13,35,4,13035
13,36,2,13036
13,37,3,13037
13,38,7,13038
13,39,2,13039
13,40,8,13040
13,41,1,13041
13,42,11,13042
13,43,8,13043
13,44,6,13044
13,45,13,13045
13,46,7,13046
13,47,5,13047
13,48,9,13048
