ward,precinct,total,Matt Nelson,Matt Nelson Percent,precinct_id
10,1,1,1,100.0,10001
10,2,24,24,100.0,10002
10,3,20,20,100.0,10003
10,4,2,2,100.0,10004
10,5,16,16,100.0,10005
10,6,5,5,100.0,10006
10,7,14,14,100.0,10007
10,8,5,5,100.0,10008
10,9,18,18,100.0,10009
10,10,14,14,100.0,10010
10,11,2,2,100.0,10011
10,12,10,10,100.0,10012
10,13,5,5,100.0,10013
10,14,16,16,100.0,10014
10,15,3,3,100.0,10015
10,16,5,5,100.0,10016
10,17,18,18,100.0,10017
10,18,1,1,100.0,10018
10,19,17,17,100.0,10019
10,20,22,22,100.0,10020
10,21,12,12,100.0,10021
10,22,5,5,100.0,10022
10,23,9,9,100.0,10023
10,24,27,27,100.0,10024
10,25,0,0,0.0,10025
10,26,7,7,100.0,10026
10,27,2,2,100.0,10027
10,28,11,11,100.0,10028
10,29,7,7,100.0,10029
10,30,4,4,100.0,10030
10,31,8,8,100.0,10031
10,32,15,15,100.0,10032
10,33,4,4,100.0,10033
10,34,3,3,100.0,10034
10,35,13,13,100.0,10035
10,36,2,2,100.0,10036
