ward,precinct,total,Mike Fricilone,Mike Fricilone Percent,Arthur J. Jones,Arthur J. Jones Percent,Catherine A. O'Shea,Catherine A. O'Shea Percent,precinct_id
13,41,3,1,33.33,0,0.0,2,66.67,13041
13,42,16,8,50.0,1,6.25,7,43.75,13042
13,43,9,5,55.56,1,11.11,3,33.33,13043
13,44,8,4,50.0,2,25.0,2,25.0,13044
13,45,17,8,47.06,3,17.65,6,35.29,13045
13,46,8,1,12.5,3,37.5,4,50.0,13046
13,47,6,5,83.33,1,16.67,0,0.0,13047
13,48,11,4,36.36,4,36.36,3,27.27,13048
14,1,34,10,29.41,6,17.65,18,52.94,14001
14,4,18,9,50.0,2,11.11,7,38.89,14004
14,5,3,0,0.0,1,33.33,2,66.67,14005
14,7,12,10,83.33,1,8.33,1,8.33,14007
14,8,18,7,38.89,4,22.22,7,38.89,14008
14,9,19,4,21.05,5,26.32,10,52.63,14009
14,12,12,4,33.33,3,25.0,5,41.67,14012
14,18,10,3,30.0,1,10.0,6,60.0,14018
14,21,6,2,33.33,2,33.33,2,33.33,14021
14,22,24,11,45.83,5,20.83,8,33.33,14022
14,23,7,3,42.86,0,0.0,4,57.14,14023
14,24,13,7,53.85,1,7.69,5,38.46,14024
14,25,0,0,0.0,0,0.0,0,0.0,14025
14,26,3,2,66.67,1,33.33,0,0.0,14026
14,29,5,1,20.0,2,40.0,2,40.0,14029
15,1,6,4,66.67,2,33.33,0,0.0,15001
15,5,0,0,0.0,0,0.0,0,0.0,15005
15,8,6,2,33.33,2,33.33,2,33.33,15008
15,13,5,5,100.0,0,0.0,0,0.0,15013
15,14,4,2,50.0,1,25.0,1,25.0,15014
15,15,7,3,42.86,2,28.57,2,28.57,15015
15,16,7,5,71.43,0,0.0,2,28.57,15016
15,19,7,2,28.57,1,14.29,4,57.14,15019
16,1,1,1,100.0,0,0.0,0,0.0,16001
16,7,0,0,0.0,0,0.0,0,0.0,16007
16,23,4,2,50.0,1,25.0,1,25.0,16023
16,32,7,3,42.86,2,28.57,2,28.57,16032
16,35,2,0,0.0,0,0.0,2,100.0,16035
18,15,7,3,42.86,0,0.0,4,57.14,18015
18,24,12,5,41.67,1,8.33,6,50.0,18024
18,25,10,4,40.0,3,30.0,3,30.0,18025
18,30,19,5,26.32,5,26.32,9,47.37,18030
18,40,6,1,16.67,2,33.33,3,50.0,18040
18,43,8,3,37.5,1,12.5,4,50.0,18043
18,46,9,4,44.44,1,11.11,4,44.44,18046
19,1,16,11,68.75,0,0.0,5,31.25,19001
19,2,0,0,0.0,0,0.0,0,0.0,19002
19,3,36,20,55.56,0,0.0,16,44.44,19003
19,4,36,13,36.11,2,5.56,21,58.33,19004
19,5,5,2,40.0,0,0.0,3,60.0,19005
19,6,39,14,35.9,3,7.69,22,56.41,19006
19,7,12,5,41.67,0,0.0,7,58.33,19007
19,8,49,17,34.69,5,10.2,27,55.1,19008
19,9,18,7,38.89,0,0.0,11,61.11,19009
19,10,13,4,30.77,2,15.38,7,53.85,19010
19,11,35,25,71.43,1,2.86,9,25.71,19011
19,12,32,15,46.88,0,0.0,17,53.13,19012
19,15,48,15,31.25,2,4.17,31,64.58,19015
19,16,31,12,38.71,1,3.23,18,58.06,19016
19,17,18,7,38.89,0,0.0,11,61.11,19017
19,18,11,4,36.36,1,9.09,6,54.55,19018
19,19,14,5,35.71,1,7.14,8,57.14,19019
19,21,42,11,26.19,3,7.14,28,66.67,19021
19,22,11,7,63.64,0,0.0,4,36.36,19022
19,23,9,4,44.44,1,11.11,4,44.44,19023
19,24,26,12,46.15,1,3.85,13,50.0,19024
19,25,11,7,63.64,0,0.0,4,36.36,19025
19,26,17,7,41.18,0,0.0,10,58.82,19026
19,29,37,17,45.95,0,0.0,20,54.05,19029
19,30,37,12,32.43,4,10.81,21,56.76,19030
19,32,19,6,31.58,1,5.26,12,63.16,19032
19,33,39,16,41.03,3,7.69,20,51.28,19033
19,34,12,2,16.67,0,0.0,10,83.33,19034
19,35,13,4,30.77,0,0.0,9,69.23,19035
19,41,33,9,27.27,3,9.09,21,63.64,19041
19,44,35,10,28.57,1,2.86,24,68.57,19044
19,45,26,13,50.0,1,3.85,12,46.15,19045
19,46,21,6,28.57,3,14.29,12,57.14,19046
19,50,13,3,23.08,0,0.0,10,76.92,19050
19,51,19,6,31.58,1,5.26,12,63.16,19051
19,52,37,16,43.24,2,5.41,19,51.35,19052
19,53,14,8,57.14,1,7.14,5,35.71,19053
