ward,precinct,total,precinct_id
16,1,0,16001
16,2,0,16002
16,3,0,16003
16,4,0,16004
16,5,0,16005
16,6,0,16006
16,7,0,16007
16,8,0,16008
16,9,0,16009
16,10,0,16010
16,11,0,16011
16,12,0,16012
16,13,0,16013
16,14,0,16014
16,15,0,16015
16,16,0,16016
16,17,0,16017
16,18,0,16018
16,19,0,16019
16,20,0,16020
16,21,0,16021
16,22,0,16022
16,23,0,16023
16,24,0,16024
16,25,0,16025
16,26,0,16026
16,27,0,16027
16,28,0,16028
16,29,0,16029
16,30,0,16030
16,31,0,16031
16,32,0,16032
16,33,0,16033
16,34,0,16034
16,35,0,16035
16,36,0,16036
