ward,precinct,total,Wayland C Johnson Jr,Wayland C Johnson Jr Percent,precinct_id
9,1,5,5,100.0,09001
9,2,1,1,100.0,09002
9,3,1,1,100.0,09003
9,4,0,0,0.0,09004
9,5,1,1,100.0,09005
9,6,2,2,100.0,09006
9,7,0,0,0.0,09007
9,8,1,1,100.0,09008
9,9,2,2,100.0,09009
9,10,1,1,100.0,09010
9,11,3,3,100.0,09011
9,12,3,3,100.0,09012
9,13,1,1,100.0,09013
9,14,4,4,100.0,09014
9,15,1,1,100.0,09015
9,16,1,1,100.0,09016
9,17,0,0,0.0,09017
9,18,2,2,100.0,09018
9,19,1,1,100.0,09019
9,20,1,1,100.0,09020
9,21,2,2,100.0,09021
9,22,2,2,100.0,09022
9,23,1,1,100.0,09023
9,24,0,0,0.0,09024
9,25,0,0,0.0,09025
9,26,0,0,0.0,09026
9,27,3,3,100.0,09027
9,28,5,5,100.0,09028
9,29,1,1,100.0,09029
9,30,2,2,100.0,09030
9,31,7,7,100.0,09031
9,32,1,1,100.0,09032
9,33,1,1,100.0,09033
9,34,2,2,100.0,09034
9,35,0,0,0.0,09035
9,36,0,0,0.0,09036
9,37,8,8,100.0,09037
9,38,3,3,100.0,09038
9,39,2,2,100.0,09039
9,40,2,2,100.0,09040
9,41,2,2,100.0,09041
9,42,0,0,0.0,09042
9,43,0,0,0.0,09043
9,44,2,2,100.0,09044
9,45,2,2,100.0,09045
9,46,8,8,100.0,09046
9,47,0,0,0.0,09047
9,48,2,2,100.0,09048
9,49,5,5,100.0,09049
9,50,3,3,100.0,09050
9,51,1,1,100.0,09051
