ward,precinct,total,Lori Yokoyama,Lori Yokoyama Percent,precinct_id
4,1,1,1,100.0,04001
4,2,10,10,100.0,04002
4,3,2,2,100.0,04003
4,4,2,2,100.0,04004
4,5,2,2,100.0,04005
4,6,3,3,100.0,04006
4,7,6,6,100.0,04007
4,8,0,0,0.0,04008
4,9,3,3,100.0,04009
4,10,6,6,100.0,04010
4,11,0,0,0.0,04011
4,12,5,5,100.0,04012
4,13,10,10,100.0,04013
4,14,4,4,100.0,04014
4,15,1,1,100.0,04015
4,16,12,12,100.0,04016
4,17,6,6,100.0,04017
4,18,4,4,100.0,04018
4,19,1,1,100.0,04019
4,20,8,8,100.0,04020
4,21,5,5,100.0,04021
4,22,1,1,100.0,04022
4,23,2,2,100.0,04023
4,24,5,5,100.0,04024
4,25,16,16,100.0,04025
4,26,3,3,100.0,04026
4,27,0,0,0.0,04027
4,28,7,7,100.0,04028
4,29,0,0,0.0,04029
4,30,2,2,100.0,04030
4,31,3,3,100.0,04031
4,32,2,2,100.0,04032
4,33,2,2,100.0,04033
4,34,2,2,100.0,04034
4,35,3,3,100.0,04035
4,36,3,3,100.0,04036
4,37,11,11,100.0,04037
4,38,2,2,100.0,04038
