ward,precinct,total,"Jesus E. Solorio, Jr.","Jesus E. Solorio, Jr. Percent",precinct_id
23,1,21,21,100.0,23001
23,2,12,12,100.0,23002
23,3,20,20,100.0,23003
23,4,16,16,100.0,23004
23,5,5,5,100.0,23005
23,6,3,3,100.0,23006
23,7,10,10,100.0,23007
23,8,9,9,100.0,23008
23,9,2,2,100.0,23009
23,10,13,13,100.0,23010
23,11,5,5,100.0,23011
23,12,14,14,100.0,23012
23,13,4,4,100.0,23013
23,14,12,12,100.0,23014
23,15,2,2,100.0,23015
23,16,11,11,100.0,23016
23,17,3,3,100.0,23017
23,18,20,20,100.0,23018
23,19,2,2,100.0,23019
23,20,8,8,100.0,23020
23,21,12,12,100.0,23021
23,22,14,14,100.0,23022
23,23,20,20,100.0,23023
23,24,5,5,100.0,23024
23,25,6,6,100.0,23025
23,26,6,6,100.0,23026
23,27,5,5,100.0,23027
23,28,22,22,100.0,23028
23,29,11,11,100.0,23029
23,30,4,4,100.0,23030
23,31,6,6,100.0,23031
23,32,11,11,100.0,23032
23,33,6,6,100.0,23033
23,34,6,6,100.0,23034
23,35,19,19,100.0,23035
23,36,9,9,100.0,23036
23,37,18,18,100.0,23037
23,38,18,18,100.0,23038
23,39,5,5,100.0,23039
