ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,Ammie Kessem,Ammie Kessem Percent,precinct_id
41,1,40,18,45.0,22,55.0,41001
41,2,46,20,43.48,26,56.52,41002
41,3,47,12,25.53,35,74.47,41003
41,4,31,22,70.97,9,29.03,41004
41,5,52,27,51.92,25,48.08,41005
41,6,40,8,20.0,32,80.0,41006
41,7,52,22,42.31,30,57.69,41007
41,8,63,42,66.67,21,33.33,41008
41,9,27,3,11.11,24,88.89,41009
41,10,29,9,31.03,20,68.97,41010
41,11,53,20,37.74,33,62.26,41011
41,12,52,17,32.69,35,67.31,41012
41,13,58,38,65.52,20,34.48,41013
41,14,30,8,26.67,22,73.33,41014
41,15,33,14,42.42,19,57.58,41015
41,16,42,12,28.57,30,71.43,41016
41,17,64,14,21.88,50,78.13,41017
41,18,40,13,32.5,27,67.5,41018
41,19,24,7,29.17,17,70.83,41019
41,20,33,17,51.52,16,48.48,41020
41,21,41,19,46.34,22,53.66,41021
41,22,65,27,41.54,38,58.46,41022
41,23,62,23,37.1,39,62.9,41023
41,24,47,11,23.4,36,76.6,41024
41,25,36,14,38.89,22,61.11,41025
41,26,45,12,26.67,33,73.33,41026
41,27,42,13,30.95,29,69.05,41027
41,28,42,17,40.48,25,59.52,41028
41,29,22,7,31.82,15,68.18,41029
41,30,32,11,34.38,21,65.63,41030
41,31,51,24,47.06,27,52.94,41031
41,32,30,10,33.33,20,66.67,41032
41,33,38,15,39.47,23,60.53,41033
41,34,35,13,37.14,22,62.86,41034
41,35,51,22,43.14,29,56.86,41035
41,36,38,20,52.63,18,47.37,41036
41,37,47,24,51.06,23,48.94,41037
41,38,39,8,20.51,31,79.49,41038
41,39,22,1,4.55,21,95.45,41039
41,40,66,28,42.42,38,57.58,41040
41,41,42,25,59.52,17,40.48,41041
41,42,52,27,51.92,25,48.08,41042
41,43,54,19,35.19,35,64.81,41043
41,44,53,29,54.72,24,45.28,41044
41,45,39,17,43.59,22,56.41,41045
41,46,41,17,41.46,24,58.54,41046
41,47,32,9,28.13,23,71.88,41047
