ward,precinct,total,Richard Edward Scumaci III,Richard Edward Scumaci III Percent,precinct_id
1,1,6,6,100.0,01001
1,2,7,7,100.0,01002
1,3,7,7,100.0,01003
1,4,5,5,100.0,01004
1,5,5,5,100.0,01005
1,6,9,9,100.0,01006
1,7,1,1,100.0,01007
1,8,2,2,100.0,01008
1,9,6,6,100.0,01009
1,10,11,11,100.0,01010
1,11,8,8,100.0,01011
1,12,11,11,100.0,01012
1,13,4,4,100.0,01013
1,14,2,2,100.0,01014
1,15,4,4,100.0,01015
1,16,5,5,100.0,01016
1,17,5,5,100.0,01017
1,18,4,4,100.0,01018
1,19,7,7,100.0,01019
1,20,3,3,100.0,01020
1,21,11,11,100.0,01021
1,22,4,4,100.0,01022
1,23,3,3,100.0,01023
1,24,0,0,0.0,01024
1,25,6,6,100.0,01025
1,26,3,3,100.0,01026
1,27,9,9,100.0,01027
1,28,4,4,100.0,01028
1,29,10,10,100.0,01029
1,30,5,5,100.0,01030
1,31,5,5,100.0,01031
1,32,7,7,100.0,01032
1,33,5,5,100.0,01033
1,34,2,2,100.0,01034
1,35,12,12,100.0,01035
1,36,4,4,100.0,01036
1,37,16,16,100.0,01037
1,38,2,2,100.0,01038
1,39,5,5,100.0,01039
1,40,7,7,100.0,01040
1,41,3,3,100.0,01041
1,42,3,3,100.0,01042
1,43,3,3,100.0,01043
1,44,5,5,100.0,01044
