ward,precinct,total,Mark Anthony Spognardi,Mark Anthony Spognardi Percent,precinct_id
27,1,13,13,100.0,27001
27,2,3,3,100.0,27002
27,3,0,0,0.0,27003
27,4,0,0,0.0,27004
27,5,1,1,100.0,27005
27,6,12,12,100.0,27006
27,7,5,5,100.0,27007
27,8,0,0,0.0,27008
27,9,7,7,100.0,27009
27,10,3,3,100.0,27010
27,11,13,13,100.0,27011
27,12,8,8,100.0,27012
27,13,3,3,100.0,27013
27,14,0,0,0.0,27014
27,15,1,1,100.0,27015
27,16,7,7,100.0,27016
27,17,3,3,100.0,27017
27,18,5,5,100.0,27018
27,19,0,0,0.0,27019
27,20,2,2,100.0,27020
27,21,9,9,100.0,27021
27,22,0,0,0.0,27022
27,23,2,2,100.0,27023
27,24,2,2,100.0,27024
27,25,3,3,100.0,27025
27,26,0,0,0.0,27026
27,27,3,3,100.0,27027
27,28,8,8,100.0,27028
27,29,1,1,100.0,27029
27,30,1,1,100.0,27030
27,31,1,1,100.0,27031
27,32,4,4,100.0,27032
27,33,7,7,100.0,27033
27,34,1,1,100.0,27034
27,35,15,15,100.0,27035
27,36,1,1,100.0,27036
27,37,8,8,100.0,27037
27,38,19,19,100.0,27038
27,39,4,4,100.0,27039
27,40,9,9,100.0,27040
27,41,2,2,100.0,27041
27,42,3,3,100.0,27042
27,43,1,1,100.0,27043
27,44,0,0,0.0,27044
27,45,15,15,100.0,27045
27,46,11,11,100.0,27046
27,47,1,1,100.0,27047
27,48,9,9,100.0,27048
27,49,1,1,100.0,27049
27,50,2,2,100.0,27050
