ward,precinct,total,Dan Patlak,Dan Patlak Percent,precinct_id
19,1,16,16,100.0,19001
19,2,4,4,100.0,19002
19,3,27,27,100.0,19003
19,4,31,31,100.0,19004
19,6,21,21,100.0,19006
19,8,42,42,100.0,19008
19,9,13,13,100.0,19009
19,11,38,38,100.0,19011
19,12,29,29,100.0,19012
19,15,40,40,100.0,19015
19,16,25,25,100.0,19016
19,19,7,7,100.0,19019
19,21,38,38,100.0,19021
19,22,9,9,100.0,19022
19,24,22,22,100.0,19024
19,29,17,17,100.0,19029
19,30,30,30,100.0,19030
19,33,33,33,100.0,19033
19,39,2,2,100.0,19039
19,41,28,28,100.0,19041
19,44,29,29,100.0,19044
19,45,22,22,100.0,19045
19,47,9,9,100.0,19047
19,51,14,14,100.0,19051
19,53,12,12,100.0,19053
19,54,30,30,100.0,19054
19,55,20,20,100.0,19055
41,3,41,41,100.0,41003
41,5,46,46,100.0,41005
41,7,46,46,100.0,41007
41,8,49,49,100.0,41008
41,11,35,35,100.0,41011
41,13,55,55,100.0,41013
41,15,27,27,100.0,41015
41,16,17,17,100.0,41016
41,17,53,53,100.0,41017
41,18,36,36,100.0,41018
41,20,27,27,100.0,41020
41,21,38,38,100.0,41021
41,22,51,51,100.0,41022
41,23,51,51,100.0,41023
41,25,30,30,100.0,41025
41,26,39,39,100.0,41026
41,27,26,26,100.0,41027
41,28,39,39,100.0,41028
41,29,16,16,100.0,41029
41,30,37,37,100.0,41030
41,31,41,41,100.0,41031
41,33,33,33,100.0,41033
41,34,32,32,100.0,41034
41,35,35,35,100.0,41035
41,36,37,37,100.0,41036
41,37,43,43,100.0,41037
41,38,37,37,100.0,41038
41,41,33,33,100.0,41041
41,43,45,45,100.0,41043
41,45,32,32,100.0,41045
41,46,34,34,100.0,41046
45,45,22,22,100.0,45045
45,46,28,28,100.0,45046
45,47,20,20,100.0,45047
45,48,25,25,100.0,45048
