ward,precinct,total,Edward Karecki,Edward Karecki Percent,precinct_id
30,1,6,6,100.0,30001
30,2,11,11,100.0,30002
30,3,9,9,100.0,30003
30,4,17,17,100.0,30004
30,5,2,2,100.0,30005
30,6,12,12,100.0,30006
30,7,14,14,100.0,30007
30,8,15,15,100.0,30008
30,9,12,12,100.0,30009
30,10,12,12,100.0,30010
30,11,15,15,100.0,30011
30,12,12,12,100.0,30012
30,13,13,13,100.0,30013
30,14,3,3,100.0,30014
30,15,14,14,100.0,30015
30,16,11,11,100.0,30016
30,17,7,7,100.0,30017
30,18,5,5,100.0,30018
30,19,11,11,100.0,30019
30,20,9,9,100.0,30020
30,21,9,9,100.0,30021
30,22,11,11,100.0,30022
30,23,7,7,100.0,30023
30,24,15,15,100.0,30024
30,25,18,18,100.0,30025
30,26,7,7,100.0,30026
30,27,5,5,100.0,30027
30,28,10,10,100.0,30028
30,29,10,10,100.0,30029
30,30,2,2,100.0,30030
30,31,4,4,100.0,30031
30,32,7,7,100.0,30032
